ref_number,Checked,PubmedID,Weblink,Study,Author,Year,location,study_design,pop_source,sampl_method,n_baseline,overall,prop_male,sex_subgroups,mean_age_base,sd_age_base,lci_age_base,uci_age_base,pa_domain_subgroup,mean_followup,sd_followup,tot_personyrs,outcome,outcome_type,outcome_def,outcome_tool,pa_tool,pa_unit,pa_cat_def,other_pa_domains,tot_cases,effect_measure,"adjustments (Age, Sex)","adjustments1 (BMI, diet etc)","adjustments2 (BMI, diet etc)",pa_cat,cases,personyrs,totalpersons,effect,lci_effect,uci_effect,effect1_adj1,lci_effect1_adj1,uci_effect1_adj1,effect2_adj2,lci_effect2_adj2,uci_effect2_adj2,obs,Other References required for dose derivation/harmonisation,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Final Harmonised exposure (MMET-hrs/wk),Notes on exposure harmonisation,Final Harmonised exposure (MMET-hrs/wk)  FOR SENSITIVITY ANALYSIS,SEPARATOR COLUMN,Domain,Frequency,Duration,Intensity,Volume,Mean MET.hr/wk ,Median MET.hr/wk,MMET.hr/wk,Median MMET.hr/wk,Source,Status from Eoin,,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Mean Activity (MET.hr/wk) ,Median Activity (MET.hr/wk),Mean Activity (MMET.hr/wk) ,Median Activity (MMET.hr/wk),Final Harmonised exposure (MMET-hrs/wk),,Intensity Assumed?,Duration Assumed?,Midpoint  Intensity?,Midpoint  Duration?,,,Alternative Intensity - MVPA = 3.5,MET.hr/wk,MMET.hr/wk,,MET.hr/wk,MMET.hr/wk,,1_MET.hr,2_MET.hr,3_MET.hr,4_MET.hr,5_MET.hr,6_MET.hr,7_MET.hr,8_MET.hr,9_MET.hr,1_MMET.hr,2_MMET.hr,3_MMET.hr,4_MMET.hr,5_MMET.hr,6_MMET.hr,7_MMET.hr,8_MMET.hr,9_MMET.hr,,objective_calibration
1,New ,25855627,https://www.ncbi.nlm.nih.gov/pubmed/25855627,Nurses' Health Study,Zhang et al. ,2015,USA,Prospective cohort study,Registered female nurses,"Registered nurses ages 30 to 55 years in the United States completed and returned a self-administered questionnaire. Questionnaires have been mailed to women every 2 years since 1976 to collect information on demographics, lifestyle, medical history & disease outcomes",97803 ,1,0,2,62.0,,,,LTPA,26.0,,2914441.0,breast cancer,incidence,"Using biennial questionnaires, we identified cases of incident invasive breast cancer and contacted the participants (or next of kin) to confirm the diagnosis and obtained permission to collect relevant medical/pathology reports. Study investigators, blinded to exposure status, reviewed these records and abstracted information on tumor characteristics. Over 99% of selfreported breast cancers were confirmed by review of medical",Questionnaires and medical/pathology reports,questionnaire ,MET-hr/wk,"Physical activity assessment has been described in detail elsewhere (29). Briefly, beginning in 1986 and almost every 2 years thereafter, participants reported their average time per week during the past year spent doing any of the following activities: walking/hiking outdoors, jogging, running, bicycling, lap swimming, tennis, calisthenics/aerobics/aerobic, dance/rowing machine, and squash or racquet ball. In addition, women reported their usual walking pace and the number of flights of stairs climbed daily. We calculated metabolic equivalent task hours (MET-h) per week for each activity by multiplying the MET score and reported hours per week. we calculated the cumulative average of physical activity using the mean MET-h per week from all previous physical activity assessments as a measure of long-term physical activity. We then modeled categorically (<3, 3–<9, 9–<18, 18–<27, and  27 MET-h/wk) and continuously (per 20 MET-h/wk increase, equivalent to 5 hours of brisk walking/wk; ref. 29)",,2128,RR," age at menarche, BMI at age 18 years, height, parity and age at first birth, alcohol intake, PMH use, age at menopause, family history of breast cancer, and history of benign breast disease",,,<3,451,582888.2,19561,1,,,90,,,,,,Androgen receptor status study; Reported RR (but used Cox reg); To check no. of cases for overall invasice breast cancer in Table 3. Total Pyrs for PA sourced from Supplementary table 1. Pyrs in each PA cat derived using weighting by cases and HR (simultaneous eqn),,,,,,1.11,Used EPIC MET.hrs/wk to MMET.hrs/wk conversion formula,1.11,,"For ""New"" Studies, Refer to individual study harmonisation sheet tabs for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,New ,,,Nurses' Health Study,Zhang et al. ,2015,USA,Prospective cohort study,Registered female nurses,"Registered nurses ages 30 to 55 years in the United States completed and returned a self-administered questionnaire. Questionnaires have been mailed to women every 2 years since 1976 to collect information on demographics, lifestyle, medical history & disease outcomes",97803 ,1,0,2,62.0,,,,LTPA,26.0,,2914441.0,breast cancer,incidence,"Using biennial questionnaires, we identified cases of incident invasive breast cancer and contacted the participants (or next of kin) to confirm the diagnosis and obtained permission to collect relevant medical/pathology reports. Study investigators, blinded to exposure status, reviewed these records and abstracted information on tumor characteristics. Over 99% of selfreported breast cancers were confirmed by review of medical",Questionnaires and medical/pathology reports,questionnaire ,MET-hr/wk,"Physical activity assessment has been described in detail elsewhere (29). Briefly, beginning in 1986 and almost every 2 years thereafter, participants reported their average time per week during the past year spent doing any of the following activities: walking/hiking outdoors, jogging, running, bicycling, lap swimming, tennis, calisthenics/aerobics/aerobic, dance/rowing machine, and squash or racquet ball. In addition, women reported their usual walking pace and the number of flights of stairs climbed daily. We calculated metabolic equivalent task hours (MET-h) per week for each activity by multiplying the MET score and reported hours per week. we calculated the cumulative average of physical activity using the mean MET-h per week from all previous physical activity assessments as a measure of long-term physical activity. We then modeled categorically (<3, 3–<9, 9–<18, 18–<27, and  27 MET-h/wk) and continuously (per 20 MET-h/wk increase, equivalent to 5 hours of brisk walking/wk; ref. 29)",,2128,RR," age at menarche, BMI at age 18 years, height, parity and age at first birth, alcohol intake, PMH use, age at menopause, family history of breast cancer, and history of benign breast disease",,,3–<9,446,582888.2,19561,0.99,0.91,1.08,89,,,,,,,,,,,,4.48,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,New ,,,Nurses' Health Study,Zhang et al. ,2015,USA,Prospective cohort study,Registered female nurses,"Registered nurses ages 30 to 55 years in the United States completed and returned a self-administered questionnaire. Questionnaires have been mailed to women every 2 years since 1976 to collect information on demographics, lifestyle, medical history & disease outcomes",97803 ,1,0,2,62.0,,,,LTPA,26.0,,2914441.0,breast cancer,incidence,"Using biennial questionnaires, we identified cases of incident invasive breast cancer and contacted the participants (or next of kin) to confirm the diagnosis and obtained permission to collect relevant medical/pathology reports. Study investigators, blinded to exposure status, reviewed these records and abstracted information on tumor characteristics. Over 99% of selfreported breast cancers were confirmed by review of medical",Questionnaires and medical/pathology reports,questionnaire ,MET-hr/wk,"Physical activity assessment has been described in detail elsewhere (29). Briefly, beginning in 1986 and almost every 2 years thereafter, participants reported their average time per week during the past year spent doing any of the following activities: walking/hiking outdoors, jogging, running, bicycling, lap swimming, tennis, calisthenics/aerobics/aerobic, dance/rowing machine, and squash or racquet ball. In addition, women reported their usual walking pace and the number of flights of stairs climbed daily. We calculated metabolic equivalent task hours (MET-h) per week for each activity by multiplying the MET score and reported hours per week. we calculated the cumulative average of physical activity using the mean MET-h per week from all previous physical activity assessments as a measure of long-term physical activity. We then modeled categorically (<3, 3–<9, 9–<18, 18–<27, and  27 MET-h/wk) and continuously (per 20 MET-h/wk increase, equivalent to 5 hours of brisk walking/wk; ref. 29)",,2128,RR," age at menarche, BMI at age 18 years, height, parity and age at first birth, alcohol intake, PMH use, age at menopause, family history of breast cancer, and history of benign breast disease",,,9–<18,419,582888.2,19561,0.93,0.85,1.02,84,,,,,,,,,,,,10.19,,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,New ,,,Nurses' Health Study,Zhang et al. ,2015,USA,Prospective cohort study,Registered female nurses,"Registered nurses ages 30 to 55 years in the United States completed and returned a self-administered questionnaire. Questionnaires have been mailed to women every 2 years since 1976 to collect information on demographics, lifestyle, medical history & disease outcomes",97803 ,1,0,2,62.0,,,,LTPA,26.0,,2914441.0,breast cancer,incidence,"Using biennial questionnaires, we identified cases of incident invasive breast cancer and contacted the participants (or next of kin) to confirm the diagnosis and obtained permission to collect relevant medical/pathology reports. Study investigators, blinded to exposure status, reviewed these records and abstracted information on tumor characteristics. Over 99% of selfreported breast cancers were confirmed by review of medical",Questionnaires and medical/pathology reports,questionnaire ,MET-hr/wk,"Physical activity assessment has been described in detail elsewhere (29). Briefly, beginning in 1986 and almost every 2 years thereafter, participants reported their average time per week during the past year spent doing any of the following activities: walking/hiking outdoors, jogging, running, bicycling, lap swimming, tennis, calisthenics/aerobics/aerobic, dance/rowing machine, and squash or racquet ball. In addition, women reported their usual walking pace and the number of flights of stairs climbed daily. We calculated metabolic equivalent task hours (MET-h) per week for each activity by multiplying the MET score and reported hours per week. we calculated the cumulative average of physical activity using the mean MET-h per week from all previous physical activity assessments as a measure of long-term physical activity. We then modeled categorically (<3, 3–<9, 9–<18, 18–<27, and  27 MET-h/wk) and continuously (per 20 MET-h/wk increase, equivalent to 5 hours of brisk walking/wk; ref. 29)",,2128,RR," age at menarche, BMI at age 18 years, height, parity and age at first birth, alcohol intake, PMH use, age at menopause, family history of breast cancer, and history of benign breast disease",,,18–<27,424,582888.2,19561,0.94,0.85,1.03,85,,,,,,,,,,,,17.20,,17.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,New ,,,Nurses' Health Study,Zhang et al. ,2015,USA,Prospective cohort study,Registered female nurses,"Registered nurses ages 30 to 55 years in the United States completed and returned a self-administered questionnaire. Questionnaires have been mailed to women every 2 years since 1976 to collect information on demographics, lifestyle, medical history & disease outcomes",97803 ,1,0,2,62.0,,,,LTPA,26.0,,2914441.0,breast cancer,incidence,"Using biennial questionnaires, we identified cases of incident invasive breast cancer and contacted the participants (or next of kin) to confirm the diagnosis and obtained permission to collect relevant medical/pathology reports. Study investigators, blinded to exposure status, reviewed these records and abstracted information on tumor characteristics. Over 99% of selfreported breast cancers were confirmed by review of medical",Questionnaires and medical/pathology reports,questionnaire ,MET-hr/wk,"Physical activity assessment has been described in detail elsewhere (29). Briefly, beginning in 1986 and almost every 2 years thereafter, participants reported their average time per week during the past year spent doing any of the following activities: walking/hiking outdoors, jogging, running, bicycling, lap swimming, tennis, calisthenics/aerobics/aerobic, dance/rowing machine, and squash or racquet ball. In addition, women reported their usual walking pace and the number of flights of stairs climbed daily. We calculated metabolic equivalent task hours (MET-h) per week for each activity by multiplying the MET score and reported hours per week. we calculated the cumulative average of physical activity using the mean MET-h per week from all previous physical activity assessments as a measure of long-term physical activity. We then modeled categorically (<3, 3–<9, 9–<18, 18–<27, and  27 MET-h/wk) and continuously (per 20 MET-h/wk increase, equivalent to 5 hours of brisk walking/wk; ref. 29)",,2128,RR," age at menarche, BMI at age 18 years, height, parity and age at first birth, alcohol intake, PMH use, age at menopause, family history of breast cancer, and history of benign breast disease",,,?27,388,582888.2,19561,0.86,0.78,0.95,78,,,,,,,,,,,,24.40,,24.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,New ,25311002,https://www.ncbi.nlm.nih.gov/pubmed/25311002,Danish Nurse Cohort Study,Allesøe et al.,2015,Denmark,Prospective cohort study,"All female members of the Danish Nurses’ Association aged 45 years and over. Almost all nurses in Denmark are members of the Danish Nurses Organization, and the coverage of female nurses is close to 100%","All female members of the Danish Nurses’ Association aged 45 years and over (n=23,170) received a comprehensive self-administered questionnaire on health and lifestyle, including occupational status and working conditions",12093 ,1,0,2,51.0,,,,LTPA,14.8,range 0.1 – 14.8 yrs,178976.4,CHD,incidence,"Subjects were censored when a first ever hospitalisation for IHD occurred (cases), or when they died, or were classified as emigrated or missing. Information on hospitalisation for a first ever IHD event was retrieved from the Danish National Patient Registry, which through a personal identification number registers all hospital admissions in Denmark. Information on date of death, and classification as emigrated or missing, was obtained from the Central Person Registry. The National Patient Registry of Hospital Discharges is based on the International Classification of Diseases (ICD). IHD cases were defined as 410–414 in ICD-8 and I20–I25 in ICD-10. The follow-up for events was continued until 5 February 2008.",ICD,questionnaire (Saltin and Grimby),category,"Questionnaire asked: Which description most precisely covers your leisure time physical activity? : (i) Read, watch television or engaged in other sedentary activity (sedentary). (ii) Go for a walk, use your bicycle, or perform light physical activity (moderate). (iii) Are you an active athlete or performing heavy gardening, house work etc. for at least four hours per week (high). (iv) Vigorous training and participation in competitive sports several times a week (intensive). The categories (iii) and (iv) were merged in the analysis. 3 final categories : 1) Sedentary; 2) Moderate; 3) Vigorous ",OPA,580,HR,Age as underlying time scale,"Age as underlying time scale. Additionally adjusted for risk factors for IHD (family history of IHD, diabetes, BMI, smoking and alcohol consumption)","Age as underlying time scale, risk factors for IHD (family history of IHD, diabetes, BMI, smoking and alcohol consumption), work pressure, job influence, shift work and work hours per week",Sedentary,42,9640.7,651,1,,,,,,,,,Median age reported; person-time derived from : n x median follow-up; cases derived by HR weighting,https://www.ncbi.nlm.nih.gov/pubmed/21062845,,,,,0.00,"Objective PA duration (mins/day) for light, moderate and vigorous PA derived from  validation paper (Emaus et al. Does a variation in self-reported physical activity reflect variation in objectively measured physical activity, resting heart rate, and physical fitness? Results from the Tromso study. Scand J Public Health 2010; 38: 105–118.). We assumed M.MET values for PA intensity (LPA = 1.5; MPA=3.5; VPA=7).",0.00,,"For ""New"" Studies, Refer to individual study harmonisation sheet tabs for details.",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,New ,,,Danish Nurse Cohort Study,Allesøe et al.,2015,Denmark,Prospective cohort study,"All female members of the Danish Nurses’ Association aged 45 years and over. Almost all nurses in Denmark are members of the Danish Nurses Organization, and the coverage of female nurses is close to 100%","All female members of the Danish Nurses’ Association aged 45 years and over (n=23,170) received a comprehensive self-administered questionnaire on health and lifestyle, including occupational status and working conditions",12093 ,1,0,2,51.0,,,,LTPA,14.8,range 0.1 – 14.8 yrs,178976.4,CHD,incidence,"Subjects were censored when a first ever hospitalisation for IHD occurred (cases), or when they died, or were classified as emigrated or missing. Information on hospitalisation for a first ever IHD event was retrieved from the Danish National Patient Registry, which through a personal identification number registers all hospital admissions in Denmark. Information on date of death, and classification as emigrated or missing, was obtained from the Central Person Registry. The National Patient Registry of Hospital Discharges is based on the International Classification of Diseases (ICD). IHD cases were defined as 410–414 in ICD-8 and I20–I25 in ICD-10. The follow-up for events was continued until 5 February 2008.",ICD,questionnaire (Saltin and Grimby),category,"Questionnaire asked: Which description most precisely covers your leisure time physical activity? : (i) Read, watch television or engaged in other sedentary activity (sedentary). (ii) Go for a walk, use your bicycle, or perform light physical activity (moderate). (iii) Are you an active athlete or performing heavy gardening, house work etc. for at least four hours per week (high). (iv) Vigorous training and participation in competitive sports several times a week (intensive). The categories (iii) and (iv) were merged in the analysis. 3 final categories : 1) Sedentary; 2) Moderate; 3) Vigorous ",OPA,580,HR,Age as underlying time scale,"Age as underlying time scale. Additionally adjusted for risk factors for IHD (family history of IHD, diabetes, BMI, smoking and alcohol consumption)","Age as underlying time scale, risk factors for IHD (family history of IHD, diabetes, BMI, smoking and alcohol consumption), work pressure, job influence, shift work and work hours per week",Moderate,394,120317.4,8130,0.75,0.53,1.05,,,,,,,,,,,,,6.23,"Objective PA duration (mins/day) for light, moderate and vigorous PA derived from  validation paper (Emaus et al. Does a variation in self-reported physical activity reflect variation in objectively measured physical activity, resting heart rate, and physical fitness? Results from the Tromso study. Scand J Public Health 2010; 38: 105–118.). We assumed M.MET values for PA intensity (LPA = 1.5; MPA=3.5; VPA=7).",6.23,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,New ,,,Danish Nurse Cohort Study,Allesøe et al.,2015,Denmark,Prospective cohort study,"All female members of the Danish Nurses’ Association aged 45 years and over. Almost all nurses in Denmark are members of the Danish Nurses Organization, and the coverage of female nurses is close to 100%","All female members of the Danish Nurses’ Association aged 45 years and over (n=23,170) received a comprehensive self-administered questionnaire on health and lifestyle, including occupational status and working conditions",12093 ,1,0,2,51.0,,,,LTPA,14.8,range 0.1 – 14.8 yrs,178976.4,CHD,incidence,"Subjects were censored when a first ever hospitalisation for IHD occurred (cases), or when they died, or were classified as emigrated or missing. Information on hospitalisation for a first ever IHD event was retrieved from the Danish National Patient Registry, which through a personal identification number registers all hospital admissions in Denmark. Information on date of death, and classification as emigrated or missing, was obtained from the Central Person Registry. The National Patient Registry of Hospital Discharges is based on the International Classification of Diseases (ICD). IHD cases were defined as 410–414 in ICD-8 and I20–I25 in ICD-10. The follow-up for events was continued until 5 February 2008.",ICD,questionnaire (Saltin and Grimby),category,"Questionnaire asked: Which description most precisely covers your leisure time physical activity? : (i) Read, watch television or engaged in other sedentary activity (sedentary). (ii) Go for a walk, use your bicycle, or perform light physical activity (moderate). (iii) Are you an active athlete or performing heavy gardening, house work etc. for at least four hours per week (high). (iv) Vigorous training and participation in competitive sports several times a week (intensive). The categories (iii) and (iv) were merged in the analysis. 3 final categories : 1) Sedentary; 2) Moderate; 3) Vigorous ",OPA,580,HR,Age as underlying time scale,"Age as underlying time scale. Additionally adjusted for risk factors for IHD (family history of IHD, diabetes, BMI, smoking and alcohol consumption)","Age as underlying time scale, risk factors for IHD (family history of IHD, diabetes, BMI, smoking and alcohol consumption), work pressure, job influence, shift work and work hours per week",Vigorous,144,49018.3,3312,0.67,0.46,0.96,,,,,,,,,,,,,9.07,"Objective PA duration (mins/day) for light, moderate and vigorous PA derived from  validation paper (Emaus et al. Does a variation in self-reported physical activity reflect variation in objectively measured physical activity, resting heart rate, and physical fitness? Results from the Tromso study. Scand J Public Health 2010; 38: 105–118.). We assumed M.MET values for PA intensity (LPA = 1.5; MPA=3.5; VPA=7).",9.07,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,New ,27220873,https://www.ncbi.nlm.nih.gov/pubmed/27220873,Black Women’s Health Study,Nomura et al.,2016,USA,Prospective cohort study,African American women in USA,"In 1995, subscribers to Essence magazine were mailed health questionnaires. A small number of women were also recruited from several professional organizations or were friends or relatives of early respondents. Women who were aged 21–69 years, self-identified as Black, and completed the study questionnaire comprised the cohort",49103 ,1,0,2,38.2,10.4,,,LTPA,15.1,,681125.0,colon cancer,incidence,Colon and rectal cancer cases (ICD-10 colon cancer: C18.0–C18.9 and C26.0; ICD-10 rectal cancer: C19.9 and C20.9) were identified through self-report on the follow-up questionnaires and through linkage with cancer registries in 24 states in which 95 % of participants live,ICD,questionnaire ,category,PA levels ascertained  through walking for exercise and vigorous activity levels (High PA: ?3–4 h/week vigorous or ?5–6 h/week walking for exercise; moderate PA: 1–2 h/week vigorous or 1–4 h/week walking for exercise); Low PA:<1 h/week vigorous or walking for exercise),Sedentary behaviour ,267,HR,"age, BMI, alcohol consumption (<1, 1-6, 7-13, >13 drinks/wk), geographic region of residence (Northeast, South, Midwest, West, other), caloric intake (continuous), smoking (never, former, <15 cigarettes/day, ?15 cigarettes/day), family history of colorectal cancer (yes/no), education (?12, 13–15, ?16 years), menopausal status (pre/post), diabetes (yes/no), insulin usage (yes/no), aspirin usage (yes/no), colonoscopy (yes/no), sigmoidoscopy (yes/no)",,,Low,122,304990.0,21987,1,,,,,,,,,Colon cancer outcome from same paper,https://www.ncbi.nlm.nih.gov/pubmed/17061751,,,,,3.00,"Assigned MMETs (7 for VPA, 2.5 for walking) to duration of PA. ",2.75,,"For ""New"" Studies, Refer to individual study harmonisation sheet tabs for details.",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,New ,,,Black Women’s Health Study,Nomura et al.,2016,USA,Prospective cohort study,African American women in USA,"In 1995, subscribers to Essence magazine were mailed health questionnaires. A small number of women were also recruited from several professional organizations or were friends or relatives of early respondents. Women who were aged 21–69 years, self-identified as Black, and completed the study questionnaire comprised the cohort",49103 ,1,0,2,38.2,10.4,,,LTPA,15.1,,681125.0,colon cancer,incidence,Colon and rectal cancer cases (ICD-10 colon cancer: C18.0–C18.9 and C26.0; ICD-10 rectal cancer: C19.9 and C20.9) were identified through self-report on the follow-up questionnaires and through linkage with cancer registries in 24 states in which 95 % of participants live,ICD,questionnaire ,category,PA levels ascertained  through walking for exercise and vigorous activity levels (High PA: ?3–4 h/week vigorous or ?5–6 h/week walking for exercise; moderate PA: 1–2 h/week vigorous or 1–4 h/week walking for exercise); Low PA:<1 h/week vigorous or walking for exercise),Sedentary behaviour ,267,HR,"age, BMI, alcohol consumption (<1, 1-6, 7-13, >13 drinks/wk), geographic region of residence (Northeast, South, Midwest, West, other), caloric intake (continuous), smoking (never, former, <15 cigarettes/day, ?15 cigarettes/day), family history of colorectal cancer (yes/no), education (?12, 13–15, ?16 years), menopausal status (pre/post), diabetes (yes/no), insulin usage (yes/no), aspirin usage (yes/no), colonoscopy (yes/no), sigmoidoscopy (yes/no)",,,Moderate ,116,286695.0,20668,0.91,0.55,1.52,,,,,,,,,,,,,8.38,,7.63,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
