ref_number,pa_domain_subgroup,line_id,delete,only_stratified_data?,stratified_by,first_author,outcome,overall,outcome_type,sex,sex_subgroups,n_baseline,mean_followup,tot_personyrs,n_months_excluded,total_cases,n_per_category,person_years_per_category,cases_per_category,effect_measure,least_adj_effect,least_adj_lci,least_adj_uci,no_bmi_effect,no_bmi_lci,no_bmi_uci,most_adj_effect,most_adj_lci,most_adj_uci,line_id2,study_section,m_met_h_wk
277,LTPA,1,,Yes,Sex,Mok Y.,All-cause mortality,0,Fatal,Men,1,31664,10.3,326139,36,1516,21051,216825,1083,HR,1,,,1,,,1,,,1,1,0
277,LTPA,2,,Yes,Sex,Mok Y.,All-cause mortality,0,Fatal,Men,1,31664,10.3,326139,36,1516,5808,59822,219,HR,0.68,0.57,0.81,0.68,0.57,0.81,0.73,0.62,0.87,2,1,7.7
277,LTPA,3,,Yes,Sex,Mok Y.,All-cause mortality,0,Fatal,Men,1,31664,10.3,326139,36,1516,4805,49492,214,HR,0.83,0.69,0.99,0.83,0.69,0.99,0.66,0.55,0.79,3,1,30.84
277,LTPA,4,,Yes,Sex,Mok Y.,All-cause mortality,0,Fatal,Women,2,27972,10.3,288112,36,777,20481,210954,630,HR,1,,,1,,,1,,,1,2,0
277,LTPA,5,,Yes,Sex,Mok Y.,All-cause mortality,0,Fatal,Women,2,27972,10.3,288112,36,777,3889,40057,81,HR,0.64,0.48,0.86,0.64,0.48,0.86,0.59,0.44,0.79,2,2,8.27
277,LTPA,6,,Yes,Sex,Mok Y.,All-cause mortality,0,Fatal,Women,2,27972,10.3,288112,36,777,3602,37101,66,HR,0.88,0.66,1.18,0.88,0.66,1.18,0.78,0.58,1.04,3,2,29.92
277,LTPA,7,,Yes,Sex,Mok Y.,All-cause cancer,0,Fatal,Men,1,31664,10.3,326139,36,760,21051,216825,539,HR,1,,,1,,,1,,,1,3,0
277,LTPA,8,,Yes,Sex,Mok Y.,All-cause cancer,0,Fatal,Men,1,31664,10.3,326139,36,760,5808,59822,99,HR,0.69,0.54,0.88,0.69,0.54,0.88,0.72,0.57,0.92,2,3,7.7
277,LTPA,9,,Yes,Sex,Mok Y.,All-cause cancer,0,Fatal,Men,1,31664,10.3,326139,36,760,4805,49492,122,HR,0.85,0.68,1.07,0.85,0.68,1.07,0.78,0.62,0.98,3,3,30.84
277,LTPA,10,,Yes,Sex,Mok Y.,All-cause cancer,0,Fatal,Women,2,27972,10.3,288112,36,300,20481,210954,235,HR,1,,,1,,,1,,,1,4,0
