id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,14,Bell et al.,hr,Both,ci,3647,61999,0,1,0,1085,NA,NA,NA
1,14,Bell et al.,hr,Both,ci,5022,85374,3.13,0.7,-0.35667494393873245,1025,0.77,0.64,0.04717493279281044
1,14,Bell et al.,hr,Both,ci,5056,85952,9.4,0.65,-0.4307829160924542,921,0.71,0.58,0.051591985385985355
2,182,Lear SA. ,hr,Both,ci,23549,162488,0,1,0,1000,NA,NA,NA
2,182,Lear SA. ,hr,Both,ci,49245,339791,23.87,0.87,-0.13926206733350766,1682,0.96,0.79,0.04972038785869631
2,182,Lear SA. ,hr,Both,ci,57725,398303,58,0.8,-0.2231435513142097,1718,0.89,0.73,0.050556267907712366
3,185,"Stamatakis, E.",hr,Both,ci,4988,41900,3.75,1,0,353,NA,NA,NA
3,185,"Stamatakis, E.",hr,Both,ci,3782,31768,6,1.02,0.01980262729617973,242,1.22,0.86,0.08920412600382734
3,185,"Stamatakis, E.",hr,Both,ci,4824,40521,8.75,0.86,-0.15082288973458366,199,1.04,0.72,0.09380906563229827
4,213,Hu G,hr,Both,ci,2396,20921,0,1,0,182,NA,NA,NA
4,213,Hu G,hr,Both,ci,9008,78712,9.2,0.72,-0.3285040669720361,413,0.87,0.6,0.09478836329731799
4,213,Hu G,hr,Both,ci,7488,70729,21.9,0.66,-0.4155154439616658,223,0.82,0.54,0.10656706041412513
5,285,Chomistek A.,hr,Both,ci,12861,164779,0.2,1,0,1120,NA,NA,NA
5,285,Chomistek A.,hr,Both,ci,18299,196071,3.4,0.91,-0.09431067947124129,1172,1,0.83,0.04753392910819726
5,285,Chomistek A.,hr,Both,ci,21653,234178,10.1,0.84,-0.1743533871447778,1161,0.91,0.77,0.04261662101468894
5,285,Chomistek A.,hr,Both,ci,18205,203907,20.3,0.74,-0.3011050927839216,782,0.82,0.67,0.051538352099030196
6,315,Chomistek A ,hr,Both,ci,83,15253,0,1,0,124,NA,NA,NA
6,315,Chomistek A ,hr,Both,ci,401,74038,1.32,1.06,0.058268908123975824,574,1.3,0.87,0.10245757957007784
6,315,Chomistek A ,hr,Both,ci,584,107727,4.65,0.98,-0.020202707317519466,742,1.19,0.8,0.10130208043869611
6,315,Chomistek A ,hr,Both,ci,1154,213021,11.55,0.89,-0.11653381625595151,1262,1.07,0.73,0.09754500499233562
6,315,Chomistek A ,hr,Both,ci,2238,413138,18.38,0.8,-0.2231435513142097,2067,0.97,0.66,0.0982304367616527
7,326,"Khaw, K",hr,Both,ci,6291,50328,0,1,0,1215,NA,NA,NA
7,326,"Khaw, K",hr,Both,ci,6529,52232,15.05,0.94,-0.06187540371808753,870,1.05,0.84,0.056925421353233474
7,326,"Khaw, K",hr,Both,ci,5087,40696,21.8,0.89,-0.11653381625595151,576,1.02,0.78,0.0684359479844302
7,326,"Khaw, K",hr,Both,ci,4284,34272,31.6,0.72,-0.3285040669720361,418,0.82,0.64,0.06322467296835076
8,336,"Alvarez-Alvarez, I.",hr,Both,ci,4559,45573,4.26,1,0,33,NA,NA,NA
8,336,"Alvarez-Alvarez, I.",hr,Both,ci,3718,37752,14.45,0.77,-0.2613647641344075,25,1.33,0.44,0.2821887297493061
