id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,4,Lee et al.,hr,Fatal,ci,16540,263821,0,1,0,908,NA,NA,NA
1,4,Lee et al.,hr,Fatal,ci,7488,110055,2.61,0.99,-0.01005033585350145,325,1.13,0.87,0.06670523084104488
1,4,Lee et al.,hr,Fatal,ci,18345,226390,21.74,1.04,0.03922071315328133,489,1.18,0.91,0.06628313581226035
2,22,"Villeneuve, P",rr,Fatal,ir,6203,48714,0.87,1,0,258,NA,NA,NA
2,22,"Villeneuve, P",rr,Fatal,ir,3675,28974,4.86,0.87,-0.13926206733350766,109,1.09,0.7,0.112974688227169
2,22,"Villeneuve, P",rr,Fatal,ir,2334,18406,11.96,0.85,-0.16251892949777494,73,1.11,0.66,0.13262372762627783
2,22,"Villeneuve, P",rr,Fatal,ir,2230,17605,20.71,0.8,-0.2231435513142097,66,1.05,0.61,0.1385450167115338
3,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,229,NA,NA,NA
3,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,0.69,-0.37106368139083207,91,0.88,0.54,0.12458207695804528
3,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.61,-0.4942963218147801,477,0.72,0.52,0.08301744394323526
3,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.53,-0.6348782724359695,217,0.64,0.44,0.09558682006326263
3,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.43,-0.843970070294529,201,0.52,0.35,0.10099564589318692
3,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.39,-0.941608539858445,52,0.53,0.29,0.1538283581540284
4,54,Kujala UM.,rr,Fatal,ir,2516,50320,0,1,0,302,NA,NA,NA
4,54,Kujala UM.,rr,Fatal,ir,11694,233880,0.94,0.8,-0.2231435513142097,869,0.91,0.69,0.07060155291183492
4,54,Kujala UM.,rr,Fatal,ir,1692,33840,2.81,0.76,-0.2744368457017603,82,0.98,0.59,0.1294488160923864
5,59,"Lee, I",hr,Fatal,ci,919,68941,4.78,1,0,1032,NA,NA,NA
5,59,"Lee, I",hr,Fatal,ci,758,56825,16.06,0.8,-0.2231435513142097,672,0.88,0.72,0.051192444617609335
5,59,"Lee, I",hr,Fatal,ci,453,33958,27.66,0.74,-0.3011050927839216,366,0.83,0.65,0.06236169129360987
5,59,"Lee, I",hr,Fatal,ci,249,18653,39.39,0.8,-0.2231435513142097,215,0.93,0.69,0.07614756977946315
