id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,991,Espana-Romero V.,or,Non-fatal,ir,1250,7625,0,1,0,161,NA,NA,NA
1,991,Espana-Romero V.,or,Non-fatal,ir,2109,12865,2.65,1.15,0.13976194237515863,304,1.52,0.87,0.1423425140953885
1,991,Espana-Romero V.,or,Non-fatal,ir,1751,10681,9.29,0.85,-0.16251892949777494,176,1.05,0.63,0.1303150536936694
2,992,Camacho T.,or,Non-fatal,ir,1173,10557,5,1,0,252,NA,NA,NA
2,992,Camacho T.,or,Non-fatal,ir,1709,15381,16,0.71,-0.342490308946776,285,0.93,0.54,0.13867995812090195
2,992,Camacho T.,or,Non-fatal,ir,782,7038,28,0.58,-0.5447271754416722,89,0.8,0.43,0.15837702219972402
3,993,Pavey T.,or,Non-fatal,ir,5034,15102,0,1,0,1501,NA,NA,NA
3,993,Pavey T.,or,Non-fatal,ir,358,1074,2.65,0.76,-0.2744368457017603,63,1.01,0.57,0.14593871456800198
3,993,Pavey T.,or,Non-fatal,ir,1160,3480,9.29,0.58,-0.5447271754416722,156,0.7,0.49,0.09099017807269391
3,993,Pavey T.,or,Non-fatal,ir,1454,4362,16.18,0.56,-0.579818495252942,186,0.68,0.47,0.09422624761973018
3,993,Pavey T.,or,Non-fatal,ir,1495,4485,23.17,0.58,-0.5447271754416722,187,0.69,0.48,0.09257963323610044
3,993,Pavey T.,or,Non-fatal,ir,2593,7779,30.21,0.54,-0.616186139423817,325,0.63,0.47,0.07474298685907478
4,994,Wise L.,or,Non-fatal,ir,8437,33748,0,1,0,2488.915,NA,NA,NA
4,994,Wise L.,or,Non-fatal,ir,8852,35408,3,0.89,-0.11653381625595151,2478.56,0.95,0.83,0.03444866458493419
4,994,Wise L.,or,Non-fatal,ir,5900,23600,6,0.85,-0.16251892949777494,1581.2,0.92,0.78,0.042112955049576586
4,994,Wise L.,or,Non-fatal,ir,4692,18768,12,0.74,-0.3011050927839216,1116.696,0.81,0.68,0.044628740853466686
4,994,Wise L.,or,Non-fatal,ir,3775,15100,21,0.72,-0.3285040669720361,879.575,0.8,0.66,0.049075364181398504
4,994,Wise L.,or,Non-fatal,ir,2139,8556,33,0.81,-0.21072103131565253,562.557,0.92,0.72,0.06253238834143889
4,994,Wise L.,or,Non-fatal,ir,1429,5716,45,0.75,-0.2876820724517809,357.25,0.87,0.65,0.07436893000545569
5,9910,Hamer M.,or,Non-fatal,ir,674,2696,0.56,1,0,108,NA,NA,NA
5,9910,Hamer M.,or,Non-fatal,ir,2142,8568,1.88,0.73,-0.31471074483970024,161,0.96,0.55,0.14209827594512672
5,9910,Hamer M.,or,Non-fatal,ir,1507,6028,4.5,0.6,-0.5108256237659907,79,0.84,0.43,0.17082372136212767
6,9919,Kuwahara K.,hr,Non-fatal,ci,17704,82641,0,1,0,3954,NA,NA,NA
6,9919,Kuwahara K.,hr,Non-fatal,ci,2753,12860,0.96,0.97,-0.030459207484708574,603,1.05,0.89,0.04217525978268939
6,9919,Kuwahara K.,hr,Non-fatal,ci,2627,12255,4.17,0.9,-0.10536051565782628,516,0.98,0.82,0.045472323168261816
6,9919,Kuwahara K.,hr,Non-fatal,ci,3422,15983,8.88,0.92,-0.08338160893905101,650,0.99,0.84,0.04191481389129543
6,9919,Kuwahara K.,hr,Non-fatal,ci,1284,5984,16.32,0.85,-0.16251892949777494,209,0.98,0.74,0.07166008857359737
6,9919,Kuwahara K.,hr,Non-fatal,ci,1292,6024,23.87,0.95,-0.05129329438755058,245,1.08,0.83,0.06716720853148955
7,9925,Harvey S.,or,Non-fatal,ir,2818.836969,31007,0,1,0,277,NA,NA,NA
7,9925,Harvey S.,or,Non-fatal,ir,5688.396374,62572,0.62,0.83,-0.18632957819149348,427,1.01,0.68,0.10092349012167984
7,9925,Harvey S.,or,Non-fatal,ir,5411.501769,59527,1.88,0.77,-0.2613647641344075,359,0.94,0.63,0.10208352271645875
7,9925,Harvey S.,or,Non-fatal,ir,4509.307636,49602,3.75,0.69,-0.37106368139083207,262,0.86,0.56,0.1094396654485034
