id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,77,"Keum, N",hr,Both,ci,484,153020,2.67,1,0,34,NA,NA,NA
1,77,"Keum, N",hr,Both,ci,546,172674,11.18,0.65,-0.4307829160924542,26,1.1,0.38,0.2711514636110675
1,77,"Keum, N",hr,Both,ci,621,196381,24.21,0.65,-0.4307829160924542,30,1.1,0.38,0.2711514636110675
1,77,"Keum, N",hr,Both,ci,307,96922,41.97,0.63,-0.4620354595965587,14,1.22,0.32,0.3414055443084038
1,77,"Keum, N",hr,Both,ci,215,67927,73.93,0.41,-0.8915981192837836,6,1.01,0.17,0.4545765092727469
2,140,Leitzmann MF,hr,Both,ci,87222,616503,0,1,0,290,NA,NA,NA
2,140,Leitzmann MF,hr,Both,ci,66853,482118,0.63,0.87,-0.13926206733350766,178,1.05,0.72,0.09625029697420896
2,140,Leitzmann MF,hr,Both,ci,106058,767821,1.88,0.84,-0.1743533871447778,256,0.99,0.7,0.08842626977315955
2,140,Leitzmann MF,hr,Both,ci,131852,957476,4.38,0.82,-0.19845093872383832,289,0.97,0.69,0.0868904930378232
2,140,Leitzmann MF,hr,Both,ci,95747,694565,6.88,0.89,-0.11653381625595151,236,1.06,0.74,0.09167872566603107
3,181,Hashibe M.,hr,Both,ci,14816,169643,3,1,0,39,NA,NA,NA
3,181,Hashibe M.,hr,Both,ci,12920,147934,9,0.57,-0.5621189181535413,18,1,0.32,0.2906773522820004
3,181,Hashibe M.,hr,Both,ci,18458,211344,21,0.58,-0.5447271754416722,27,0.96,0.35,0.2574027221768581
4,347,Jee Y. ,hr,Fatal,ci,84037,1428212,0,1,0,37,NA,NA,NA
4,347,Jee Y. ,hr,Fatal,ci,31592,536913,3.13,0.98,-0.020202707317519466,14,1.83,0.53,0.3161267883144551
4,347,Jee Y. ,hr,Fatal,ci,19968,339348,9.38,0.28,-1.2729656758128873,3,0.93,0.09,0.5957698545070667
4,347,Jee Y. ,hr,Fatal,ci,17257,293290,15.63,0.6,-0.5108256237659907,7,1.36,0.26,0.42208896713549726
