id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,138,Kabat GC,hr,Both,ci,51419,1388497,0.63,1,0,63,NA,NA,NA
1,138,Kabat GC,hr,Both,ci,35961,971078,1.88,0.88,-0.12783337150988489,39,1.32,0.58,0.20978929167235064
1,138,Kabat GC,hr,Both,ci,77015,2079673,4.38,0.7,-0.35667494393873245,73,0.99,0.49,0.17941644784585345
2,207,Walter R,hr,Both,ci,18461,134765,1.24,0.77,-0.2613647641344075,163,0.98,NA,NA
2,207,Walter R,hr,Both,ci,18634,136028,6.45,0.78,-0.2484613592984996,197,1,0.61,0.12609831754913012
2,207,Walter R,hr,Both,ci,18552,135430,14.03,0.71,-0.342490308946776,183,0.92,0.54,0.13592202068187484
3,91,Suzuki,hr,Fatal,ci,NA,128676,1.25,1,0,11,NA,NA,NA
3,91,Suzuki,hr,Fatal,ci,NA,164754,3.75,0.9,-0.10536051565782628,9,1.8,0.45,0.3536530191510671
3,91,Suzuki,hr,Fatal,ci,NA,801465,8.75,1.2,0.1823215567939546,42,2.39,0.61,0.34837111766588497
4,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,54,NA,NA,NA
4,332,"Arem, H",hr,Fatal,ci,31095,376250,1.25,1.27,0.23901690047049992,50,1.86,0.86,0.19678917152161818
4,332,"Arem, H",hr,Fatal,ci,74502,901474,5,0.85,-0.16251892949777494,81,1.21,0.6,0.17894359001174437
4,332,"Arem, H",hr,Fatal,ci,76049,920193,13.75,1.1,0.09531017980432493,109,1.54,0.79,0.17028495299194277
4,332,"Arem, H",hr,Fatal,ci,70700,855470,23.75,0.86,-0.15082288973458366,82,1.22,0.6,0.18104324572007283
