id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,9915,Logroscino G.,hr,Both,ci,Inf,12363,4.73,1,0,19,NA,NA,NA
1,9915,Logroscino G.,hr,Both,ci,Inf,14976,15.93,1.22,0.19885085874516517,29,2.19,0.68,0.29836365205324333
1,9915,Logroscino G.,hr,Both,ci,Inf,10191,27.44,0.75,-0.2876820724517809,13,1.56,0.36,0.37407245244292936
1,9915,Logroscino G.,hr,Both,ci,Inf,9619,39.07,1.12,0.11332868530700327,17,2.17,0.58,0.33660168079661873
2,996,Thacker E.,hr,Non-fatal,ci,976,63563,0,1,0,23,NA,NA,NA
2,996,Thacker E.,hr,Non-fatal,ci,2771,180528,2.14,1,0,67,1.9,0.5,0.340567754627804
2,996,Thacker E.,hr,Non-fatal,ci,1620,105565,5.25,1.1,0.09531017980432493,46,1.9,0.7,0.2547314231249644
2,996,Thacker E.,hr,Non-fatal,ci,2360,153733,12.06,1.2,0.1823215567939546,74,1.9,0.7,0.2547314231249644
2,996,Thacker E.,hr,Non-fatal,ci,2196,143028,19.77,0.8,-0.2231435513142097,46,1.3,0.5,0.24375739874925992
3,9912,Saaksjarvi K.,hr,Non-fatal,ci,1366,22752,0,1,0,23,NA,NA,NA
3,9912,Saaksjarvi K.,hr,Non-fatal,ci,3280,50071,9,0.65,-0.4307829160924542,41,1.1,0.38,0.2711514636110675
3,9912,Saaksjarvi K.,hr,Non-fatal,ci,401,4396,11.25,0.25,-1.3862943611198906,2,1.09,0.06,0.7397045139279785
4,99161,Chen H.,hr,Non-fatal,ci,2949,170212,0.4,1,0,13,NA,NA,NA
4,99161,Chen H.,hr,Non-fatal,ci,3209,185227,2.03,0.8,-0.2231435513142097,16,1.7,0.4,0.36911876808692357
4,99161,Chen H.,hr,Non-fatal,ci,3101,178980,5.29,1.9,0.6418538861723947,30,3.7,1,0.3337645053608489
4,99161,Chen H.,hr,Non-fatal,ci,3063,176761,12.25,0.9,-0.10536051565782628,15,1.9,0.5,0.340567754627804
4,99161,Chen H.,hr,Non-fatal,ci,3120,180058,21.6,1.1,0.09531017980432493,20,2.2,0.5,0.37796728731010454
5,99162,Chen H.,hr,Non-fatal,ci,1876,119516,0.63,1,0,14,NA,NA,NA
5,99162,Chen H.,hr,Non-fatal,ci,1888,120276,3.48,1.1,0.09531017980432493,18,2.1,0.6,0.3195882624316066
5,99162,Chen H.,hr,Non-fatal,ci,1951,124340,9.17,0.6,-0.5108256237659907,17,1.3,0.3,0.37407245244292936
5,99162,Chen H.,hr,Non-fatal,ci,1966,125293,20.08,0.5,-0.6931471805599453,13,1.1,0.2,0.434892708663338
5,99162,Chen H.,hr,Non-fatal,ci,1997,127230,34.46,0.5,-0.6931471805599453,7,1.1,0.2,0.434892708663338
6,9920,Yang F.,hr,Non-fatal,ci,12979,163535,10.23,1,0,104,NA,NA,NA
6,9920,Yang F.,hr,Non-fatal,ci,12976,163498,28.98,0.88,-0.12783337150988489,105,1.18,0.66,0.14822463244792478
6,9920,Yang F.,hr,Non-fatal,ci,12977,163510,43.89,0.72,-0.3285040669720361,77,0.99,0.53,0.15939781075341977
7,9924, Xu Q. ,or,Non-fatal,ir,27740,NA,0,1,0,114,NA,NA,NA
7,9924, Xu Q. ,or,Non-fatal,ir,21762,NA,0.62,1.02,0.01980262729617973,90,1.34,0.77,0.14133789765204366
7,9924, Xu Q. ,or,Non-fatal,ir,54058,NA,2.5,0.85,-0.16251892949777494,195,1.07,0.67,0.11942469830148385
7,9924, Xu Q. ,or,Non-fatal,ir,56704,NA,6.88,0.82,-0.19845093872383832,207,1.03,0.65,0.11743626973891244
7,9924, Xu Q. ,or,Non-fatal,ir,52318,NA,10.62,0.65,-0.4307829160924542,158,0.83,0.51,0.1242407970028491
