id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,9927,Neergaard J.,hr,Both,ci,1491,17743,0,1,0,22,NA,NA,NA
1,9927,Neergaard J.,hr,Both,ci,1057,12578,1.25,0.55,-0.5978370007556204,8,1.25,0.24,0.42099240597566984
1,9927,Neergaard J.,hr,Both,ci,643,7652,2.5,0.46,-0.7765287894989963,4,1.35,0.16,0.5440625626340597
1,9927,Neergaard J.,hr,Both,ci,1772,21087,4.38,0.42,-0.8675005677047231,9,0.93,0.19,0.4051504329962243
2,995,Laurin D.,or,Non-fatal,ir,1126,5630,0,1,0,23,NA,NA,NA
2,995,Laurin D.,or,Non-fatal,ir,490,2450,2.81,0.54,-0.616186139423817,5,1.44,0.2,0.5036013522680287
2,995,Laurin D.,or,Non-fatal,ir,1378,6890,5.62,0.7,-0.35667494393873245,18,1.31,0.37,0.3225261842894569
2,995,Laurin D.,or,Non-fatal,ir,739,3695,13.5,0.63,-0.4620354595965587,8,1.44,0.27,0.42704265149150306
3,997,Podewils LJ.,hr,Non-fatal,ci,844,4365,0.72,1,0,55,NA,NA,NA
3,997,Podewils LJ.,hr,Non-fatal,ci,842,4496,4.18,1.32,0.27763173659827955,58,1.96,0.89,0.20140122362596494
3,997,Podewils LJ.,hr,Non-fatal,ci,844,4643,11.25,0.99,-0.01005033585350145,52,1.57,0.63,0.23294078007536856
3,997,Podewils LJ.,hr,Non-fatal,ci,843,4706,20.7,1.03,0.02955880224154443,48,1.67,0.64,0.24467560032286986
4,9936,Hansson O.,hr,Non-fatal,ci,6870,103050,10.52,1,0,102,NA,NA,NA
4,9936,Hansson O.,hr,Non-fatal,ci,6870,103050,21.95,0.93,-0.07257069283483537,94,1.24,0.7,0.1458665383817906
4,9936,Hansson O.,hr,Non-fatal,ci,6870,103050,39.65,0.66,-0.4155154439616658,67,0.9,0.49,0.15510217968681603
