id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,26,Orsini N,rr,Fatal,ir,7662,68106,0,1,0,217,NA,NA,NA
1,26,Orsini N,rr,Fatal,ir,7662,68106,18.13,0.9,-0.10536051565782628,181,1.08,0.7,0.11062345749598622
1,26,Orsini N,rr,Fatal,ir,7662,68106,36.31,0.85,-0.16251892949777494,197,1.1,0.62,0.14626441742547433
1,26,Orsini N,rr,Fatal,ir,7662,68106,54.54,0.71,-0.342490308946776,185,0.85,0.52,0.12536136933766362
2,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,56,NA,NA,NA
2,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,1.03,0.02955880224154443,33,1.58,0.67,0.21885667808261422
2,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.86,-0.15082288973458366,162,1.16,0.63,0.15573129647535028
2,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.86,-0.15082288973458366,88,1.2,0.61,0.17260977343099423
2,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.68,-0.3856624808119846,79,0.96,0.48,0.17682650957553353
2,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.53,-0.6348782724359695,18,0.9,0.31,0.27189848238339853
3,83,O´Donovan G.,hr,Fatal,ci,39947,352512,0,1,0,1757,NA,NA,NA
3,83,O´Donovan G.,hr,Fatal,ci,14224,125520,3.13,0.86,-0.15082288973458366,482,0.96,0.77,0.05626194444228711
3,83,O´Donovan G.,hr,Fatal,ci,2341,20658,9.38,0.82,-0.19845093872383832,72,1.06,0.63,0.13273314505384515
3,83,O´Donovan G.,hr,Fatal,ci,7079,62469,9.38,0.79,-0.23572233352106983,215,0.94,0.66,0.09021595371982492
4,91,Suzuki,hr,Fatal,ci,NA,128676,1.25,1,0,729,NA,NA,NA
4,91,Suzuki,hr,Fatal,ci,NA,164754,3.75,0.95,-0.05129329438755058,690,1.03,0.88,0.040151802531301274
