id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,2,Fraser G.,rr,Fatal,ir,11315,57135,0,1,0,129,NA,NA,NA
1,2,Fraser G.,rr,Fatal,ir,5265,26584,6.75,0.65,-0.4307829160924542,47,0.92,0.45,0.18243347656373896
1,2,Fraser G.,rr,Fatal,ir,11078,55935,13.5,0.49,-0.7133498878774648,68,0.67,0.36,0.15846558555019255
2,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,41,NA,NA,NA
2,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,0.59,-0.527632742082372,14,1.09,0.32,0.3126618624364755
2,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.59,-0.527632742082372,80,0.86,0.4,0.19527599695134304
2,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.51,-0.6733445532637656,35,0.8,0.32,0.233751930928767
2,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.32,-1.1394342831883648,25,0.52,0.19,0.256842663272523
2,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.36,-1.0216512475319814,8,0.77,0.17,0.385362203008021
3,95,Inoue M. ,hr,Fatal,ci,27368,233819,0,1,0,157,NA,NA,NA
3,95,Inoue M. ,hr,Fatal,ci,19438,171130,36.98,0.91,-0.09431067947124129,86,1.19,0.69,0.1390375008962651
3,95,Inoue M. ,hr,Fatal,ci,18019,158572,51.62,0.64,-0.4462871026284195,61,0.87,0.47,0.1570846509939891
3,95,Inoue M. ,hr,Fatal,ci,18209,161551,102.97,0.73,-0.31471074483970024,73,0.99,0.55,0.14994833311696168
4,120,Williams P,hr,Fatal,ci,9624,92390,2.33,1,0,108,NA,NA,NA
4,120,Williams P,hr,Fatal,ci,6759,64886,7.3,1.01,0.009950330853168092,76,1.36,0.75,0.1518310481453591
4,120,Williams P,hr,Fatal,ci,13985,134256,14.57,0.92,-0.08338160893905101,144,1.2,0.71,0.1338830381273278
4,120,Williams P,hr,Fatal,ci,11654,111878,25.13,0.88,-0.12783337150988489,114,1.18,0.65,0.15211946731509995
5,148,Wisloff U.,hr,Fatal,ci,80,107029,0,1,0,581,NA,NA,NA
5,148,Wisloff U.,hr,Fatal,ci,196,260576,1.31,0.89,-0.11653381625595151,234,1,0.78,0.06338416451994301
5,148,Wisloff U.,hr,Fatal,ci,42,56309,0.38,0.91,-0.09431067947124129,117,1.07,0.78,0.08064434098428054
5,148,Wisloff U.,hr,Fatal,ci,24,32212,0.88,0.93,-0.07257069283483537,36,1.32,0.66,0.17682650957553356
5,148,Wisloff U.,hr,Fatal,ci,39,51597,1.13,0.66,-0.4155154439616658,113,0.81,0.54,0.10343687723509756
5,148,Wisloff U.,hr,Fatal,ci,62,82953,2.63,0.66,-0.4155154439616658,72,0.85,0.51,0.1303150536936694
5,148,Wisloff U.,hr,Fatal,ci,33,43667,0.94,0.84,-0.1743533871447778,188,1,0.71,0.08737158224546368
