id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,17,"Colbert, L.",hr,Both,ci,4617,36942,0,1,0,60,NA,NA,NA
1,17,"Colbert, L.",hr,Both,ci,4693,38332,80.85,0.8,-0.2231435513142097,47,1.1,0.5,0.201140777734571
1,17,"Colbert, L.",hr,Both,ci,4560,37427,151.9,0.9,-0.10536051565782628,51,1.2,0.6,0.17682650957553353
1,17,"Colbert, L.",hr,Both,ci,4607,37963,220.5,0.7,-0.35667494393873245,45,1.1,0.5,0.201140777734571
1,17,"Colbert, L.",hr,Both,ci,4892,40525,333.2,0.8,-0.2231435513142097,50,1.1,0.5,0.201140777734571
2,157,Borch et al.,hr,Both,ci,3855,48995,4.7,1,0,56,NA,NA,NA
2,157,Borch et al.,hr,Both,ci,18098,236571,11.4,0.72,-0.3285040669720361,181,1,0.51,0.17177472611104636
2,157,Borch et al.,hr,Both,ci,35551,462837,21.1,0.63,-0.4620354595965587,283,0.86,0.45,0.16522875205668147
2,157,Borch et al.,hr,Both,ci,20991,266512,30.6,0.58,-0.5447271754416722,139,0.81,0.41,0.17369632639650598
2,157,Borch et al.,hr,Both,ci,4264,54318,54.5,0.46,-0.7765287894989963,28,0.79,0.27,0.27388538639770915
3,199,Friberg E.,hr,Both,ci,2608,75638,0,1,0,75,NA,NA,NA
3,199,Friberg E.,hr,Both,ci,1889,54804,20.57,0.76,-0.2744368457017603,39,1.17,0.5,0.21687922229068807
3,199,Friberg E.,hr,Both,ci,1929,55958,43.04,0.77,-0.2613647641344075,43,1.19,0.51,0.21615138519650906
3,199,Friberg E.,hr,Both,ci,2005,58149,66.77,0.8,-0.2231435513142097,42,1.21,0.52,0.2154495780731155
4,233,Dieli-Conwright et al.,hr,Both,ci,2062,90597,0.63,1,0,134,NA,NA,NA
4,233,Dieli-Conwright et al.,hr,Both,ci,7006,307874,2.51,1.03,0.02955880224154443,351,1.26,0.84,0.10343687723509758
4,233,Dieli-Conwright et al.,hr,Both,ci,7300,320794,5.63,1,0,282,1.23,0.81,0.10656706041412514
4,233,Dieli-Conwright et al.,hr,Both,ci,7104,312193,9.35,0.85,-0.16251892949777494,209,1.06,0.68,0.11324988429318976
5,240,Patel et al.,hr,Both,ci,748,34622,0,1,0,43,NA,NA,NA
5,240,Patel et al.,hr,Both,ci,2684,124302,2.14,1.19,0.17395330712343798,170,1.66,0.85,0.1707522528847132
5,240,Patel et al.,hr,Both,ci,2884,133553,9.09,1.1,0.09531017980432493,157,1.53,0.79,0.1686230140296504
5,240,Patel et al.,hr,Both,ci,1629,75456,19.24,0.95,-0.05129329438755058,72,1.39,0.65,0.19390322200574125
5,240,Patel et al.,hr,Both,ci,589,27264,31.06,0.94,-0.06187540371808753,24,1.54,0.57,0.2535509178788096
6,251,Furberg et al.,hr,Both,ci,1400,66043,0,1,0,28,NA,NA,NA
6,251,Furberg et al.,hr,Both,ci,5521,260375,15,0.81,-0.21072103131565253,85,1.25,0.53,0.21888714040618762
6,251,Furberg et al.,hr,Both,ci,1232,58113,36,0.79,-0.23572233352106983,17,1.45,0.43,0.31009080685027546
7,268,Du M.,hr,Both,ci,2158,152164,0.7,1,0,112,NA,NA,NA
7,268,Du M.,hr,Both,ci,3803,268222,4.07,0.95,-0.05129329438755058,181,1.21,0.74,0.12544247146152662
7,268,Du M.,hr,Both,ci,3756,264877,10.11,0.96,-0.040821994520255166,176,1.24,0.75,0.12826599264953262
7,268,Du M.,hr,Both,ci,2106,148550,17.57,1,0,98,1.32,0.75,0.14421535638133756
7,268,Du M.,hr,Both,ci,2491,175695,25.13,1.1,0.09531017980432493,116,1.45,0.84,0.13926708548814778
8,290,Conroy M.,hr,Both,ci,8124,71491,0.6,1,0,80,NA,NA,NA
8,290,Conroy M.,hr,Both,ci,8128,71526,3.72,0.86,-0.15082288973458366,66,1.25,0.59,0.19152808401547416
8,290,Conroy M.,hr,Both,ci,8221,72345,10.85,0.81,-0.21072103131565253,58,1.17,0.56,0.1879683121410819
8,290,Conroy M.,hr,Both,ci,8169,71887,20.84,0.87,-0.13926206733350766,60,1.26,0.6,0.18927320873793718
9,299,Gierach G.,hr,Both,ci,23685,162322,0,1,0,292,NA,NA,NA
9,299,Gierach G.,hr,Both,ci,15724,110490,0.63,0.84,-0.1743533871447778,149,1.02,0.69,0.09971262527528961
9,299,Gierach G.,hr,Both,ci,23195,162617,1.88,0.88,-0.12783337150988489,221,1.04,0.73,0.09029029634849106
9,299,Gierach G.,hr,Both,ci,27785,195345,4.38,0.85,-0.16251892949777494,244,1.02,0.72,0.08885538127629249
9,299,Gierach G.,hr,Both,ci,18462,130077,6.88,0.77,-0.2613647641344075,139,0.95,0.63,0.10478309000800269
10,303,Friedenreich,hr,Both,ci,16591,438560,4.38,1,0,192,NA,NA,NA
10,303,Friedenreich,hr,Both,ci,14407,380839,13.52,0.99,-0.01005033585350145,163,1.23,0.8,0.1097361288502149
10,303,Friedenreich,hr,Both,ci,16449,434829,25.78,0.94,-0.06187540371808753,176,1.16,0.76,0.10787362782058103
10,303,Friedenreich,hr,Both,ci,15809,417888,41.08,0.94,-0.06187540371808753,158,1.18,0.75,0.1156134792537288
11,319,Folsom A ,hr,Both,ci,3591,140602,0.94,1,0,194,NA,NA,NA
11,319,Folsom A ,hr,Both,ci,2129,83364,4.69,0.89,-0.11653381625595151,104,1.13,0.7,0.12216871851738738
11,319,Folsom A ,hr,Both,ci,1943,76078,10.31,1.05,0.04879016416943205,113,1.33,0.84,0.11722978917040638
12,338,"Barberio, A. M.",hr,Both,ci,150,48178,2.29,1,0,29,NA,NA,NA
12,338,"Barberio, A. M.",hr,Both,ci,142,45467,9.5,0.99,-0.01005033585350145,26,1.69,0.57,0.2772620965643853
12,338,"Barberio, A. M.",hr,Both,ci,152,48862,21.34,1.14,0.131028262406404,25,1.99,0.65,0.2854433968314557
12,338,"Barberio, A. M.",hr,Both,ci,113,36115,34.8,0.56,-0.579818495252942,10,1.2,0.27,0.38053119560963894
13,332,"Arem, H",hr,Fatal,ci,17166,207707,0,1,0,23,NA,NA,NA
13,332,"Arem, H",hr,Fatal,ci,12998,157273,1.25,1.52,0.41871033485818504,24,2.69,0.85,0.29389828899888626
13,332,"Arem, H",hr,Fatal,ci,31142,376817,5,0.79,-0.23572233352106983,27,1.38,0.45,0.28587035379883646
13,332,"Arem, H",hr,Fatal,ci,31408,380041,13.75,1.13,0.12221763272424911,35,1.93,0.66,0.27373856237727506
13,332,"Arem, H",hr,Fatal,ci,29199,353310,23.75,1.21,0.1906203596086497,34,2.08,0.7,0.2778221554687204
