id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,14,Bell et al.,hr,Both,ci,3647,61999,0,1,0,653,NA,NA,NA
1,14,Bell et al.,hr,Both,ci,5022,85374,3.13,0.7,-0.35667494393873245,592,0.79,0.62,0.061815795936371216
1,14,Bell et al.,hr,Both,ci,5056,85952,9.4,0.62,-0.4780358009429998,503,0.71,0.54,0.06982164790677757
2,20,"Young, D",hr,Both,ci,25601,193501,2.46,1,0,1505,NA,NA,NA
2,20,"Young, D",hr,Both,ci,27448,216513,13.1,0.76,-0.2744368457017603,1051,0.83,0.69,0.04712691270260517
2,20,"Young, D",hr,Both,ci,29338,234773,28.68,0.66,-0.4155154439616658,892,0.72,0.6,0.04651145588186412
3,27,"Rahman, I",hr,Both,ci,7927,114681,0,1,0,854,NA,NA,NA
3,27,"Rahman, I",hr,Both,ci,7981,115463,24.18,1.03,0.02955880224154443,885,1.04,1.02,0.004953684356005771
3,27,"Rahman, I",hr,Both,ci,7619,110226,45.42,1.03,0.02955880224154443,845,1.05,1.03,0.004906049825298361
3,27,"Rahman, I",hr,Both,ci,7614,110153,63.67,1.25,0.22314355131420976,1025,1.53,1.03,0.10094801136247945
4,30,Saevereid,hr,Both,ci,3327,64082,1.5,1,0,364,NA,NA,NA
4,30,Saevereid,hr,Both,ci,9449,181960,7.5,0.81,-0.21072103131565253,719,0.93,0.71,0.06885831021412439
4,30,Saevereid,hr,Both,ci,5577,107459,12.5,0.87,-0.13926206733350766,459,1.01,0.75,0.07592802869150543
5,55,Hu G,hr,Both,ci,5169,79972,0,1,0,586,NA,NA,NA
5,55,Hu G,hr,Both,ci,17971,296303,10,0.83,-0.18632957819149348,1198,0.92,0.75,0.05211842287006954
5,55,Hu G,hr,Both,ci,36038,714554,18,0.68,-0.3856624808119846,1830,0.76,0.62,0.05193946338994036
6,182,Lear SA. ,hr,Both,ci,23549,162488,0,1,0,84,NA,NA,NA
6,182,Lear SA. ,hr,Both,ci,49245,339791,23.87,0.77,-0.2613647641344075,144,1.06,0.56,0.16278038994850672
6,182,Lear SA. ,hr,Both,ci,57725,398303,58,0.78,-0.2484613592984996,158,1.06,0.57,0.15826510873951188
7,197,"Rahman, I.",hr,Both,ci,7171,94912,0,1,0,739,NA,NA,NA
7,197,"Rahman, I.",hr,Both,ci,6439,85224,18.16,0.88,-0.12783337150988489,573,0.98,0.79,0.054980506760211344
7,197,"Rahman, I.",hr,Both,ci,7519,99518,42.44,0.76,-0.2744368457017603,564,0.85,0.68,0.056925421353233426
7,197,"Rahman, I.",hr,Both,ci,6766,89552,60.7,0.73,-0.31471074483970024,487,0.82,0.65,0.059269450663691006
8,220,"Pandey, A.",hr,Both,ci,10623,133278,0,1,0,742,NA,NA,NA
8,220,"Pandey, A.",hr,Both,ci,17714,222244,2.33,0.94,-0.06187540371808753,1163,1.04,0.85,0.0514651402378699
8,220,"Pandey, A.",hr,Both,ci,9349,117295,8.72,0.89,-0.11653381625595151,555,1,0.79,0.06013435333006565
8,220,"Pandey, A.",hr,Both,ci,13765,172699,21.76,0.78,-0.2484613592984996,721,0.87,0.7,0.055463487676342495
9,273,Kenchaiah S.,hr,Both,ci,2841,53713,0,1,0,206,NA,NA,NA
9,273,Kenchaiah S.,hr,Both,ci,2991,62190,1.5,0.78,-0.2484613592984996,145,0.97,0.63,0.11009800575828653
9,273,Kenchaiah S.,hr,Both,ci,11813,245208,7.5,0.86,-0.15082288973458366,610,1.01,0.73,0.08282322487906757
9,273,Kenchaiah S.,hr,Both,ci,3449,70543,18,0.73,-0.31471074483970024,148,0.9,0.59,0.10772448620366885
10,120,Williams P,hr,Fatal,ci,9624,92390,2.33,1,0,18,NA,NA,NA
10,120,Williams P,hr,Fatal,ci,6759,64886,7.3,0.8,-0.2231435513142097,8,1.94,0.33,0.45188345591271983
10,120,Williams P,hr,Fatal,ci,13985,134256,14.57,0.64,-0.4462871026284195,14,1.44,0.28,0.41776502076518907
10,120,Williams P,hr,Fatal,ci,11654,111878,25.13,0.58,-0.5447271754416722,13,1.88,0.25,0.5146946969117936
11,346,Hamer M. ,hr,Fatal,ci,11943,114125,0,1,0,89,NA,NA,NA
11,346,Hamer M. ,hr,Fatal,ci,13840,132253,3.68,0.64,-0.4462871026284195,43,0.93,0.44,0.1909243907383902
11,346,Hamer M. ,hr,Fatal,ci,11573,110589,10.8,0.37,-0.9942522733438669,17,0.64,0.22,0.27241332963879616
11,346,Hamer M. ,hr,Fatal,ci,11320,108172,22.57,0.52,-0.6539264674066639,22,0.85,0.32,0.24921767986462348
11,346,Hamer M. ,hr,Fatal,ci,10446,99820,38.08,0.39,-0.941608539858445,12,0.74,0.21,0.3213178061984452
