outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All cause cvd mortality,18,250,0.9,(0.81 - 0.99),0.84,(0.72 - 0.98),0.72,0.98,0.82,(0.68 - 0.98)
All cause cvd mortality,17,244,0.83,(0.72 - 0.96),0.74,(0.62 - 0.89),0.62,0.89,0.64,(0.54 - 0.75)
All cause cvd mortality,16,239,1,(1 - 1),0.97,(0.95 - 0.98),0.95,0.98,0.86,(0.82 - 0.91)
All cause cvd mortality,15,228,0.51,(0.17 - 1.55),0.47,(0.13 - 1.63),0.13,1.63,0.7,(0.36 - 1.37)
All cause cvd mortality,14,212,0.87,(0.84 - 0.91),0.78,(0.72 - 0.84),0.72,0.84,0.69,(0.63 - 0.75)
All cause cvd mortality,13,202,0.9,(0.77 - 1.04),0.7,(0.57 - 0.85),0.57,0.85,0.52,(0.36 - 0.75)
All cause cvd mortality,12,193,0.98,(0.96 - 1),0.88,(0.79 - 0.98),0.79,0.98,0.8,(0.68 - 0.95)
All cause cvd mortality,11,191,0.86,(0.81 - 0.92),0.78,(0.7 - 0.86),0.7,0.86,0.73,(0.66 - 0.81)
All cause cvd mortality,10,182,0.94,(0.89 - 0.99),0.89,(0.8 - 0.98),0.8,0.98,0.8,(0.68 - 0.95)
All cause cvd mortality,9,148,0.79,(0.73 - 0.85),0.75,(0.68 - 0.84),0.68,0.84,0.73,(0.63 - 0.84)
All cause cvd mortality,8,126,0.8,(0.7 - 0.92),0.72,(0.62 - 0.84),0.62,0.84,0.72,(0.61 - 0.84)
All cause cvd mortality,7,120,0.91,(0.85 - 0.98),0.78,(0.65 - 0.93),0.65,0.93,0.72,(0.61 - 0.87)
All cause cvd mortality,6,103,0.91,(0.88 - 0.94),0.84,(0.8 - 0.89),0.8,0.89,0.78,(0.72 - 0.84)
All cause cvd mortality,5,101,0.92,(0.74 - 1.13),0.85,(0.6 - 1.21),0.6,1.21,0.75,(0.48 - 1.15)
All cause cvd mortality,4,70,0.83,(0.73 - 0.94),0.71,(0.57 - 0.87),0.57,0.87,0.65,(0.53 - 0.79)
All cause cvd mortality,3,38,0.78,(0.72 - 0.85),0.63,(0.54 - 0.73),0.54,0.73,0.46,(0.37 - 0.58)
All cause cvd mortality,2,28,0.71,(0.65 - 0.77),0.57,(0.5 - 0.65),0.5,0.65,0.62,(0.57 - 0.69)
All cause cvd mortality,1,23,1,(1 - 1),1,(1 - 1),1,1,0.98,(0.96 - 1)
