outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause cancer,31,196,1.19,(0.91 - 1.54),1.19,(0.91 - 1.54),0.91,1.54,1.19,(0.91 - 1.54)
All-cause cancer,30,347,0.79,(0.75 - 0.84),0.72,(0.67 - 0.77),0.67,0.77,0.74,(0.7 - 0.78)
All-cause cancer,29,332,0.95,(0.92 - 0.99),0.93,(0.88 - 0.98),0.88,0.98,0.91,(0.87 - 0.96)
All-cause cancer,28,320,1.2,(0.89 - 1.62),1.1,(0.83 - 1.46),0.83,1.46,0.88,(0.63 - 1.22)
All-cause cancer,27,316,0.9,(0.69 - 1.19),0.92,(0.73 - 1.16),0.73,1.16,0.94,(0.73 - 1.21)
All-cause cancer,26,270,0.75,(0.48 - 1.17),0.75,(0.5 - 1.14),0.5,1.14,0.91,(0.59 - 1.41)
All-cause cancer,25,264,0.94,(0.9 - 0.99),0.89,(0.8 - 0.98),0.8,0.98,0.9,(0.81 - 0.99)
All-cause cancer,24,259,0.79,(0.67 - 0.94),0.63,(0.52 - 0.76),0.52,0.76,0.63,(0.52 - 0.76)
All-cause cancer,23,258,0.92,(0.86 - 0.99),0.87,(0.79 - 0.97),0.79,0.97,0.85,(0.77 - 0.94)
All-cause cancer,22,257,0.81,(0.69 - 0.95),0.74,(0.64 - 0.87),0.64,0.87,0.72,(0.61 - 0.84)
All-cause cancer,21,253,0.94,(0.9 - 0.97),0.88,(0.82 - 0.94),0.82,0.94,0.78,(0.68 - 0.89)
All-cause cancer,20,250,0.93,(0.84 - 1.04),0.87,(0.75 - 1.01),0.75,1.01,0.78,(0.65 - 0.93)
All-cause cancer,19,244,0.89,(0.78 - 1.01),0.86,(0.74 - 1),0.74,1,0.86,(0.74 - 0.99)
All-cause cancer,18,239,1,(1 - 1),0.98,(0.97 - 0.99),0.97,0.99,0.92,(0.87 - 0.98)
All-cause cancer,17,228,0.98,(0.46 - 2.1),0.97,(0.44 - 2.12),0.44,2.12,0.94,(0.58 - 1.51)
All-cause cancer,16,212,0.93,(0.87 - 1),0.88,(0.78 - 0.99),0.78,0.99,0.81,(0.71 - 0.92)
All-cause cancer,15,193,0.97,(0.95 - 1),0.86,(0.76 - 0.98),0.76,0.98,0.78,(0.65 - 0.94)
All-cause cancer,14,191,0.92,(0.87 - 0.98),0.88,(0.8 - 0.96),0.8,0.96,0.87,(0.8 - 0.95)
All-cause cancer,13,101,0.88,(0.79 - 0.99),0.82,(0.69 - 0.98),0.69,0.98,0.8,(0.66 - 0.96)
All-cause cancer,12,95,0.99,(0.97 - 1.01),0.98,(0.94 - 1.01),0.94,1.01,0.95,(0.89 - 1.02)
All-cause cancer,11,91,0.96,(0.9 - 1.03),0.93,(0.86 - 1.01),0.86,1.01,0.91,(0.84 - 0.99)
All-cause cancer,10,83,0.86,(0.77 - 0.96),0.8,(0.71 - 0.91),0.71,0.91,0.8,(0.69 - 0.93)
All-cause cancer,9,38,0.96,(0.87 - 1.06),0.92,(0.77 - 1.11),0.77,1.11,0.86,(0.65 - 1.13)
All-cause cancer,8,26,0.98,(0.92 - 1.04),0.96,(0.85 - 1.08),0.85,1.08,0.92,(0.75 - 1.12)
All-cause cancer,7,352,0.98,(0.94 - 1.02),0.96,(0.88 - 1.04),0.88,1.04,1.02,(0.95 - 1.1)
All-cause cancer,6,338,0.96,(0.93 - 1),0.9,(0.82 - 0.99),0.82,0.99,0.86,(0.76 - 0.98)
All-cause cancer,5,315,0.95,(0.84 - 1.06),0.93,(0.82 - 1.05),0.82,1.05,0.91,(0.82 - 1.01)
All-cause cancer,4,300,0.99,(0.99 - 1),0.99,(0.98 - 1),0.98,1,0.98,(0.96 - 1)
All-cause cancer,3,295,1,(0.98 - 1.01),0.99,(0.97 - 1.01),0.97,1.01,0.97,(0.95 - 0.99)
All-cause cancer,2,277,0.99,(0.91 - 1.07),0.98,(0.87 - 1.1),0.87,1.1,0.98,(0.88 - 1.09)
All-cause cancer,1,123,0.97,(0.84 - 1.11),0.93,(0.81 - 1.06),0.81,1.06,0.89,(0.74 - 1.08)
