outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,49,3284,0.5,(0.4 - 0.64),0.37,(0.26 - 0.52),0.26,0.52,0.4,(0.29 - 0.55)
All-cause mortality,48,3283,0.7,(0.65 - 0.75),0.58,(0.53 - 0.64),0.53,0.64,0.57,(0.52 - 0.63)
All-cause mortality,47,3282,0.71,(0.65 - 0.78),0.61,(0.54 - 0.69),0.54,0.69,0.62,(0.55 - 0.7)
All-cause mortality,46,3281,0.71,(0.69 - 0.73),0.66,(0.64 - 0.68),0.64,0.68,0.6,(0.58 - 0.62)
All-cause mortality,45,350,1,(1 - 1),1,(1 - 1),1,1,0.82,(0.76 - 0.9)
All-cause mortality,44,348,0.75,(0.75 - 0.76),0.7,(0.69 - 0.7),0.69,0.7,0.72,(0.72 - 0.73)
All-cause mortality,43,347,0.7,(0.67 - 0.73),0.67,(0.64 - 0.7),0.64,0.7,0.67,(0.64 - 0.7)
All-cause mortality,42,341,1.23,(0.82 - 1.84),0.96,(0.73 - 1.26),0.73,1.26,0.75,(0.54 - 1.04)
All-cause mortality,41,331,0.75,(0.54 - 1.05),0.72,(0.58 - 0.91),0.58,0.91,0.7,(0.56 - 0.88)
All-cause mortality,40,320,0.73,(0.6 - 0.9),0.73,(0.62 - 0.86),0.62,0.86,0.74,(0.6 - 0.91)
All-cause mortality,39,316,0.8,(0.68 - 0.94),0.75,(0.65 - 0.87),0.65,0.87,0.71,(0.59 - 0.86)
All-cause mortality,38,304,0.92,(0.91 - 0.94),0.86,(0.84 - 0.89),0.84,0.89,0.8,(0.77 - 0.82)
All-cause mortality,37,277,0.72,(0.62 - 0.83),0.69,(0.6 - 0.79),0.6,0.79,0.69,(0.62 - 0.77)
All-cause mortality,36,276,0.66,(0.62 - 0.71),0.58,(0.54 - 0.63),0.54,0.63,0.5,(0.47 - 0.53)
All-cause mortality,35,270,0.61,(0.42 - 0.9),0.68,(0.53 - 0.88),0.53,0.88,0.81,(0.6 - 1.09)
All-cause mortality,34,264,0.84,(0.8 - 0.89),0.76,(0.7 - 0.82),0.7,0.82,0.74,(0.69 - 0.79)
All-cause mortality,33,259,0.52,(0.48 - 0.57),0.4,(0.35 - 0.44),0.35,0.44,0.4,(0.35 - 0.44)
All-cause mortality,32,258,0.87,(0.82 - 0.92),0.81,(0.76 - 0.85),0.76,0.85,0.73,(0.68 - 0.78)
All-cause mortality,31,253,0.68,(0.63 - 0.74),0.5,(0.44 - 0.57),0.44,0.57,0.38,(0.32 - 0.45)
All-cause mortality,30,250,0.89,(0.83 - 0.95),0.85,(0.8 - 0.91),0.8,0.91,0.79,(0.71 - 0.87)
All-cause mortality,29,248,0.9,(0.87 - 0.92),0.83,(0.8 - 0.87),0.8,0.87,0.81,(0.78 - 0.85)
All-cause mortality,28,244,0.89,(0.78 - 1),0.85,(0.76 - 0.95),0.76,0.95,0.78,(0.69 - 0.87)
All-cause mortality,27,239,1,(1 - 1),0.97,(0.95 - 0.98),0.95,0.98,0.87,(0.83 - 0.91)
All-cause mortality,26,229,0.79,(0.74 - 0.85),0.77,(0.73 - 0.82),0.73,0.82,0.74,(0.7 - 0.79)
All-cause mortality,25,212,0.82,(0.78 - 0.86),0.73,(0.68 - 0.78),0.68,0.78,0.66,(0.62 - 0.7)
All-cause mortality,24,203,0.59,(0.55 - 0.64),0.55,(0.51 - 0.59),0.51,0.59,0.55,(0.51 - 0.59)
All-cause mortality,23,202,0.85,(0.75 - 0.96),0.75,(0.66 - 0.86),0.66,0.86,0.67,(0.54 - 0.83)
All-cause mortality,22,198,0.88,(0.84 - 0.91),0.77,(0.71 - 0.83),0.71,0.83,0.61,(0.53 - 0.7)
All-cause mortality,21,193,0.98,(0.96 - 0.99),0.88,(0.82 - 0.95),0.82,0.95,0.82,(0.76 - 0.89)
All-cause mortality,20,191,0.86,(0.82 - 0.91),0.82,(0.78 - 0.87),0.78,0.87,0.81,(0.79 - 0.84)
All-cause mortality,19,188,0.92,(0.77 - 1.09),0.88,(0.71 - 1.1),0.71,1.1,0.86,(0.72 - 1.04)
All-cause mortality,18,187,0.95,(0.91 - 0.98),0.65,(0.5 - 0.86),0.5,0.86,0.55,(0.41 - 0.73)
All-cause mortality,17,182,0.97,(0.93 - 1),0.94,(0.87 - 1),0.87,1,0.88,(0.81 - 0.97)
All-cause mortality,16,177,0.93,(0.89 - 0.98),0.91,(0.86 - 0.96),0.86,0.96,0.9,(0.83 - 0.98)
