outcome,id,ref_id,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Breast cancer,29,196,1.21,(0.77 - 1.88),1.21,(0.77 - 1.88),0.77,1.88,1.21,(0.77 - 1.88)
Breast cancer,29,196,1.21,(0.77 - 1.88),1.21,(0.77 - 1.88),0.77,1.88,1.21,(0.77 - 1.88)
Breast cancer,29,196,1.21,(0.77 - 1.88),1.21,(0.77 - 1.88),0.77,1.88,1.21,(0.77 - 1.88)
Breast cancer,29,196,1.21,(0.77 - 1.88),1.21,(0.77 - 1.88),0.77,1.88,1.21,(0.77 - 1.88)
Breast cancer,28,347,0.7,(0.58 - 0.84),0.58,(0.46 - 0.74),0.46,0.74,0.57,(0.47 - 0.7)
Breast cancer,28,347,0.7,(0.58 - 0.84),0.58,(0.46 - 0.74),0.46,0.74,0.57,(0.47 - 0.7)
Breast cancer,28,347,0.7,(0.58 - 0.84),0.58,(0.46 - 0.74),0.46,0.74,0.57,(0.47 - 0.7)
Breast cancer,28,347,0.7,(0.58 - 0.84),0.58,(0.46 - 0.74),0.46,0.74,0.57,(0.47 - 0.7)
Breast cancer,27,332,0.89,(0.73 - 1.09),0.85,(0.62 - 1.15),0.62,1.15,0.87,(0.64 - 1.18)
Breast cancer,27,332,0.89,(0.73 - 1.09),0.85,(0.62 - 1.15),0.62,1.15,0.87,(0.64 - 1.18)
Breast cancer,27,332,0.89,(0.73 - 1.09),0.85,(0.62 - 1.15),0.62,1.15,0.87,(0.64 - 1.18)
Breast cancer,27,332,0.89,(0.73 - 1.09),0.85,(0.62 - 1.15),0.62,1.15,0.87,(0.64 - 1.18)
Breast cancer,27,332,0.89,(0.73 - 1.09),0.85,(0.62 - 1.15),0.62,1.15,0.87,(0.64 - 1.18)
Breast cancer,26,110,1.02,(0.93 - 1.12),1.03,(0.87 - 1.21),0.87,1.21,1,(0.84 - 1.18)
Breast cancer,26,110,1.02,(0.93 - 1.12),1.03,(0.87 - 1.21),0.87,1.21,1,(0.84 - 1.18)
Breast cancer,26,110,1.02,(0.93 - 1.12),1.03,(0.87 - 1.21),0.87,1.21,1,(0.84 - 1.18)
Breast cancer,26,110,1.02,(0.93 - 1.12),1.03,(0.87 - 1.21),0.87,1.21,1,(0.84 - 1.18)
Breast cancer,25,91,1.06,(0.76 - 1.48),0.92,(0.66 - 1.29),0.66,1.29,0.78,(0.49 - 1.25)
Breast cancer,25,91,1.06,(0.76 - 1.48),0.92,(0.66 - 1.29),0.66,1.29,0.78,(0.49 - 1.25)
Breast cancer,25,91,1.06,(0.76 - 1.48),0.92,(0.66 - 1.29),0.66,1.29,0.78,(0.49 - 1.25)
Breast cancer,24,85,1.04,(0.97 - 1.12),1.01,(0.92 - 1.11),0.92,1.11,0.91,(0.82 - 1.01)
Breast cancer,24,85,1.04,(0.97 - 1.12),1.01,(0.92 - 1.11),0.92,1.11,0.91,(0.82 - 1.01)
Breast cancer,24,85,1.04,(0.97 - 1.12),1.01,(0.92 - 1.11),0.92,1.11,0.91,(0.82 - 1.01)
Breast cancer,23,352,0.99,(0.87 - 1.12),0.99,(0.73 - 1.34),0.73,1.34,1.08,(0.85 - 1.37)
Breast cancer,23,352,0.99,(0.87 - 1.12),0.99,(0.73 - 1.34),0.73,1.34,1.08,(0.85 - 1.37)
Breast cancer,23,352,0.99,(0.87 - 1.12),0.99,(0.73 - 1.34),0.73,1.34,1.08,(0.85 - 1.37)
Breast cancer,22,351,0.92,(0.85 - 1),0.89,(0.8 - 0.99),0.8,0.99,0.88,(0.81 - 0.97)
Breast cancer,22,351,0.92,(0.85 - 1),0.89,(0.8 - 0.99),0.8,0.99,0.88,(0.81 - 0.97)
Breast cancer,22,351,0.92,(0.85 - 1),0.89,(0.8 - 0.99),0.8,0.99,0.88,(0.81 - 0.97)
Breast cancer,22,351,0.92,(0.85 - 1),0.89,(0.8 - 0.99),0.8,0.99,0.88,(0.81 - 0.97)
Breast cancer,21,338,0.97,(0.9 - 1.04),0.91,(0.75 - 1.11),0.75,1.11,0.84,(0.63 - 1.1)
Breast cancer,21,338,0.97,(0.9 - 1.04),0.91,(0.75 - 1.11),0.75,1.11,0.84,(0.63 - 1.1)
Breast cancer,21,338,0.97,(0.9 - 1.04),0.91,(0.75 - 1.11),0.75,1.11,0.84,(0.63 - 1.1)
Breast cancer,21,338,0.97,(0.9 - 1.04),0.91,(0.75 - 1.11),0.75,1.11,0.84,(0.63 - 1.1)
Breast cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
Breast cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
Breast cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
Breast cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
Breast cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
Breast cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
Breast cancer,19,308,0.93,(0.77 - 1.13),0.95,(0.76 - 1.18),0.76,1.18,1.05,(0.77 - 1.43)
Breast cancer,19,308,0.93,(0.77 - 1.13),0.95,(0.76 - 1.18),0.76,1.18,1.05,(0.77 - 1.43)
Breast cancer,19,308,0.93,(0.77 - 1.13),0.95,(0.76 - 1.18),0.76,1.18,1.05,(0.77 - 1.43)
Breast cancer,19,308,0.93,(0.77 - 1.13),0.95,(0.76 - 1.18),0.76,1.18,1.05,(0.77 - 1.43)
Breast cancer,18,305,0.99,(0.98 - 1),0.98,(0.96 - 1),0.96,1,0.96,(0.92 - 1)
Breast cancer,18,305,0.99,(0.98 - 1),0.98,(0.96 - 1),0.96,1,0.96,(0.92 - 1)
Breast cancer,18,305,0.99,(0.98 - 1),0.98,(0.96 - 1),0.96,1,0.96,(0.92 - 1)
Breast cancer,18,305,0.99,(0.98 - 1),0.98,(0.96 - 1),0.96,1,0.96,(0.92 - 1)
Breast cancer,17,288,0.96,(0.77 - 1.2),0.92,(0.67 - 1.24),0.67,1.24,0.82,(0.63 - 1.08)
Breast cancer,17,288,0.96,(0.77 - 1.2),0.92,(0.67 - 1.24),0.67,1.24,0.82,(0.63 - 1.08)
Breast cancer,17,288,0.96,(0.77 - 1.2),0.92,(0.67 - 1.24),0.67,1.24,0.82,(0.63 - 1.08)
Breast cancer,17,288,0.96,(0.77 - 1.2),0.92,(0.67 - 1.24),0.67,1.24,0.82,(0.63 - 1.08)
Breast cancer,16,280,1,(0.88 - 1.13),0.98,(0.82 - 1.19),0.82,1.19,0.94,(0.76 - 1.15)
Breast cancer,16,280,1,(0.88 - 1.13),0.98,(0.82 - 1.19),0.82,1.19,0.94,(0.76 - 1.15)
Breast cancer,16,280,1,(0.88 - 1.13),0.98,(0.82 - 1.19),0.82,1.19,0.94,(0.76 - 1.15)
Breast cancer,16,280,1,(0.88 - 1.13),0.98,(0.82 - 1.19),0.82,1.19,0.94,(0.76 - 1.15)
Breast cancer,16,280,1,(0.88 - 1.13),0.98,(0.82 - 1.19),0.82,1.19,0.94,(0.76 - 1.15)
Breast cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
Breast cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
Breast cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
Breast cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
Breast cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
Breast cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
Breast cancer,14,254,1,(1 - 1),1.02,(0.93 - 1.11),0.93,1.11,1.04,(0.83 - 1.32)
Breast cancer,14,254,1,(1 - 1),1.02,(0.93 - 1.11),0.93,1.11,1.04,(0.83 - 1.32)
Breast cancer,14,254,1,(1 - 1),1.02,(0.93 - 1.11),0.93,1.11,1.04,(0.83 - 1.32)
Breast cancer,14,254,1,(1 - 1),1.02,(0.93 - 1.11),0.93,1.11,1.04,(0.83 - 1.32)
Breast cancer,14,254,1,(1 - 1),1.02,(0.93 - 1.11),0.93,1.11,1.04,(0.83 - 1.32)
