outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Colon cancer,20,332,0.93,(0.83 - 1.05),0.89,(0.74 - 1.06),0.74,1.06,0.83,(0.7 - 0.99)
Colon cancer,19,91,1.21,(0.99 - 1.48),1.25,(0.96 - 1.61),0.96,1.61,1.2,(0.9 - 1.6)
Colon cancer,18,355,1,(1 - 1),1.08,(0.98 - 1.18),0.98,1.18,1.19,(0.94 - 1.51)
Colon cancer,17,340,0.88,(0.82 - 0.94),0.8,(0.71 - 0.9),0.71,0.9,0.76,(0.67 - 0.86)
Colon cancer,16,338,1.09,(0.97 - 1.22),1.26,(0.91 - 1.74),0.91,1.74,1.24,(0.8 - 1.92)
Colon cancer,15,318,0.94,(0.73 - 1.21),0.92,(0.68 - 1.24),0.68,1.24,0.95,(0.66 - 1.36)
Colon cancer,14,292,0.73,(0.57 - 0.93),0.79,(0.65 - 0.97),0.65,0.97,0.84,(0.69 - 1.04)
Colon cancer,13,255,0.9,(0.78 - 1.03),0.84,(0.66 - 1.07),0.66,1.07,0.92,(0.7 - 1.21)
Colon cancer,12,238,0.97,(0.85 - 1.1),0.93,(0.77 - 1.13),0.77,1.13,0.85,(0.71 - 1.01)
Colon cancer,11,234,0.92,(0.8 - 1.04),0.8,(0.57 - 1.1),0.57,1.1,0.69,(0.46 - 1.03)
Colon cancer,10,232,0.86,(0.72 - 1.03),0.78,(0.59 - 1.03),0.59,1.03,0.75,(0.57 - 0.99)
Colon cancer,9,205,0.99,(0.98 - 1),0.94,(0.89 - 1),0.89,1,0.88,(0.78 - 0.99)
Colon cancer,8,192,0.91,(0.8 - 1.02),0.88,(0.76 - 1.02),0.76,1.02,0.95,(0.83 - 1.1)
Colon cancer,7,179,1.06,(0.94 - 1.19),1.18,(0.86 - 1.61),0.86,1.61,1.19,(0.85 - 1.65)
Colon cancer,6,176,0.93,(0.81 - 1.08),0.88,(0.69 - 1.11),0.69,1.11,0.82,(0.66 - 1.02)
Colon cancer,5,145,0.93,(0.87 - 0.98),0.88,(0.81 - 0.96),0.81,0.96,0.85,(0.79 - 0.92)
Colon cancer,4,60,1,(1 - 1),1.03,(0.9 - 1.17),0.9,1.17,1.07,(0.81 - 1.41)
Colon cancer,3,33,1.08,(0.93 - 1.25),1.1,(0.84 - 1.43),0.84,1.43,0.8,(0.58 - 1.1)
Colon cancer,2,18,1.01,(0.99 - 1.03),1.03,(0.99 - 1.07),0.99,1.07,1.05,(0.98 - 1.13)
Colon cancer,1,1,1.08,(0.76 - 1.54),1.16,(0.81 - 1.66),0.81,1.66,1.25,(0.9 - 1.74)
