outcome,id,ref_id,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Coronary heart disease,26,196,0.86,(0.76 - 0.98),0.86,(0.76 - 0.98),0.76,0.98,0.86,(0.76 - 0.98)
Coronary heart disease,26,196,0.86,(0.76 - 0.98),0.86,(0.76 - 0.98),0.76,0.98,0.86,(0.76 - 0.98)
Coronary heart disease,26,196,0.86,(0.76 - 0.98),0.86,(0.76 - 0.98),0.76,0.98,0.86,(0.76 - 0.98)
Coronary heart disease,26,196,0.86,(0.76 - 0.98),0.86,(0.76 - 0.98),0.76,0.98,0.86,(0.76 - 0.98)
Coronary heart disease,25,346,0.73,(0.64 - 0.83),0.58,(0.46 - 0.71),0.46,0.71,0.5,(0.39 - 0.63)
Coronary heart disease,25,346,0.73,(0.64 - 0.83),0.58,(0.46 - 0.71),0.46,0.71,0.5,(0.39 - 0.63)
Coronary heart disease,25,346,0.73,(0.64 - 0.83),0.58,(0.46 - 0.71),0.46,0.71,0.5,(0.39 - 0.63)
Coronary heart disease,25,346,0.73,(0.64 - 0.83),0.58,(0.46 - 0.71),0.46,0.71,0.5,(0.39 - 0.63)
Coronary heart disease,25,346,0.73,(0.64 - 0.83),0.58,(0.46 - 0.71),0.46,0.71,0.5,(0.39 - 0.63)
Coronary heart disease,24,345,1.01,(0.89 - 1.14),0.97,(0.79 - 1.2),0.79,1.2,0.81,(0.65 - 1.01)
Coronary heart disease,24,345,1.01,(0.89 - 1.14),0.97,(0.79 - 1.2),0.79,1.2,0.81,(0.65 - 1.01)
Coronary heart disease,24,345,1.01,(0.89 - 1.14),0.97,(0.79 - 1.2),0.79,1.2,0.81,(0.65 - 1.01)
Coronary heart disease,24,345,1.01,(0.89 - 1.14),0.97,(0.79 - 1.2),0.79,1.2,0.81,(0.65 - 1.01)
Coronary heart disease,23,322,0.8,(0.49 - 1.31),0.9,(0.58 - 1.4),0.58,1.4,1.1,(0.69 - 1.76)
Coronary heart disease,23,322,0.8,(0.49 - 1.31),0.9,(0.58 - 1.4),0.58,1.4,1.1,(0.69 - 1.76)
Coronary heart disease,23,322,0.8,(0.49 - 1.31),0.9,(0.58 - 1.4),0.58,1.4,1.1,(0.69 - 1.76)
Coronary heart disease,22,270,0.5,(0.23 - 1.1),0.52,(0.24 - 1.12),0.24,1.12,0.96,(0.53 - 1.74)
Coronary heart disease,22,270,0.5,(0.23 - 1.1),0.52,(0.24 - 1.12),0.24,1.12,0.96,(0.53 - 1.74)
Coronary heart disease,22,270,0.5,(0.23 - 1.1),0.52,(0.24 - 1.12),0.24,1.12,0.96,(0.53 - 1.74)
Coronary heart disease,21,262,0.95,(0.82 - 1.11),0.86,(0.64 - 1.16),0.64,1.16,0.65,(0.5 - 0.85)
Coronary heart disease,21,262,0.95,(0.82 - 1.11),0.86,(0.64 - 1.16),0.64,1.16,0.65,(0.5 - 0.85)
Coronary heart disease,21,262,0.95,(0.82 - 1.11),0.86,(0.64 - 1.16),0.64,1.16,0.65,(0.5 - 0.85)
Coronary heart disease,21,262,0.95,(0.82 - 1.11),0.86,(0.64 - 1.16),0.64,1.16,0.65,(0.5 - 0.85)
Coronary heart disease,21,262,0.95,(0.82 - 1.11),0.86,(0.64 - 1.16),0.64,1.16,0.65,(0.5 - 0.85)
Coronary heart disease,20,258,0.82,(0.68 - 1),0.71,(0.53 - 0.95),0.53,0.95,0.69,(0.51 - 0.93)
Coronary heart disease,20,258,0.82,(0.68 - 1),0.71,(0.53 - 0.95),0.53,0.95,0.69,(0.51 - 0.93)
Coronary heart disease,20,258,0.82,(0.68 - 1),0.71,(0.53 - 0.95),0.53,0.95,0.69,(0.51 - 0.93)
Coronary heart disease,20,258,0.82,(0.68 - 1),0.71,(0.53 - 0.95),0.53,0.95,0.69,(0.51 - 0.93)
Coronary heart disease,20,258,0.82,(0.68 - 1),0.71,(0.53 - 0.95),0.53,0.95,0.69,(0.51 - 0.93)
Coronary heart disease,19,235,0.86,(0.79 - 0.93),0.73,(0.63 - 0.85),0.63,0.85,0.71,(0.61 - 0.83)
Coronary heart disease,19,235,0.86,(0.79 - 0.93),0.73,(0.63 - 0.85),0.63,0.85,0.71,(0.61 - 0.83)
Coronary heart disease,19,235,0.86,(0.79 - 0.93),0.73,(0.63 - 0.85),0.63,0.85,0.71,(0.61 - 0.83)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
Coronary heart disease,17,120,0.99,(0.9 - 1.09),0.96,(0.76 - 1.22),0.76,1.22,0.91,(0.71 - 1.16)
Coronary heart disease,17,120,0.99,(0.9 - 1.09),0.96,(0.76 - 1.22),0.76,1.22,0.91,(0.71 - 1.16)
Coronary heart disease,17,120,0.99,(0.9 - 1.09),0.96,(0.76 - 1.22),0.76,1.22,0.91,(0.71 - 1.16)
Coronary heart disease,17,120,0.99,(0.9 - 1.09),0.96,(0.76 - 1.22),0.76,1.22,0.91,(0.71 - 1.16)
Coronary heart disease,16,95,0.97,(0.94 - 1.01),0.94,(0.87 - 1.01),0.87,1.01,0.89,(0.77 - 1.02)
Coronary heart disease,16,95,0.97,(0.94 - 1.01),0.94,(0.87 - 1.01),0.87,1.01,0.89,(0.77 - 1.02)
Coronary heart disease,16,95,0.97,(0.94 - 1.01),0.94,(0.87 - 1.01),0.87,1.01,0.89,(0.77 - 1.02)
Coronary heart disease,16,95,0.97,(0.94 - 1.01),0.94,(0.87 - 1.01),0.87,1.01,0.89,(0.77 - 1.02)
Coronary heart disease,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
Coronary heart disease,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
Coronary heart disease,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
Coronary heart disease,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
Coronary heart disease,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
Coronary heart disease,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
Coronary heart disease,14,2,0.77,(0.57 - 1.04),0.63,(0.45 - 0.88),0.45,0.88,0.49,(0.36 - 0.67)
Coronary heart disease,14,2,0.77,(0.57 - 1.04),0.63,(0.45 - 0.88),0.45,0.88,0.49,(0.36 - 0.67)
Coronary heart disease,14,2,0.77,(0.57 - 1.04),0.63,(0.45 - 0.88),0.45,0.88,0.49,(0.36 - 0.67)
Coronary heart disease,13,353,0.93,(0.87 - 1),0.88,(0.78 - 1),0.78,1,0.87,(0.76 - 1)
Coronary heart disease,13,353,0.93,(0.87 - 1),0.88,(0.78 - 1),0.78,1,0.87,(0.76 - 1)
Coronary heart disease,13,353,0.93,(0.87 - 1),0.88,(0.78 - 1),0.78,1,0.87,(0.76 - 1)
Coronary heart disease,13,353,0.93,(0.87 - 1),0.88,(0.78 - 1),0.78,1,0.87,(0.76 - 1)
Coronary heart disease,12,342,0.79,(0.68 - 0.91),0.66,(0.53 - 0.84),0.53,0.84,0.65,(0.52 - 0.81)
Coronary heart disease,12,342,0.79,(0.68 - 0.91),0.66,(0.53 - 0.84),0.53,0.84,0.65,(0.52 - 0.81)
Coronary heart disease,12,342,0.79,(0.68 - 0.91),0.66,(0.53 - 0.84),0.53,0.84,0.65,(0.52 - 0.81)
Coronary heart disease,12,342,0.79,(0.68 - 0.91),0.66,(0.53 - 0.84),0.53,0.84,0.65,(0.52 - 0.81)
Coronary heart disease,11,310,1,(0.95 - 1.04),0.98,(0.91 - 1.05),0.91,1.05,0.87,(0.81 - 0.93)
Coronary heart disease,11,310,1,(0.95 - 1.04),0.98,(0.91 - 1.05),0.91,1.05,0.87,(0.81 - 0.93)
