outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Depression,15,9941,1,(1 - 1),0.93,(0.75 - 1.16),0.75,1.16,0.78,(0.6 - 1.02)
Depression,14,9937,0.95,(0.82 - 1.1),0.91,(0.72 - 1.16),0.72,1.16,0.9,(0.7 - 1.16)
Depression,13,9934,0.98,(0.94 - 1.02),0.91,(0.77 - 1.07),0.77,1.07,0.85,(0.74 - 0.98)
Depression,12,9929,0.86,(0.7 - 1.06),0.79,(0.59 - 1.06),0.59,1.06,0.8,(0.62 - 1.02)
Depression,11,9926,0.9,(0.79 - 1.02),0.89,(0.77 - 1.03),0.77,1.03,0.99,(0.88 - 1.11)
Depression,10,9925,0.75,(0.63 - 0.89),0.72,(0.61 - 0.86),0.61,0.86,0.75,(0.6 - 0.93)
Depression,9,9922,0.68,(0.51 - 0.91),0.64,(0.47 - 0.88),0.47,0.88,0.79,(0.55 - 1.13)
Depression,8,9919,0.97,(0.93 - 1.01),0.94,(0.86 - 1.03),0.86,1.03,0.94,(0.84 - 1.05)
Depression,7,9914,1,(1 - 1),0.94,(0.67 - 1.32),0.67,1.32,0.84,(0.39 - 1.8)
Depression,6,9910,0.71,(0.54 - 0.94),0.6,(0.43 - 0.84),0.43,0.84,0.6,(0.43 - 0.84)
Depression,5,999,0.69,(0.54 - 0.87),0.62,(0.48 - 0.8),0.48,0.8,0.6,(0.45 - 0.8)
Depression,4,994,0.89,(0.86 - 0.92),0.81,(0.77 - 0.86),0.77,0.86,0.74,(0.68 - 0.79)
Depression,3,993,0.76,(0.7 - 0.83),0.62,(0.54 - 0.71),0.54,0.71,0.54,(0.48 - 0.62)
Depression,2,992,1,(1 - 1),0.94,(0.87 - 1.01),0.87,1.01,0.76,(0.58 - 0.98)
Depression,1,991,1.11,(0.82 - 1.5),0.88,(0.68 - 1.13),0.68,1.13,0.85,(0.66 - 1.1)
