outcome,id,ref_id,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Kidney cancer,7,347,0.92,(0.54 - 1.58),0.9,(0.45 - 1.81),0.45,1.81,0.97,(0.56 - 1.67)
Kidney cancer,7,347,0.92,(0.54 - 1.58),0.9,(0.45 - 1.81),0.45,1.81,0.97,(0.56 - 1.67)
Kidney cancer,7,347,0.92,(0.54 - 1.58),0.9,(0.45 - 1.81),0.45,1.81,0.97,(0.56 - 1.67)
Kidney cancer,7,347,0.92,(0.54 - 1.58),0.9,(0.45 - 1.81),0.45,1.81,0.97,(0.56 - 1.67)
Kidney cancer,6,332,1.15,(0.93 - 1.43),1.26,(0.92 - 1.74),0.92,1.74,1.36,(1 - 1.87)
Kidney cancer,6,332,1.15,(0.93 - 1.43),1.26,(0.92 - 1.74),0.92,1.74,1.36,(1 - 1.87)
Kidney cancer,6,332,1.15,(0.93 - 1.43),1.26,(0.92 - 1.74),0.92,1.74,1.36,(1 - 1.87)
Kidney cancer,6,332,1.15,(0.93 - 1.43),1.26,(0.92 - 1.74),0.92,1.74,1.36,(1 - 1.87)
Kidney cancer,6,332,1.15,(0.93 - 1.43),1.26,(0.92 - 1.74),0.92,1.74,1.36,(1 - 1.87)
Kidney cancer,5,91,0.75,(0.36 - 1.55),0.74,(0.33 - 1.67),0.33,1.67,0.81,(0.37 - 1.78)
Kidney cancer,5,91,0.75,(0.36 - 1.55),0.74,(0.33 - 1.67),0.33,1.67,0.81,(0.37 - 1.78)
Kidney cancer,5,91,0.75,(0.36 - 1.55),0.74,(0.33 - 1.67),0.33,1.67,0.81,(0.37 - 1.78)
Kidney cancer,4,201,0.91,(0.45 - 1.85),0.92,(0.34 - 2.51),0.34,2.51,1.16,(0.51 - 2.66)
Kidney cancer,4,201,0.91,(0.45 - 1.85),0.92,(0.34 - 2.51),0.34,2.51,1.16,(0.51 - 2.66)
Kidney cancer,4,201,0.91,(0.45 - 1.85),0.92,(0.34 - 2.51),0.34,2.51,1.16,(0.51 - 2.66)
Kidney cancer,4,201,0.91,(0.45 - 1.85),0.92,(0.34 - 2.51),0.34,2.51,1.16,(0.51 - 2.66)
Kidney cancer,3,135,0.96,(0.82 - 1.14),0.94,(0.81 - 1.1),0.81,1.1,0.92,(0.78 - 1.08)
Kidney cancer,3,135,0.96,(0.82 - 1.14),0.94,(0.81 - 1.1),0.81,1.1,0.92,(0.78 - 1.08)
Kidney cancer,3,135,0.96,(0.82 - 1.14),0.94,(0.81 - 1.1),0.81,1.1,0.92,(0.78 - 1.08)
Kidney cancer,3,135,0.96,(0.82 - 1.14),0.94,(0.81 - 1.1),0.81,1.1,0.92,(0.78 - 1.08)
Kidney cancer,3,135,0.96,(0.82 - 1.14),0.94,(0.81 - 1.1),0.81,1.1,0.92,(0.78 - 1.08)
Kidney cancer,2,87,1.19,(0.74 - 1.92),1.05,(0.69 - 1.6),0.69,1.6,0.87,(0.54 - 1.4)
Kidney cancer,2,87,1.19,(0.74 - 1.92),1.05,(0.69 - 1.6),0.69,1.6,0.87,(0.54 - 1.4)
Kidney cancer,2,87,1.19,(0.74 - 1.92),1.05,(0.69 - 1.6),0.69,1.6,0.87,(0.54 - 1.4)
Kidney cancer,1,72,0.98,(0.93 - 1.04),0.96,(0.86 - 1.07),0.86,1.07,0.92,(0.75 - 1.13)
Kidney cancer,1,72,0.98,(0.93 - 1.04),0.96,(0.86 - 1.07),0.86,1.07,0.92,(0.75 - 1.13)
Kidney cancer,1,72,0.98,(0.93 - 1.04),0.96,(0.86 - 1.07),0.86,1.07,0.92,(0.75 - 1.13)
Kidney cancer,1,72,0.98,(0.93 - 1.04),0.96,(0.86 - 1.07),0.86,1.07,0.92,(0.75 - 1.13)
