outcome,id,ref_id,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Liver cancer,6,347,0.98,(0.91 - 1.04),0.96,(0.89 - 1.04),0.89,1.04,0.95,(0.86 - 1.04)
Liver cancer,6,347,0.98,(0.91 - 1.04),0.96,(0.89 - 1.04),0.89,1.04,0.95,(0.86 - 1.04)
Liver cancer,6,347,0.98,(0.91 - 1.04),0.96,(0.89 - 1.04),0.89,1.04,0.95,(0.86 - 1.04)
Liver cancer,6,347,0.98,(0.91 - 1.04),0.96,(0.89 - 1.04),0.89,1.04,0.95,(0.86 - 1.04)
Liver cancer,5,332,0.9,(0.75 - 1.08),0.83,(0.63 - 1.09),0.63,1.09,0.77,(0.58 - 1.01)
Liver cancer,5,332,0.9,(0.75 - 1.08),0.83,(0.63 - 1.09),0.63,1.09,0.77,(0.58 - 1.01)
Liver cancer,5,332,0.9,(0.75 - 1.08),0.83,(0.63 - 1.09),0.63,1.09,0.77,(0.58 - 1.01)
Liver cancer,5,332,0.9,(0.75 - 1.08),0.83,(0.63 - 1.09),0.63,1.09,0.77,(0.58 - 1.01)
Liver cancer,5,332,0.9,(0.75 - 1.08),0.83,(0.63 - 1.09),0.63,1.09,0.77,(0.58 - 1.01)
Liver cancer,4,91,1.03,(0.84 - 1.26),0.92,(0.71 - 1.19),0.71,1.19,0.81,(0.61 - 1.07)
Liver cancer,4,91,1.03,(0.84 - 1.26),0.92,(0.71 - 1.19),0.71,1.19,0.81,(0.61 - 1.07)
Liver cancer,4,91,1.03,(0.84 - 1.26),0.92,(0.71 - 1.19),0.71,1.19,0.81,(0.61 - 1.07)
Liver cancer,3,339,0.85,(0.75 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.6,(0.44 - 0.82)
Liver cancer,3,339,0.85,(0.75 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.6,(0.44 - 0.82)
Liver cancer,3,339,0.85,(0.75 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.6,(0.44 - 0.82)
Liver cancer,3,339,0.85,(0.75 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.6,(0.44 - 0.82)
Liver cancer,2,127,0.9,(0.76 - 1.06),0.83,(0.65 - 1.06),0.65,1.06,0.77,(0.61 - 0.98)
Liver cancer,2,127,0.9,(0.76 - 1.06),0.83,(0.65 - 1.06),0.65,1.06,0.77,(0.61 - 0.98)
Liver cancer,2,127,0.9,(0.76 - 1.06),0.83,(0.65 - 1.06),0.65,1.06,0.77,(0.61 - 0.98)
Liver cancer,2,127,0.9,(0.76 - 1.06),0.83,(0.65 - 1.06),0.65,1.06,0.77,(0.61 - 0.98)
Liver cancer,2,127,0.9,(0.76 - 1.06),0.83,(0.65 - 1.06),0.65,1.06,0.77,(0.61 - 0.98)
Liver cancer,1,77,1,(0.92 - 1.08),0.99,(0.75 - 1.3),0.75,1.3,0.98,(0.55 - 1.77)
Liver cancer,1,77,1,(0.92 - 1.08),0.99,(0.75 - 1.3),0.75,1.3,0.98,(0.55 - 1.77)
Liver cancer,1,77,1,(0.92 - 1.08),0.99,(0.75 - 1.3),0.75,1.3,0.98,(0.55 - 1.77)
Liver cancer,1,77,1,(0.92 - 1.08),0.99,(0.75 - 1.3),0.75,1.3,0.98,(0.55 - 1.77)
Liver cancer,1,77,1,(0.92 - 1.08),0.99,(0.75 - 1.3),0.75,1.3,0.98,(0.55 - 1.77)
