outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Lung cancer,15,347,0.76,(0.68 - 0.86),0.7,(0.62 - 0.8),0.62,0.8,0.73,(0.65 - 0.82)
Lung cancer,14,332,0.94,(0.88 - 1),0.91,(0.84 - 0.99),0.84,0.99,0.89,(0.83 - 0.96)
Lung cancer,13,91,0.84,(0.71 - 1),0.91,(0.76 - 1.08),0.76,1.08,0.99,(0.83 - 1.18)
Lung cancer,12,38,0.89,(0.73 - 1.09),0.81,(0.57 - 1.15),0.57,1.15,0.71,(0.45 - 1.13)
Lung cancer,11,354,1,(1 - 1),0.83,(0.77 - 0.89),0.77,0.89,0.61,(0.52 - 0.71)
Lung cancer,10,352,0.94,(0.87 - 1.01),0.94,(0.81 - 1.09),0.81,1.09,1.32,(1.14 - 1.52)
Lung cancer,9,338,0.85,(0.74 - 0.97),0.64,(0.45 - 0.92),0.45,0.92,0.58,(0.39 - 0.87)
Lung cancer,8,317,0.77,(0.64 - 0.93),0.77,(0.64 - 0.93),0.64,0.93,0.77,(0.64 - 0.93)
Lung cancer,7,301,1,(1 - 1),1,(1 - 1),1,1,1,(0.96 - 1.04)
Lung cancer,6,297,0.89,(0.83 - 0.95),0.85,(0.8 - 0.9),0.8,0.9,0.8,(0.74 - 0.86)
Lung cancer,5,256,0.89,(0.78 - 1.01),0.81,(0.66 - 0.99),0.66,0.99,0.76,(0.62 - 0.94)
Lung cancer,4,115,0.88,(0.85 - 0.92),0.89,(0.86 - 0.93),0.86,0.93,0.94,(0.88 - 1)
Lung cancer,3,60,1,(1 - 1),0.88,(0.75 - 1.03),0.75,1.03,0.73,(0.55 - 0.97)
Lung cancer,2,33,0.94,(0.83 - 1.06),0.9,(0.74 - 1.1),0.74,1.1,0.96,(0.78 - 1.19)
Lung cancer,1,9,0.88,(0.8 - 0.96),0.85,(0.77 - 0.94),0.77,0.94,0.82,(0.75 - 0.9)
