disease,fatal,non-fatal,fatal-and-non-fatal
all-cause-cancer,18.21252427184466,NA,19.47595419847328
all-cause-cvd,21.07611940298508,NA,20.112883435582823
all-cause-dementia,NA,13.511999999999999,11.415970149253734
all-cause-mortality,12.273488372093023,NA,12.273488372093023
alzheimer's-disease,NA,22.3675,13.637857142857143
bladder-cancer,NA,NA,11.73125
breast-cancer,15.476842105263152,NA,26.754803149606296
colon-cancer,NA,NA,21.162222222222223
coronary-heart-disease,11.001355932203388,NA,17.96
depression,NA,14.564516129032254,14.564516129032254
depressive-symptoms,NA,11.756410256410264,11.756410256410264
endometrial-cancer,NA,NA,21.16857142857143
esophageal-cancer,NA,NA,21.822068965517243
gastric-cardia-cancer,NA,NA,22.522999999999996
head-and-neck-cancer,NA,NA,13.592352941176472
heart-failure,NA,NA,23.947499999999998
kidney-cancer,NA,NA,14.814285714285713
liver-cancer,NA,NA,21.821538461538463
lung-cancer,20.206363636363637,NA,14.939047619047617
major-depression,NA,16.543043478260866,16.543043478260866
myeloid-leukemia,NA,NA,10.064285714285717
myeloma,NA,NA,21.8325
parkinson's-disease,NA,15.114230769230767,15.169999999999998
prostate-cancer,14.878571428571433,NA,27.260461538461538
rectum-cancer,NA,NA,18.463934426229507
stroke,11.004000000000001,NA,15.016517857142858
vascular-dementia,NA,NA,16.853333333333325
