disease,sex,fatal,non-fatal,fatal-and-non-fatal
all-cause-cancer,male,22.7764705882353,NA,39.151666666666685
all-cause-cvd,female,24.243333333333332,NA,22.64098360655738
all-cause-dementia,male,NA,NA,NA
all-cause-mortality,female,27.34438356164382,NA,27.34438356164382
alzheimer's-disease,male,NA,NA,NA
bladder-cancer,female,NA,NA,NA
breast-cancer,male,NA,NA,NA
colon-cancer,female,NA,NA,26.31666666666667
coronary-heart-disease,male,16.0625,NA,23.73942857142862
depression,female,NA,NA,NA
elevated-depressive-symptoms,male,NA,NA,NA
endometrial-cancer,female,NA,NA,26.2995744680851
esophageal-cancer,male,NA,NA,NA
gastric-cardia-cancer,female,NA,NA,NA
head-and-neck-cancer,male,NA,NA,NA
heart-failure,female,NA,NA,NA
kidney-cancer,male,NA,NA,NA
liver-cancer,female,NA,NA,NA
lung-cancer,male,NA,NA,NA
major-depression,female,NA,NA,NA
myeloid-leukemia,male,NA,NA,NA
myeloma,female,NA,NA,NA
parkinson's-disease,male,NA,NA,NA
prostate-cancer,female,NA,NA,NA
rectum-cancer,male,NA,NA,24.55833333333334
stroke,female,NA,NA,21.91717391304347
vascular-dementia,male,NA,NA,NA
all-cause-cancer,female,29.67,NA,39.151666666666685
all-cause-cvd,male,22.659411764705872,NA,22.665081967213112
all-cause-dementia,female,NA,NA,NA
all-cause-mortality,male,28.440410958904113,NA,28.440410958904113
alzheimer's-disease,female,NA,NA,NA
bladder-cancer,male,NA,NA,NA
breast-cancer,female,NA,NA,38.840666666666664
colon-cancer,male,NA,NA,26.31666666666667
coronary-heart-disease,female,16.0625,NA,23.73942857142862
depression,male,NA,NA,NA
elevated-depressive-symptoms,female,NA,NA,NA
endometrial-cancer,male,NA,NA,NA
esophageal-cancer,female,NA,NA,NA
gastric-cardia-cancer,male,NA,NA,NA
head-and-neck-cancer,female,NA,NA,NA
heart-failure,male,NA,NA,NA
kidney-cancer,female,NA,NA,NA
liver-cancer,male,NA,NA,NA
lung-cancer,female,NA,NA,NA
major-depression,male,NA,NA,NA
myeloid-leukemia,female,NA,NA,NA
myeloma,male,NA,NA,NA
parkinson's-disease,female,NA,NA,NA
prostate-cancer,male,NA,NA,NA
rectum-cancer,female,NA,NA,24.55833333333334
stroke,male,NA,NA,34.07782608695652
vascular-dementia,female,NA,NA,NA
