disease,fatal,non-fatal,fatal-and-non-fatal
all-cause-cancer,19.13776699029126,NA,19.49427480916031
all-cause-cvd,21.335522388059704,NA,20.112883435582823
all-cause-dementia,NA,16.316666666666663,16.35895522388059
all-cause-mortality,12.273820754716983,NA,12.273820754716983
alzheimer's-disease,NA,21.0125,13.58607142857143
bladder-cancer,NA,NA,13.45
breast-cancer,15.476842105263152,NA,26.754803149606296
colon-cancer,NA,NA,20.101358024691358
coronary-heart-disease,11.001355932203388,NA,17.96
depression,NA,16.509999999999998,16.509999999999998
depressive-symptoms,NA,7.94,7.94
endometrial-cancer,NA,NA,21.16857142857143
esophageal-cancer,NA,NA,21.822068965517243
gastric-cardia-cancer,NA,NA,22.522999999999996
head-and-neck-cancer,NA,NA,13.592352941176472
heart-failure,NA,NA,24.417499999999997
kidney-cancer,NA,NA,14.814285714285713
liver-cancer,NA,NA,21.821538461538463
lung-cancer,15.169999999999995,NA,14.16406779661017
myeloid-leukemia,NA,NA,10.064285714285717
myeloma,NA,NA,21.8325
parkinson's-disease,NA,15.114230769230767,16.953999999999997
prostate-cancer,14.878571428571433,NA,27.260461538461538
rectum-cancer,NA,NA,18.092295081967215
stroke,11.004000000000001,NA,15.016517857142858
vascular-dementia,NA,NA,14.180666666666658
