outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
all-cause-cancer,31,196,1.18,(0.91 - 1.54),1.18,(0.91 - 1.54),0.91,1.54,1.18,(0.91 - 1.54)
all-cause-cancer,30,347,0.8,(0.76 - 0.84),0.72,(0.67 - 0.77),0.67,0.77,0.74,(0.7 - 0.78)
all-cause-cancer,29,332,0.96,(0.92 - 0.99),0.93,(0.88 - 0.98),0.88,0.98,0.91,(0.87 - 0.96)
all-cause-cancer,28,320,1.2,(0.89 - 1.61),1.11,(0.83 - 1.47),0.83,1.47,0.87,(0.63 - 1.22)
all-cause-cancer,27,316,0.94,(0.78 - 1.14),0.92,(0.74 - 1.15),0.74,1.15,0.94,(0.73 - 1.21)
all-cause-cancer,26,270,0.75,(0.48 - 1.17),0.75,(0.49 - 1.14),0.49,1.14,0.91,(0.59 - 1.41)
all-cause-cancer,25,264,0.95,(0.9 - 0.99),0.89,(0.81 - 0.98),0.81,0.98,0.9,(0.81 - 0.99)
all-cause-cancer,24,259,0.79,(0.67 - 0.94),0.63,(0.51 - 0.76),0.51,0.76,0.63,(0.51 - 0.76)
all-cause-cancer,23,258,0.93,(0.86 - 0.99),0.87,(0.79 - 0.97),0.79,0.97,0.85,(0.77 - 0.94)
all-cause-cancer,22,257,0.81,(0.69 - 0.95),0.74,(0.64 - 0.87),0.64,0.87,0.72,(0.61 - 0.84)
all-cause-cancer,21,253,0.86,(0.79 - 0.93),0.74,(0.64 - 0.86),0.64,0.86,0.61,(0.48 - 0.76)
all-cause-cancer,20,250,0.93,(0.84 - 1.04),0.87,(0.75 - 1.01),0.75,1.01,0.77,(0.65 - 0.93)
all-cause-cancer,19,244,0.89,(0.79 - 1.01),0.86,(0.73 - 1),0.73,1,0.86,(0.74 - 0.99)
all-cause-cancer,18,239,1,(1 - 1),0.98,(0.97 - 0.99),0.97,0.99,0.92,(0.87 - 0.98)
all-cause-cancer,17,228,0.98,(0.46 - 2.13),0.97,(0.42 - 2.22),0.42,2.22,0.94,(0.57 - 1.53)
all-cause-cancer,16,212,0.95,(0.88 - 1.03),0.9,(0.8 - 1.02),0.8,1.02,0.8,(0.7 - 0.91)
all-cause-cancer,15,193,0.98,(0.95 - 1),0.87,(0.76 - 0.98),0.76,0.98,0.78,(0.65 - 0.94)
all-cause-cancer,14,191,0.93,(0.88 - 0.98),0.88,(0.8 - 0.96),0.8,0.96,0.87,(0.79 - 0.94)
all-cause-cancer,13,101,0.9,(0.81 - 1),0.83,(0.7 - 0.99),0.7,0.99,0.8,(0.66 - 0.97)
all-cause-cancer,12,95,0.99,(0.97 - 1.01),0.98,(0.94 - 1.01),0.94,1.01,0.95,(0.89 - 1.02)
all-cause-cancer,11,91,0.96,(0.9 - 1.03),0.93,(0.86 - 1.01),0.86,1.01,0.91,(0.84 - 0.99)
all-cause-cancer,10,83,0.86,(0.77 - 0.96),0.8,(0.71 - 0.91),0.71,0.91,0.8,(0.69 - 0.93)
all-cause-cancer,9,38,0.96,(0.87 - 1.06),0.92,(0.77 - 1.1),0.77,1.1,0.86,(0.65 - 1.13)
all-cause-cancer,8,26,0.98,(0.92 - 1.04),0.96,(0.85 - 1.08),0.85,1.08,0.92,(0.75 - 1.12)
all-cause-cancer,7,352,0.98,(0.94 - 1.02),0.96,(0.88 - 1.04),0.88,1.04,1.02,(0.95 - 1.1)
all-cause-cancer,6,338,0.97,(0.93 - 1),0.91,(0.82 - 1),0.82,1,0.86,(0.76 - 0.98)
all-cause-cancer,5,315,0.95,(0.85 - 1.06),0.93,(0.82 - 1.05),0.82,1.05,0.91,(0.82 - 1.01)
all-cause-cancer,4,300,0.99,(0.99 - 1),0.99,(0.98 - 1),0.98,1,0.98,(0.96 - 1)
all-cause-cancer,3,295,1,(0.98 - 1.01),0.99,(0.97 - 1.01),0.97,1.01,0.97,(0.95 - 0.99)
all-cause-cancer,2,277,0.99,(0.91 - 1.07),0.98,(0.87 - 1.1),0.87,1.1,0.98,(0.88 - 1.09)
all-cause-cancer,1,123,0.97,(0.85 - 1.11),0.93,(0.81 - 1.07),0.81,1.07,0.89,(0.74 - 1.08)
