outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
all-cause-cancer,24,347,0.79,(0.74 - 0.83),0.72,(0.67 - 0.77),0.67,0.77,0.74,(0.7 - 0.78)
all-cause-cancer,23,332,0.95,(0.92 - 0.99),0.93,(0.88 - 0.98),0.88,0.98,0.91,(0.87 - 0.96)
all-cause-cancer,22,320,1.19,(0.88 - 1.62),1.09,(0.83 - 1.44),0.83,1.44,0.88,(0.63 - 1.23)
all-cause-cancer,21,316,0.91,(0.7 - 1.18),0.92,(0.74 - 1.15),0.74,1.15,0.94,(0.73 - 1.21)
all-cause-cancer,20,277,0.78,(0.67 - 0.91),0.69,(0.56 - 0.86),0.56,0.86,0.74,(0.62 - 0.88)
all-cause-cancer,19,270,0.74,(0.47 - 1.17),0.76,(0.51 - 1.14),0.51,1.14,0.91,(0.59 - 1.41)
all-cause-cancer,18,264,0.94,(0.89 - 0.99),0.88,(0.8 - 0.98),0.8,0.98,0.9,(0.81 - 0.99)
all-cause-cancer,17,259,0.8,(0.67 - 0.95),0.63,(0.52 - 0.77),0.52,0.77,0.63,(0.52 - 0.77)
all-cause-cancer,16,258,0.92,(0.86 - 0.99),0.87,(0.79 - 0.97),0.79,0.97,0.85,(0.77 - 0.94)
all-cause-cancer,15,257,0.81,(0.69 - 0.95),0.74,(0.64 - 0.87),0.64,0.87,0.72,(0.61 - 0.84)
all-cause-cancer,14,253,0.93,(0.9 - 0.97),0.88,(0.81 - 0.94),0.81,0.94,0.77,(0.67 - 0.89)
all-cause-cancer,13,250,0.93,(0.84 - 1.04),0.87,(0.76 - 1.01),0.76,1.01,0.78,(0.65 - 0.92)
all-cause-cancer,12,244,0.89,(0.78 - 1.01),0.86,(0.74 - 1),0.74,1,0.86,(0.75 - 0.99)
all-cause-cancer,11,239,1,(1 - 1),0.98,(0.97 - 1),0.97,1,0.92,(0.87 - 0.98)
all-cause-cancer,10,228,0.98,(0.47 - 2.05),0.97,(0.48 - 1.96),0.48,1.96,0.94,(0.59 - 1.48)
all-cause-cancer,9,212,0.93,(0.87 - 1),0.88,(0.78 - 0.99),0.78,0.99,0.81,(0.71 - 0.92)
all-cause-cancer,8,193,0.97,(0.95 - 1),0.86,(0.75 - 0.98),0.75,0.98,0.78,(0.66 - 0.94)
all-cause-cancer,7,191,0.92,(0.87 - 0.98),0.88,(0.8 - 0.96),0.8,0.96,0.87,(0.8 - 0.95)
all-cause-cancer,6,101,0.86,(0.75 - 0.98),0.8,(0.66 - 0.97),0.66,0.97,0.79,(0.66 - 0.95)
all-cause-cancer,5,95,0.99,(0.97 - 1.01),0.98,(0.94 - 1.02),0.94,1.02,0.95,(0.89 - 1.03)
all-cause-cancer,4,91,0.96,(0.89 - 1.03),0.93,(0.86 - 1),0.86,1,0.91,(0.84 - 0.99)
all-cause-cancer,3,83,0.86,(0.77 - 0.96),0.81,(0.71 - 0.91),0.71,0.91,0.8,(0.69 - 0.93)
all-cause-cancer,2,38,0.96,(0.86 - 1.07),0.92,(0.75 - 1.12),0.75,1.12,0.85,(0.64 - 1.13)
all-cause-cancer,1,26,0.98,(0.92 - 1.04),0.96,(0.85 - 1.08),0.85,1.08,0.92,(0.75 - 1.12)
