outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
all-cause-cvd,37,346,0.78,(0.73 - 0.83),0.65,(0.58 - 0.72),0.58,0.72,0.57,(0.5 - 0.64)
all-cause-cvd,36,345,1,(0.94 - 1.06),0.97,(0.87 - 1.08),0.87,1.08,0.84,(0.76 - 0.93)
all-cause-cvd,35,331,0.53,(0.3 - 0.94),0.62,(0.38 - 1.01),0.38,1.01,0.85,(0.5 - 1.44)
all-cause-cvd,34,320,0.6,(0.41 - 0.89),0.62,(0.43 - 0.88),0.43,0.88,0.86,(0.59 - 1.25)
all-cause-cvd,33,316,0.79,(0.54 - 1.15),0.66,(0.47 - 0.91),0.47,0.91,0.55,(0.38 - 0.8)
all-cause-cvd,32,281,0.71,(0.48 - 1.04),0.74,(0.5 - 1.08),0.5,1.08,0.98,(0.51 - 1.9)
all-cause-cvd,31,264,0.88,(0.82 - 0.95),0.75,(0.64 - 0.88),0.64,0.88,0.68,(0.57 - 0.8)
all-cause-cvd,30,259,0.46,(0.4 - 0.53),0.39,(0.33 - 0.47),0.33,0.47,0.39,(0.33 - 0.47)
all-cause-cvd,29,258,0.83,(0.75 - 0.92),0.72,(0.62 - 0.84),0.62,0.84,0.68,(0.59 - 0.79)
all-cause-cvd,28,257,0.81,(0.66 - 0.99),0.74,(0.61 - 0.9),0.61,0.9,0.72,(0.59 - 0.88)
all-cause-cvd,27,253,0.72,(0.65 - 0.81),0.54,(0.43 - 0.66),0.43,0.66,0.36,(0.26 - 0.5)
all-cause-cvd,26,250,0.9,(0.81 - 0.99),0.84,(0.72 - 0.98),0.72,0.98,0.82,(0.68 - 0.98)
all-cause-cvd,25,244,0.83,(0.72 - 0.96),0.74,(0.62 - 0.89),0.62,0.89,0.64,(0.54 - 0.75)
all-cause-cvd,24,239,1,(1 - 1),0.97,(0.95 - 0.98),0.95,0.98,0.86,(0.82 - 0.91)
all-cause-cvd,23,228,0.51,(0.17 - 1.55),0.47,(0.13 - 1.63),0.13,1.63,0.7,(0.36 - 1.37)
all-cause-cvd,22,212,0.87,(0.84 - 0.91),0.78,(0.72 - 0.84),0.72,0.84,0.69,(0.63 - 0.75)
all-cause-cvd,21,202,0.9,(0.77 - 1.04),0.7,(0.57 - 0.85),0.57,0.85,0.52,(0.36 - 0.75)
all-cause-cvd,20,193,0.98,(0.96 - 1),0.88,(0.79 - 0.98),0.79,0.98,0.81,(0.68 - 0.95)
all-cause-cvd,19,191,0.86,(0.81 - 0.92),0.78,(0.7 - 0.86),0.7,0.86,0.73,(0.66 - 0.81)
all-cause-cvd,18,148,0.79,(0.73 - 0.85),0.75,(0.68 - 0.84),0.68,0.84,0.73,(0.63 - 0.84)
all-cause-cvd,17,126,0.8,(0.7 - 0.92),0.72,(0.62 - 0.84),0.62,0.84,0.72,(0.61 - 0.84)
all-cause-cvd,16,120,0.91,(0.85 - 0.98),0.78,(0.65 - 0.93),0.65,0.93,0.72,(0.61 - 0.87)
all-cause-cvd,15,103,0.91,(0.89 - 0.94),0.84,(0.8 - 0.89),0.8,0.89,0.78,(0.72 - 0.84)
all-cause-cvd,14,101,0.92,(0.74 - 1.13),0.85,(0.6 - 1.21),0.6,1.21,0.75,(0.48 - 1.15)
all-cause-cvd,13,70,0.83,(0.73 - 0.94),0.71,(0.57 - 0.87),0.57,0.87,0.65,(0.53 - 0.79)
all-cause-cvd,12,38,0.78,(0.72 - 0.85),0.63,(0.54 - 0.73),0.54,0.73,0.46,(0.37 - 0.58)
all-cause-cvd,11,28,0.71,(0.65 - 0.77),0.57,(0.5 - 0.65),0.5,0.65,0.62,(0.56 - 0.69)
all-cause-cvd,10,23,1,(1 - 1),1,(1 - 1),1,1,0.98,(0.96 - 1)
all-cause-cvd,9,342,0.87,(0.81 - 0.94),0.78,(0.7 - 0.87),0.7,0.87,0.72,(0.65 - 0.8)
all-cause-cvd,8,336,1,(0.98 - 1.01),0.86,(0.6 - 1.24),0.6,1.24,0.76,(0.45 - 1.28)
all-cause-cvd,7,326,1,(0.96 - 1.04),0.99,(0.92 - 1.07),0.92,1.07,0.92,(0.83 - 1.03)
all-cause-cvd,6,315,0.93,(0.84 - 1.03),0.87,(0.77 - 0.98),0.77,0.98,0.76,(0.69 - 0.84)
all-cause-cvd,5,285,0.91,(0.85 - 0.98),0.85,(0.78 - 0.93),0.78,0.93,0.77,(0.71 - 0.84)
all-cause-cvd,4,213,0.87,(0.79 - 0.95),0.77,(0.66 - 0.91),0.66,0.91,0.69,(0.58 - 0.83)
all-cause-cvd,3,185,1,(1 - 1),1.02,(0.97 - 1.07),0.97,1.07,0.89,(0.75 - 1.05)
all-cause-cvd,2,182,0.97,(0.95 - 1),0.94,(0.9 - 0.99),0.9,0.99,0.89,(0.82 - 0.97)
all-cause-cvd,1,14,0.7,(0.64 - 0.77),0.65,(0.6 - 0.72),0.6,0.72,0.65,(0.59 - 0.72)
