outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
all-cause-cvd,29,346,0.78,(0.73 - 0.83),0.65,(0.58 - 0.72),0.58,0.72,0.57,(0.5 - 0.64)
all-cause-cvd,28,345,1,(0.94 - 1.07),0.97,(0.87 - 1.08),0.87,1.08,0.84,(0.76 - 0.93)
all-cause-cvd,27,331,0.53,(0.3 - 0.94),0.62,(0.38 - 1.01),0.38,1.01,0.85,(0.5 - 1.44)
all-cause-cvd,26,320,0.6,(0.41 - 0.89),0.62,(0.43 - 0.88),0.43,0.88,0.86,(0.59 - 1.25)
all-cause-cvd,25,316,0.93,(0.73 - 1.19),0.77,(0.57 - 1.03),0.57,1.03,0.55,(0.38 - 0.8)
all-cause-cvd,24,281,0.71,(0.48 - 1.04),0.74,(0.5 - 1.08),0.5,1.08,0.98,(0.51 - 1.89)
all-cause-cvd,23,264,0.88,(0.82 - 0.95),0.75,(0.64 - 0.88),0.64,0.88,0.68,(0.57 - 0.8)
all-cause-cvd,22,259,0.46,(0.4 - 0.53),0.39,(0.33 - 0.47),0.33,0.47,0.39,(0.33 - 0.47)
all-cause-cvd,21,258,0.83,(0.75 - 0.92),0.72,(0.62 - 0.84),0.62,0.84,0.68,(0.59 - 0.79)
all-cause-cvd,20,257,0.81,(0.66 - 0.99),0.74,(0.61 - 0.9),0.61,0.9,0.72,(0.59 - 0.88)
all-cause-cvd,19,253,0.72,(0.64 - 0.8),0.53,(0.43 - 0.66),0.43,0.66,0.36,(0.26 - 0.5)
all-cause-cvd,18,250,0.9,(0.81 - 0.99),0.84,(0.72 - 0.98),0.72,0.98,0.82,(0.68 - 0.98)
all-cause-cvd,17,244,0.83,(0.72 - 0.96),0.74,(0.62 - 0.89),0.62,0.89,0.64,(0.54 - 0.75)
all-cause-cvd,16,239,1,(1 - 1),0.97,(0.95 - 0.98),0.95,0.98,0.86,(0.82 - 0.91)
all-cause-cvd,15,228,0.51,(0.17 - 1.55),0.47,(0.13 - 1.63),0.13,1.63,0.7,(0.36 - 1.37)
all-cause-cvd,14,212,0.89,(0.84 - 0.94),0.8,(0.73 - 0.87),0.73,0.87,0.68,(0.62 - 0.74)
all-cause-cvd,13,202,0.9,(0.77 - 1.04),0.7,(0.57 - 0.85),0.57,0.85,0.52,(0.36 - 0.75)
all-cause-cvd,12,193,0.98,(0.96 - 1),0.88,(0.79 - 0.98),0.79,0.98,0.8,(0.68 - 0.95)
all-cause-cvd,11,191,0.86,(0.81 - 0.92),0.78,(0.7 - 0.86),0.7,0.86,0.73,(0.66 - 0.81)
all-cause-cvd,10,182,0.94,(0.89 - 0.99),0.89,(0.8 - 0.98),0.8,0.98,0.8,(0.68 - 0.95)
all-cause-cvd,9,148,0.79,(0.73 - 0.85),0.75,(0.68 - 0.84),0.68,0.84,0.73,(0.63 - 0.84)
all-cause-cvd,8,126,0.8,(0.7 - 0.92),0.72,(0.62 - 0.84),0.62,0.84,0.72,(0.61 - 0.84)
all-cause-cvd,7,120,0.91,(0.85 - 0.98),0.78,(0.65 - 0.93),0.65,0.93,0.72,(0.61 - 0.87)
all-cause-cvd,6,103,0.91,(0.88 - 0.94),0.84,(0.8 - 0.89),0.8,0.89,0.78,(0.72 - 0.84)
all-cause-cvd,5,101,0.92,(0.74 - 1.13),0.85,(0.6 - 1.21),0.6,1.21,0.75,(0.48 - 1.15)
all-cause-cvd,4,70,0.83,(0.73 - 0.94),0.71,(0.57 - 0.87),0.57,0.87,0.65,(0.53 - 0.79)
all-cause-cvd,3,38,0.78,(0.72 - 0.85),0.63,(0.54 - 0.73),0.54,0.73,0.46,(0.37 - 0.58)
all-cause-cvd,2,28,0.71,(0.65 - 0.77),0.57,(0.5 - 0.65),0.5,0.65,0.62,(0.57 - 0.69)
all-cause-cvd,1,23,1,(1 - 1),1,(1 - 1),1,1,0.98,(0.96 - 1)
