outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
all-cause-dementia,18,9942,0.87,(0.81 - 0.95),0.8,(0.7 - 0.91),0.7,0.91,0.92,(0.88 - 0.97)
all-cause-dementia,17,9939,1.02,(0.93 - 1.13),1.04,(0.93 - 1.16),0.93,1.16,1.05,(0.95 - 1.16)
all-cause-dementia,16,9936,1,(1 - 1),1,(1 - 1),1,1,1.01,(0.9 - 1.14)
all-cause-dementia,15,9935,0.87,(0.67 - 1.12),0.69,(0.54 - 0.88),0.54,0.88,0.45,(0.32 - 0.63)
all-cause-dementia,14,9932,0.69,(0.52 - 0.93),0.59,(0.4 - 0.88),0.4,0.88,0.65,(0.42 - 1.03)
all-cause-dementia,13,9930,0.99,(0.97 - 1.01),0.93,(0.85 - 1.03),0.85,1.03,0.85,(0.71 - 1.03)
all-cause-dementia,12,9923,0.44,(0.29 - 0.68),0.36,(0.24 - 0.55),0.24,0.55,0.3,(0.17 - 0.53)
all-cause-dementia,11,9918,0.74,(0.54 - 1.01),0.57,(0.41 - 0.77),0.41,0.77,0.55,(0.4 - 0.76)
all-cause-dementia,10,9913,0.81,(0.59 - 1.1),0.77,(0.5 - 1.16),0.5,1.16,0.89,(0.63 - 1.25)
all-cause-dementia,9,9911,0.6,(0.44 - 0.82),0.55,(0.41 - 0.73),0.41,0.73,0.55,(0.41 - 0.73)
all-cause-dementia,8,997,1.1,(0.92 - 1.31),1.13,(0.84 - 1.52),0.84,1.52,0.97,(0.74 - 1.27)
all-cause-dementia,7,995,0.76,(0.59 - 0.99),0.67,(0.48 - 0.94),0.48,0.94,0.66,(0.48 - 0.9)
all-cause-dementia,6,9938,1.05,(0.96 - 1.15),1.1,(0.93 - 1.31),0.93,1.31,1.19,(0.88 - 1.61)
all-cause-dementia,5,998,0.57,(0.48 - 0.68),0.56,(0.47 - 0.65),0.47,0.65,0.55,(0.43 - 0.69)
all-cause-dementia,4,9943,0.88,(0.77 - 1),0.81,(0.66 - 0.99),0.66,0.99,0.79,(0.64 - 0.99)
all-cause-dementia,3,9940,0.83,(0.71 - 0.97),0.77,(0.65 - 0.91),0.65,0.91,0.72,(0.61 - 0.84)
all-cause-dementia,2,9931,0.98,(0.85 - 1.12),0.96,(0.74 - 1.23),0.74,1.23,0.96,(0.69 - 1.32)
all-cause-dementia,1,9927,0.76,(0.62 - 0.94),0.79,(0.65 - 0.97),0.65,0.97,0.8,(0.65 - 0.98)
