outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
all-cause-dementia-non,12,9942,0.87,(0.8 - 0.94),0.8,(0.7 - 0.91),0.7,0.91,0.92,(0.88 - 0.97)
all-cause-dementia-non,11,9939,1.02,(0.93 - 1.13),1.04,(0.93 - 1.16),0.93,1.16,1.05,(0.95 - 1.16)
all-cause-dementia-non,10,9936,1,(1 - 1),1,(1 - 1),1,1,1.01,(0.9 - 1.15)
all-cause-dementia-non,9,9935,0.87,(0.67 - 1.12),0.69,(0.54 - 0.87),0.54,0.87,0.45,(0.32 - 0.63)
all-cause-dementia-non,8,9932,0.69,(0.51 - 0.93),0.59,(0.4 - 0.88),0.4,0.88,0.66,(0.42 - 1.03)
all-cause-dementia-non,7,9930,0.99,(0.97 - 1.01),0.93,(0.84 - 1.03),0.84,1.03,0.85,(0.71 - 1.03)
all-cause-dementia-non,6,9923,0.44,(0.29 - 0.68),0.36,(0.24 - 0.55),0.24,0.55,0.3,(0.17 - 0.53)
all-cause-dementia-non,5,9918,0.74,(0.54 - 1.01),0.57,(0.41 - 0.77),0.41,0.77,0.55,(0.4 - 0.76)
all-cause-dementia-non,4,9913,0.8,(0.59 - 1.1),0.76,(0.5 - 1.16),0.5,1.16,0.89,(0.63 - 1.25)
all-cause-dementia-non,3,9911,0.6,(0.44 - 0.82),0.55,(0.41 - 0.73),0.41,0.73,0.55,(0.41 - 0.73)
all-cause-dementia-non,2,997,1.1,(0.92 - 1.32),1.13,(0.85 - 1.52),0.85,1.52,0.97,(0.74 - 1.27)
all-cause-dementia-non,1,995,0.76,(0.58 - 0.99),0.67,(0.48 - 0.93),0.48,0.93,0.66,(0.48 - 0.9)
