outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
breast-cancer,29,196,1.21,(0.77 - 1.88),1.21,(0.77 - 1.88),0.77,1.88,1.21,(0.77 - 1.88)
breast-cancer,28,347,0.7,(0.58 - 0.84),0.58,(0.46 - 0.74),0.46,0.74,0.57,(0.47 - 0.7)
breast-cancer,27,332,0.89,(0.73 - 1.09),0.85,(0.62 - 1.15),0.62,1.15,0.87,(0.64 - 1.18)
breast-cancer,26,110,1.02,(0.93 - 1.12),1.03,(0.87 - 1.21),0.87,1.21,1,(0.84 - 1.18)
breast-cancer,25,91,1.06,(0.76 - 1.48),0.92,(0.66 - 1.29),0.66,1.29,0.78,(0.49 - 1.25)
breast-cancer,24,85,1.04,(0.97 - 1.12),1.01,(0.92 - 1.11),0.92,1.11,0.91,(0.82 - 1.01)
breast-cancer,23,352,0.99,(0.87 - 1.12),0.99,(0.73 - 1.34),0.73,1.34,1.08,(0.85 - 1.37)
breast-cancer,22,351,0.92,(0.85 - 1),0.89,(0.8 - 0.99),0.8,0.99,0.88,(0.81 - 0.97)
breast-cancer,21,338,0.97,(0.9 - 1.04),0.91,(0.75 - 1.11),0.75,1.11,0.84,(0.63 - 1.1)
breast-cancer,20,334,0.96,(0.9 - 1.03),0.93,(0.84 - 1.04),0.84,1.04,0.9,(0.8 - 1.01)
breast-cancer,19,308,0.93,(0.77 - 1.13),0.95,(0.76 - 1.18),0.76,1.18,1.05,(0.77 - 1.43)
breast-cancer,18,305,0.99,(0.98 - 1),0.98,(0.96 - 1),0.96,1,0.96,(0.92 - 1)
breast-cancer,17,288,0.96,(0.77 - 1.2),0.92,(0.67 - 1.24),0.67,1.24,0.82,(0.63 - 1.08)
breast-cancer,16,280,1,(0.88 - 1.13),0.98,(0.82 - 1.19),0.82,1.19,0.94,(0.76 - 1.15)
breast-cancer,15,274,1,(0.87 - 1.15),1,(0.8 - 1.25),0.8,1.25,1.01,(0.82 - 1.25)
breast-cancer,14,254,1,(1 - 1),1.02,(0.93 - 1.11),0.93,1.11,1.04,(0.83 - 1.32)
breast-cancer,13,252,1,(1 - 1),1.03,(0.96 - 1.1),0.96,1.1,1.06,(0.9 - 1.25)
breast-cancer,12,243,1,(1 - 1),1,(1 - 1),1,1,1.02,(0.97 - 1.07)
breast-cancer,11,237,1.03,(0.99 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.01,(0.93 - 1.1)
breast-cancer,10,230,1,(0.93 - 1.07),0.98,(0.85 - 1.13),0.85,1.13,0.88,(0.77 - 1.01)
breast-cancer,9,189,1.01,(0.98 - 1.04),1.01,(0.95 - 1.08),0.95,1.08,1.02,(0.91 - 1.15)
breast-cancer,8,168,1,(1 - 1),1,(0.99 - 1),0.99,1,0.96,(0.83 - 1.12)
breast-cancer,7,159,0.99,(0.95 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.93,(0.85 - 1.01)
breast-cancer,6,156,1.02,(0.89 - 1.16),1.01,(0.8 - 1.26),0.8,1.26,0.85,(0.65 - 1.13)
breast-cancer,5,144,0.97,(0.91 - 1.04),0.95,(0.89 - 1.02),0.89,1.02,0.93,(0.87 - 1)
breast-cancer,4,118,0.98,(0.94 - 1.02),0.96,(0.88 - 1.04),0.88,1.04,0.92,(0.78 - 1.08)
breast-cancer,3,33,0.99,(0.86 - 1.13),0.99,(0.78 - 1.27),0.78,1.27,1.12,(0.82 - 1.52)
breast-cancer,2,21,0.96,(0.93 - 1),0.92,(0.86 - 0.99),0.86,0.99,0.88,(0.82 - 0.95)
breast-cancer,1,19,1,(0.99 - 1.02),1,(0.97 - 1.03),0.97,1.03,1,(0.94 - 1.07)
