outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
colon-cancer,20,332,0.94,(0.83 - 1.05),0.89,(0.75 - 1.06),0.75,1.06,0.83,(0.7 - 0.99)
colon-cancer,19,91,1.21,(0.99 - 1.48),1.25,(0.97 - 1.62),0.97,1.62,1.2,(0.9 - 1.6)
colon-cancer,18,355,1,(1 - 1),1.07,(0.98 - 1.18),0.98,1.18,1.19,(0.95 - 1.5)
colon-cancer,17,340,0.92,(0.88 - 0.97),0.85,(0.78 - 0.93),0.78,0.93,0.77,(0.69 - 0.88)
colon-cancer,16,338,1.09,(0.97 - 1.22),1.26,(0.92 - 1.73),0.92,1.73,1.26,(0.82 - 1.95)
colon-cancer,15,318,0.94,(0.73 - 1.2),0.92,(0.68 - 1.25),0.68,1.25,0.95,(0.66 - 1.36)
colon-cancer,14,292,0.73,(0.57 - 0.92),0.79,(0.65 - 0.97),0.65,0.97,0.85,(0.69 - 1.04)
colon-cancer,13,255,0.9,(0.79 - 1.03),0.84,(0.67 - 1.07),0.67,1.07,0.92,(0.7 - 1.21)
colon-cancer,12,238,0.97,(0.86 - 1.1),0.93,(0.77 - 1.13),0.77,1.13,0.85,(0.71 - 1.01)
colon-cancer,11,234,0.92,(0.81 - 1.04),0.81,(0.59 - 1.1),0.59,1.1,0.7,(0.47 - 1.04)
colon-cancer,10,232,0.87,(0.73 - 1.03),0.78,(0.59 - 1.03),0.59,1.03,0.75,(0.57 - 0.99)
colon-cancer,9,205,0.99,(0.98 - 1),0.94,(0.89 - 1),0.89,1,0.88,(0.78 - 0.99)
colon-cancer,8,192,0.91,(0.81 - 1.02),0.88,(0.76 - 1.02),0.76,1.02,0.95,(0.83 - 1.1)
colon-cancer,7,179,1.06,(0.95 - 1.18),1.17,(0.87 - 1.57),0.87,1.57,1.19,(0.85 - 1.65)
colon-cancer,6,176,0.93,(0.82 - 1.07),0.88,(0.69 - 1.11),0.69,1.11,0.82,(0.65 - 1.02)
colon-cancer,5,145,0.93,(0.88 - 0.98),0.88,(0.81 - 0.96),0.81,0.96,0.85,(0.78 - 0.92)
colon-cancer,4,60,1,(1 - 1),1.03,(0.91 - 1.16),0.91,1.16,1.07,(0.81 - 1.41)
colon-cancer,3,33,1.07,(0.93 - 1.24),1.09,(0.84 - 1.43),0.84,1.43,0.8,(0.58 - 1.1)
colon-cancer,2,18,1.01,(0.99 - 1.03),1.02,(0.99 - 1.06),0.99,1.06,1.05,(0.98 - 1.13)
colon-cancer,1,1,1.08,(0.76 - 1.54),1.16,(0.81 - 1.67),0.81,1.67,1.25,(0.9 - 1.74)
