outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,26,196,0.86,(0.76 - 0.98),0.86,(0.76 - 0.98),0.76,0.98,0.86,(0.76 - 0.98)
All-cause mortality,25,346,0.73,(0.64 - 0.83),0.58,(0.46 - 0.71),0.46,0.71,0.5,(0.39 - 0.63)
All-cause mortality,24,345,1.01,(0.89 - 1.14),0.97,(0.79 - 1.2),0.79,1.2,0.81,(0.65 - 1.01)
All-cause mortality,23,322,0.8,(0.49 - 1.31),0.9,(0.58 - 1.4),0.58,1.4,1.1,(0.69 - 1.76)
All-cause mortality,22,270,0.5,(0.23 - 1.1),0.52,(0.24 - 1.12),0.24,1.12,0.96,(0.53 - 1.74)
All-cause mortality,21,262,0.95,(0.82 - 1.11),0.86,(0.64 - 1.16),0.64,1.16,0.65,(0.5 - 0.85)
All-cause mortality,20,258,0.82,(0.68 - 1),0.71,(0.53 - 0.95),0.53,0.95,0.69,(0.51 - 0.93)
All-cause mortality,19,235,0.86,(0.79 - 0.93),0.73,(0.63 - 0.85),0.63,0.85,0.71,(0.61 - 0.83)
All-cause mortality,18,148,0.82,(0.73 - 0.93),0.82,(0.7 - 0.94),0.7,0.94,0.81,(0.66 - 0.98)
All-cause mortality,17,120,0.99,(0.9 - 1.09),0.96,(0.76 - 1.22),0.76,1.22,0.91,(0.71 - 1.16)
All-cause mortality,16,95,0.97,(0.94 - 1.01),0.94,(0.87 - 1.01),0.87,1.01,0.89,(0.77 - 1.02)
All-cause mortality,15,38,0.84,(0.74 - 0.95),0.71,(0.57 - 0.9),0.57,0.9,0.56,(0.39 - 0.8)
All-cause mortality,14,2,0.77,(0.57 - 1.04),0.63,(0.45 - 0.88),0.45,0.88,0.49,(0.36 - 0.67)
All-cause mortality,13,353,0.93,(0.87 - 1),0.88,(0.78 - 1),0.78,1,0.87,(0.76 - 1)
All-cause mortality,12,342,0.79,(0.68 - 0.91),0.66,(0.53 - 0.84),0.53,0.84,0.65,(0.52 - 0.81)
All-cause mortality,11,310,1,(0.95 - 1.04),0.98,(0.91 - 1.05),0.91,1.05,0.87,(0.81 - 0.93)
All-cause mortality,10,285,0.92,(0.83 - 1.02),0.85,(0.75 - 0.97),0.75,0.97,0.75,(0.67 - 0.84)
All-cause mortality,9,241,0.67,(0.46 - 0.97),0.74,(0.53 - 1.04),0.53,1.04,0.75,(0.53 - 1.06)
All-cause mortality,8,182,0.95,(0.91 - 0.99),0.9,(0.84 - 0.97),0.84,0.97,0.83,(0.73 - 0.95)
All-cause mortality,7,172,0.82,(0.7 - 0.96),0.73,(0.58 - 0.92),0.58,0.92,0.69,(0.56 - 0.86)
All-cause mortality,6,158,0.8,(0.66 - 0.97),0.72,(0.56 - 0.92),0.56,0.92,0.69,(0.55 - 0.86)
All-cause mortality,5,106,0.88,(0.87 - 0.89),0.84,(0.83 - 0.86),0.83,0.86,0.85,(0.84 - 0.87)
All-cause mortality,4,78,0.98,(0.95 - 1.02),0.96,(0.87 - 1.05),0.87,1.05,0.9,(0.78 - 1.04)
All-cause mortality,3,69,0.95,(0.92 - 0.98),0.88,(0.81 - 0.95),0.81,0.95,0.8,(0.71 - 0.91)
All-cause mortality,2,24,0.99,(0.99 - 1),0.99,(0.98 - 0.99),0.98,0.99,0.98,(0.96 - 0.99)
All-cause mortality,1,14,0.7,(0.61 - 0.8),0.66,(0.58 - 0.75),0.58,0.75,0.67,(0.59 - 0.77)
