outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,12,346,0.69,(0.59 - 0.8),0.55,(0.44 - 0.7),0.44,0.7,0.52,(0.41 - 0.64)
All-cause mortality,11,345,1,(0.87 - 1.16),0.96,(0.78 - 1.17),0.78,1.17,0.81,(0.65 - 1.01)
All-cause mortality,10,322,0.79,(0.47 - 1.32),0.92,(0.6 - 1.39),0.6,1.39,1.1,(0.69 - 1.76)
All-cause mortality,9,270,0.47,(0.2 - 1.11),0.56,(0.28 - 1.11),0.28,1.11,0.96,(0.53 - 1.74)
All-cause mortality,8,262,0.95,(0.8 - 1.13),0.85,(0.63 - 1.16),0.63,1.16,0.65,(0.5 - 0.84)
All-cause mortality,7,258,0.81,(0.66 - 1.01),0.72,(0.54 - 0.96),0.54,0.96,0.7,(0.52 - 0.94)
All-cause mortality,6,235,0.84,(0.77 - 0.92),0.72,(0.62 - 0.84),0.62,0.84,0.71,(0.61 - 0.83)
All-cause mortality,5,148,0.83,(0.74 - 0.93),0.81,(0.7 - 0.94),0.7,0.94,0.79,(0.65 - 0.96)
All-cause mortality,4,120,0.99,(0.88 - 1.12),0.97,(0.74 - 1.27),0.74,1.27,0.91,(0.72 - 1.16)
All-cause mortality,3,95,0.97,(0.93 - 1.01),0.94,(0.86 - 1.02),0.86,1.02,0.89,(0.76 - 1.04)
All-cause mortality,2,38,0.81,(0.69 - 0.95),0.68,(0.52 - 0.9),0.52,0.9,0.55,(0.38 - 0.8)
All-cause mortality,1,2,0.76,(0.54 - 1.08),0.63,(0.45 - 0.88),0.45,0.88,0.49,(0.36 - 0.67)
