outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,15,994,0.88,(0.85 - 0.91),0.8,(0.75 - 0.85),0.75,0.85,0.74,(0.69 - 0.79)
All-cause mortality,14,9922,0.67,(0.49 - 0.91),0.65,(0.47 - 0.88),0.47,0.88,0.79,(0.55 - 1.13)
All-cause mortality,13,993,0.75,(0.69 - 0.81),0.61,(0.53 - 0.7),0.53,0.7,0.55,(0.49 - 0.62)
All-cause mortality,12,9914,1,(1 - 1),0.94,(0.65 - 1.36),0.65,1.36,0.84,(0.39 - 1.82)
All-cause mortality,11,999,0.68,(0.54 - 0.87),0.63,(0.49 - 0.8),0.49,0.8,0.6,(0.45 - 0.8)
All-cause mortality,10,9919,0.92,(0.86 - 0.97),0.9,(0.84 - 0.96),0.84,0.96,0.92,(0.85 - 0.99)
All-cause mortality,9,9937,0.94,(0.8 - 1.1),0.9,(0.7 - 1.16),0.7,1.16,0.89,(0.69 - 1.15)
All-cause mortality,8,9925,0.74,(0.62 - 0.88),0.73,(0.62 - 0.86),0.62,0.86,0.74,(0.59 - 0.91)
All-cause mortality,7,9910,0.71,(0.54 - 0.94),0.6,(0.43 - 0.84),0.43,0.84,0.6,(0.43 - 0.84)
All-cause mortality,6,9941,1,(1 - 1),0.93,(0.74 - 1.18),0.74,1.18,0.78,(0.6 - 1.02)
All-cause mortality,5,9934,0.98,(0.94 - 1.02),0.9,(0.76 - 1.07),0.76,1.07,0.85,(0.74 - 0.98)
All-cause mortality,4,991,1.09,(0.82 - 1.45),0.87,(0.68 - 1.12),0.68,1.12,0.85,(0.66 - 1.1)
All-cause mortality,3,9926,0.89,(0.79 - 1.01),0.9,(0.78 - 1.03),0.78,1.03,0.99,(0.88 - 1.11)
All-cause mortality,2,992,1,(1 - 1),0.93,(0.86 - 1.01),0.86,1.01,0.75,(0.58 - 0.99)
All-cause mortality,1,9929,0.85,(0.68 - 1.07),0.79,(0.59 - 1.06),0.59,1.06,0.8,(0.62 - 1.03)
