outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,13,332,0.81,(0.58 - 1.12),0.74,(0.45 - 1.2),0.45,1.2,0.79,(0.5 - 1.25)
All-cause mortality,12,338,1.06,(0.91 - 1.24),1.18,(0.77 - 1.79),0.77,1.79,1.12,(0.64 - 1.97)
All-cause mortality,11,319,0.9,(0.75 - 1.09),0.92,(0.74 - 1.15),0.74,1.15,1.05,(0.83 - 1.32)
All-cause mortality,10,303,1,(1 - 1),0.99,(0.9 - 1.09),0.9,1.09,0.96,(0.78 - 1.18)
All-cause mortality,9,299,0.9,(0.76 - 1.06),0.86,(0.74 - 1),0.74,1,0.82,(0.69 - 0.98)
All-cause mortality,8,290,0.85,(0.63 - 1.14),0.8,(0.55 - 1.17),0.55,1.17,0.85,(0.62 - 1.17)
All-cause mortality,7,268,0.97,(0.84 - 1.11),0.95,(0.76 - 1.2),0.76,1.2,1.02,(0.82 - 1.27)
All-cause mortality,6,251,0.94,(0.81 - 1.09),0.89,(0.67 - 1.17),0.67,1.17,0.82,(0.54 - 1.25)
All-cause mortality,5,240,0.99,(0.84 - 1.17),0.97,(0.76 - 1.23),0.76,1.23,0.89,(0.7 - 1.13)
All-cause mortality,4,233,1.06,(0.87 - 1.29),0.98,(0.8 - 1.2),0.8,1.2,0.87,(0.72 - 1.06)
All-cause mortality,3,199,0.94,(0.85 - 1.03),0.88,(0.73 - 1.06),0.73,1.06,0.8,(0.57 - 1.11)
All-cause mortality,2,157,1,(1 - 1),0.88,(0.79 - 0.98),0.79,0.98,0.71,(0.54 - 0.93)
All-cause mortality,1,17,0.99,(0.98 - 1.01),0.99,(0.96 - 1.02),0.96,1.02,0.97,(0.91 - 1.03)
