outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
lung-cancer,16,347,0.77,(0.68 - 0.86),0.7,(0.62 - 0.8),0.62,0.8,0.73,(0.65 - 0.82)
lung-cancer,15,332,0.94,(0.88 - 1),0.91,(0.84 - 0.99),0.84,0.99,0.89,(0.83 - 0.96)
lung-cancer,14,91,0.85,(0.71 - 1),0.91,(0.76 - 1.08),0.76,1.08,0.99,(0.83 - 1.18)
lung-cancer,13,38,0.89,(0.73 - 1.09),0.81,(0.58 - 1.15),0.58,1.15,0.71,(0.45 - 1.13)
lung-cancer,12,284,0.97,(0.96 - 0.99),0.95,(0.92 - 0.98),0.92,0.98,0.9,(0.84 - 0.96)
lung-cancer,11,354,1,(1 - 1),0.83,(0.77 - 0.89),0.77,0.89,0.6,(0.52 - 0.71)
lung-cancer,10,352,0.94,(0.87 - 1.01),0.94,(0.81 - 1.09),0.81,1.09,1.32,(1.14 - 1.52)
lung-cancer,9,338,0.85,(0.75 - 0.97),0.65,(0.45 - 0.92),0.45,0.92,0.58,(0.39 - 0.87)
lung-cancer,8,317,0.88,(0.75 - 1.03),0.82,(0.7 - 0.96),0.7,0.96,0.77,(0.64 - 0.93)
lung-cancer,7,301,1,(1 - 1),1,(1 - 1),1,1,1,(0.96 - 1.04)
lung-cancer,6,297,0.89,(0.83 - 0.95),0.85,(0.8 - 0.9),0.8,0.9,0.8,(0.74 - 0.86)
lung-cancer,5,256,0.89,(0.78 - 1.01),0.81,(0.66 - 0.99),0.66,0.99,0.76,(0.62 - 0.94)
lung-cancer,4,115,0.89,(0.85 - 0.92),0.89,(0.86 - 0.93),0.86,0.93,0.94,(0.88 - 1)
lung-cancer,3,60,1,(1 - 1),0.88,(0.76 - 1.02),0.76,1.02,0.73,(0.55 - 0.97)
lung-cancer,2,33,0.94,(0.84 - 1.06),0.9,(0.75 - 1.1),0.75,1.1,0.96,(0.78 - 1.19)
lung-cancer,1,9,0.87,(0.8 - 0.96),0.84,(0.76 - 0.93),0.76,0.93,0.82,(0.75 - 0.9)
