outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,16,347,0.88,(0.61 - 1.27),0.81,(0.5 - 1.32),0.5,1.32,0.77,(0.52 - 1.12)
All-cause mortality,15,332,0.94,(0.79 - 1.11),0.91,(0.71 - 1.18),0.71,1.18,0.93,(0.72 - 1.21)
All-cause mortality,14,91,0.97,(0.62 - 1.52),0.9,(0.6 - 1.36),0.6,1.36,0.85,(0.53 - 1.35)
All-cause mortality,13,352,0.91,(0.84 - 0.99),0.82,(0.68 - 0.97),0.68,0.97,0.99,(0.84 - 1.16)
All-cause mortality,12,338,0.94,(0.86 - 1.02),0.83,(0.66 - 1.06),0.66,1.06,0.8,(0.58 - 1.11)
All-cause mortality,11,321,1.02,(0.98 - 1.07),1.04,(0.97 - 1.12),0.97,1.12,1.02,(0.94 - 1.1)
All-cause mortality,10,180,1.02,(0.96 - 1.07),1.05,(0.91 - 1.22),0.91,1.22,1.09,(0.92 - 1.28)
All-cause mortality,9,155,1.02,(0.91 - 1.15),1.04,(0.84 - 1.29),0.84,1.29,1.05,(0.75 - 1.46)
All-cause mortality,8,150,1.01,(0.81 - 1.26),0.97,(0.8 - 1.18),0.8,1.18,0.95,(0.78 - 1.15)
All-cause mortality,7,137,1.01,(1 - 1.02),1.03,(1 - 1.05),1,1.05,1.05,(1 - 1.11)
All-cause mortality,6,119,1,(1 - 1),1.01,(1 - 1.01),1,1.01,1.11,(0.95 - 1.31)
All-cause mortality,5,71,1,(0.99 - 1.01),1.01,(0.99 - 1.03),0.99,1.03,1.01,(0.97 - 1.05)
All-cause mortality,4,60,1,(1 - 1),1,(0.91 - 1.1),0.91,1.1,1.01,(0.81 - 1.25)
All-cause mortality,3,42,1,(1 - 1),1,(1 - 1),1,1,1.01,(0.96 - 1.07)
All-cause mortality,2,33,0.99,(0.83 - 1.18),0.98,(0.71 - 1.35),0.71,1.35,0.95,(0.67 - 1.34)
All-cause mortality,1,25,0.98,(0.95 - 1.01),0.96,(0.9 - 1.01),0.9,1.01,0.92,(0.83 - 1.01)
