outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
All-cause mortality,15,332,1.17,(0.85 - 1.61),1.29,(0.79 - 2.1),0.79,2.1,1.36,(0.82 - 2.23)
All-cause mortality,14,91,1.07,(0.79 - 1.46),0.9,(0.61 - 1.33),0.61,1.33,0.73,(0.47 - 1.14)
All-cause mortality,13,355,1,(1 - 1),0.92,(0.81 - 1.04),0.81,1.04,0.82,(0.59 - 1.13)
All-cause mortality,12,340,0.97,(0.91 - 1.04),0.96,(0.86 - 1.07),0.86,1.07,0.99,(0.87 - 1.12)
All-cause mortality,11,296,0.95,(0.81 - 1.11),0.89,(0.77 - 1.03),0.77,1.03,0.82,(0.69 - 0.96)
All-cause mortality,10,292,0.93,(0.62 - 1.38),0.91,(0.65 - 1.28),0.65,1.28,0.91,(0.65 - 1.27)
All-cause mortality,9,267,0.81,(0.57 - 1.16),0.82,(0.53 - 1.28),0.53,1.28,1.08,(0.74 - 1.56)
All-cause mortality,8,255,1.15,(0.97 - 1.37),1.28,(0.95 - 1.72),0.95,1.72,1.26,(0.88 - 1.8)
All-cause mortality,7,234,0.89,(0.75 - 1.06),0.74,(0.47 - 1.15),0.47,1.15,0.61,(0.35 - 1.06)
All-cause mortality,6,205,1.01,(1 - 1.03),1.06,(0.99 - 1.14),0.99,1.14,1.14,(0.97 - 1.34)
All-cause mortality,5,192,0.96,(0.83 - 1.11),0.94,(0.78 - 1.13),0.78,1.13,0.95,(0.8 - 1.14)
All-cause mortality,4,165,0.96,(0.58 - 1.6),0.88,(0.51 - 1.51),0.51,1.51,0.71,(0.41 - 1.24)
All-cause mortality,3,60,1,(1 - 1),1.03,(0.76 - 1.39),0.76,1.39,1.14,(0.58 - 2.25)
All-cause mortality,2,33,0.93,(0.72 - 1.22),0.88,(0.54 - 1.42),0.54,1.42,0.89,(0.53 - 1.49)
All-cause mortality,1,1,0.85,(0.51 - 1.42),0.87,(0.51 - 1.48),0.51,1.48,0.93,(0.57 - 1.51)
