outcome,id,ref_number,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,mid_lb,mid_ub,highest_guideline,highest_CFI
Stroke,25,196,0.68,(0.54 - 0.86),0.68,(0.54 - 0.86),0.54,0.86,0.68,(0.54 - 0.86)
Stroke,24,346,0.95,(0.81 - 1.1),0.9,(0.71 - 1.14),0.71,1.14,0.83,(0.65 - 1.06)
Stroke,23,345,0.95,(0.87 - 1.05),0.9,(0.78 - 1.04),0.78,1.04,0.83,(0.72 - 0.97)
Stroke,22,258,0.89,(0.76 - 1.05),0.79,(0.63 - 0.99),0.63,0.99,0.66,(0.52 - 0.84)
Stroke,21,148,0.79,(0.68 - 0.92),0.66,(0.54 - 0.82),0.54,0.82,0.59,(0.44 - 0.79)
Stroke,20,120,0.89,(0.74 - 1.08),0.74,(0.48 - 1.14),0.48,1.14,0.64,(0.43 - 0.96)
Stroke,19,95,0.98,(0.94 - 1.03),0.97,(0.89 - 1.05),0.89,1.05,0.94,(0.8 - 1.1)
Stroke,18,38,0.74,(0.65 - 0.86),0.58,(0.45 - 0.75),0.45,0.75,0.43,(0.3 - 0.63)
Stroke,17,342,0.93,(0.81 - 1.07),0.87,(0.71 - 1.06),0.71,1.06,0.77,(0.64 - 0.92)
Stroke,16,325,1,(1 - 1),0.95,(0.92 - 0.98),0.92,0.98,0.76,(0.63 - 0.92)
Stroke,15,313,1,(1 - 1),0.87,(0.8 - 0.94),0.8,0.94,0.68,(0.54 - 0.85)
Stroke,14,309,0.98,(0.91 - 1.05),0.94,(0.85 - 1.05),0.85,1.05,0.8,(0.73 - 0.88)
Stroke,13,306,0.83,(0.75 - 0.91),0.71,(0.59 - 0.84),0.59,0.84,0.63,(0.5 - 0.8)
Stroke,12,285,0.89,(0.79 - 1.01),0.84,(0.74 - 0.96),0.74,0.96,0.78,(0.69 - 0.89)
Stroke,11,183,1.04,(0.8 - 1.35),0.97,(0.75 - 1.25),0.75,1.25,0.89,(0.66 - 1.2)
Stroke,10,182,0.99,(0.95 - 1.03),0.98,(0.91 - 1.06),0.91,1.06,0.96,(0.85 - 1.09)
Stroke,9,178,0.95,(0.9 - 1.01),0.88,(0.76 - 1.01),0.76,1.01,0.86,(0.76 - 0.98)
Stroke,8,170,0.87,(0.77 - 0.98),0.79,(0.68 - 0.93),0.68,0.93,0.7,(0.61 - 0.81)
Stroke,7,166,0.84,(0.65 - 1.07),0.76,(0.58 - 1),0.58,1,0.67,(0.52 - 0.87)
Stroke,6,113,0.84,(0.74 - 0.95),0.8,(0.71 - 0.89),0.71,0.89,0.78,(0.69 - 0.88)
Stroke,5,106,0.83,(0.8 - 0.86),0.81,(0.78 - 0.84),0.78,0.84,0.87,(0.85 - 0.9)
Stroke,4,104,1,(1 - 1),0.97,(0.92 - 1.01),0.92,1.01,0.88,(0.77 - 1.02)
Stroke,3,52,0.87,(0.75 - 1),0.77,(0.61 - 0.98),0.61,0.98,0.71,(0.56 - 0.9)
Stroke,2,13,0.93,(0.76 - 1.14),0.88,(0.73 - 1.06),0.73,1.06,0.84,(0.65 - 1.08)
Stroke,1,6,0.8,(0.61 - 1.05),0.87,(0.68 - 1.11),0.68,1.11,1.09,(0.89 - 1.34)
