id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,9927,Neergaard J.,hr,Both,ci,1550,18445,0,1,0,81,NA,NA,NA
1,9927,Neergaard J.,hr,Both,ci,1197,14244,2.62,0.84,-0.1743533871447778,48,1.2,0.58,0.18547502351331313
1,9927,Neergaard J.,hr,Both,ci,674,8021,5.25,0.99,-0.01005033585350145,35,1.47,0.66,0.20428381619987518
1,9927,Neergaard J.,hr,Both,ci,1849,22003,9.19,1,0,86,1.37,0.73,0.16059516645339383
2,9921,Williams T.,hr,Fatal,ci,66389,865066,2.33,1,0,85,NA,NA,NA
2,9921,Williams T.,hr,Fatal,ci,35298,427444,7.27,0.94,-0.06187540371808753,42,1.46,0.59,0.23114434370977616
2,9921,Williams T.,hr,Fatal,ci,43696,427444,14.57,0.75,-0.2876820724517809,42,1.13,0.5,0.20800505002022696
2,9921,Williams T.,hr,Fatal,ci,8153,61063,25.13,0.6,-0.5108256237659907,6,0.97,0.37,0.24587009594600598
3,9933,Zhao M.,hr,Fatal,ci,268193,2346689,4.38,1,0,1091,NA,NA,NA
3,9933,Zhao M.,hr,Fatal,ci,21428,187495,7.88,0.88,-0.12783337150988489,63,1.23,0.64,0.16666155020344833
3,9933,Zhao M.,hr,Fatal,ci,113851,996196,13.12,0.74,-0.3011050927839216,250,0.87,0.62,0.08642345887008543
3,9933,Zhao M.,hr,Fatal,ci,76384,668360,21,0.64,-0.4462871026284195,66,0.86,0.48,0.14876454106947892
4,995,Laurin D.,or,Non-fatal,ir,1183,1733,0,1,0,80,NA,NA,NA
4,995,Laurin D.,or,Non-fatal,ir,506,455,5.91,0.67,-0.40047756659712525,21,1.14,0.39,0.2736368654540776
4,995,Laurin D.,or,Non-fatal,ir,1412,1127,11.81,0.67,-0.40047756659712525,52,0.98,0.46,0.19294387247604564
4,995,Laurin D.,or,Non-fatal,ir,747,347,23.62,0.5,-0.6931471805599453,16,0.9,0.28,0.297863932542889
5,997,Podewils LJ.,hr,Non-fatal,ci,844,4367,0.72,1,0,69,NA,NA,NA
5,997,Podewils LJ.,hr,Non-fatal,ci,842,4516,4.18,1.07,0.06765864847381486,70,1.57,0.73,0.1953572540721009
5,997,Podewils LJ.,hr,Non-fatal,ci,844,4640,11.25,0.92,-0.08338160893905101,58,1.39,0.62,0.205957750870371
5,997,Podewils LJ.,hr,Non-fatal,ci,843,4706,20.7,0.7,-0.35667494393873245,48,1.13,0.44,0.24061620321442295
6,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,0.2,1,0,40,NA,NA,NA
6,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,2,0.44,-0.8209805520698302,20,0.78,0.25,0.29026885463112406
6,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,7.46,0.91,-0.09431067947124129,29,1.46,0.57,0.2399419992644679
6,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,18.3,0.74,-0.3011050927839216,28,1.23,0.45,0.2565153935310868
6,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,25.68,0.93,-0.07257069283483537,36,1.49,0.58,0.2406940389826736
7,9936,Hansson O.,hr,Non-fatal,ci,6840,102600,10.52,1,0,218,NA,NA,NA
7,9936,Hansson O.,hr,Non-fatal,ci,6840,102600,21.95,1.04,0.03922071315328133,231,1.25,0.86,0.09540135533065737
7,9936,Hansson O.,hr,Non-fatal,ci,6840,102600,39.65,1.14,0.131028262406404,248,1.37,0.95,0.0933956024486588
