id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,995,Laurin D.,or,Non-fatal,ir,1183,5915,0,1,0,80,NA,NA,NA
1,995,Laurin D.,or,Non-fatal,ir,506,2530,5.91,0.67,-0.40047756659712525,21,1.14,0.39,0.2736368654540776
1,995,Laurin D.,or,Non-fatal,ir,1412,7060,11.81,0.67,-0.40047756659712525,52,0.98,0.46,0.19294387247604564
1,995,Laurin D.,or,Non-fatal,ir,747,3735,23.62,0.5,-0.6931471805599453,16,0.9,0.28,0.297863932542889
2,997,Podewils LJ.,hr,Non-fatal,ci,844,4367,1,1,0,69,NA,NA,NA
2,997,Podewils LJ.,hr,Non-fatal,ci,842,4516,6,1.07,0.06765864847381486,70,1.57,0.73,0.1953572540721009
2,997,Podewils LJ.,hr,Non-fatal,ci,844,4640,15,0.92,-0.08338160893905101,58,1.39,0.62,0.205957750870371
2,997,Podewils LJ.,hr,Non-fatal,ci,843,4706,27,0.7,-0.35667494393873245,48,1.13,0.44,0.24061620321442295
3,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,0.2,1,0,40,NA,NA,NA
3,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,2,0.44,-0.8209805520698302,20,0.78,0.25,0.29026885463112406
3,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,7.46,0.91,-0.09431067947124129,29,1.46,0.57,0.2399419992644679
3,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,18.3,0.74,-0.3011050927839216,28,1.23,0.45,0.2565153935310868
3,9913,Tan Z.,hr,Non-fatal,ci,591.6,5916,25.68,0.93,-0.07257069283483537,36,1.49,0.58,0.2406940389826736
4,9936,Hansson O.,hr,Non-fatal,ci,6840,102600,10.52,1,0,218,NA,NA,NA
4,9936,Hansson O.,hr,Non-fatal,ci,6840,102600,21.95,1.04,0.03922071315328133,231,1.25,0.86,0.09540135533065737
4,9936,Hansson O.,hr,Non-fatal,ci,6840,102600,39.65,1.14,0.131028262406404,248,1.37,0.95,0.0933956024486588
