id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,33,Schnohr et al.,hr,Both,ci,90,45360,1.5,1,0,52,NA,NA,NA
1,33,Schnohr et al.,hr,Both,ci,235,118635,10.5,0.98,-0.020202707317519466,130,1.38,0.69,0.17682650957553353
1,33,Schnohr et al.,hr,Both,ci,114,57645,17.5,0.83,-0.18632957819149348,65,1.21,0.57,0.19202885453500745
2,88,Tripathi A,hr,Both,ci,5863,204509,0,1,0,63,NA,NA,NA
2,88,Tripathi A,hr,Both,ci,3468,120971,5.25,0.62,-0.4780358009429998,23,1,0.38,0.24683719545203003
2,88,Tripathi A,hr,Both,ci,3156,110091,13.12,0.73,-0.31471074483970024,25,1.17,0.46,0.2381504317610545
3,139,Koebnick C,hr,Both,ci,83558,591296,0,1,0,334,NA,NA,NA
3,139,Koebnick C,hr,Both,ci,64730,467197,1.31,0.85,-0.16251892949777494,217,1.02,0.72,0.08885538127629249
3,139,Koebnick C,hr,Both,ci,102945,745409,3.94,0.89,-0.11653381625595151,363,1.03,0.76,0.07755133521360182
3,139,Koebnick C,hr,Both,ci,128003,929663,9.19,0.91,-0.09431067947124129,469,1.05,0.78,0.07583086368234668
3,139,Koebnick C,hr,Both,ci,92524,671077,14.44,0.87,-0.13926206733350766,336,1.02,0.74,0.08186571860793886
4,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,52,NA,NA,NA
4,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,1.25,0.22314355131420976,45,1.86,0.84,0.20279195973502406
4,332,"Arem, H",hr,Fatal,ci,74502,901474,7,0.97,-0.030459207484708574,82,1.38,0.68,0.1805507615353415
4,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,0.95,-0.05129329438755058,82,1.36,0.67,0.1806059376420695
4,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,1.03,0.02955880224154443,85,1.46,0.72,0.18034527885934074
