id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,85,Bardia A,hr,Fatal,ci,5664,259247,1.31,1,0,1216,NA,NA,NA
1,85,Bardia A,hr,Fatal,ci,3373,154392,6.56,1.04,0.03922071315328133,750,1.14,0.94,0.04921102317340806
1,85,Bardia A,hr,Fatal,ci,3084,141180,14.44,0.91,-0.09431067947124129,582,1.01,0.82,0.05316456608918559
2,91,Suzuki,hr,Fatal,ci,NA,63804,12.25,0.78,-0.2484613592984996,4,1.25,0.49,0.2389057774986213
2,91,Suzuki,hr,Fatal,ci,NA,87831,5.25,1.05,0.04879016416943205,9,1.53,0.72,0.19229225851139006
2,91,Suzuki,hr,Fatal,ci,NA,486855,1.75,1,0,64,NA,NA,NA
3,110,Silvera S,hr,Fatal,ci,2853,186818,0,1,0,513,NA,NA,NA
3,110,Silvera S,hr,Fatal,ci,1778,116411,6.13,1.06,0.058268908123975824,302,1.27,0.88,0.09358597272043084
3,110,Silvera S,hr,Fatal,ci,2861,187370,18.38,0.98,-0.020202707317519466,480,1.16,0.83,0.08539687105228178
3,110,Silvera S,hr,Fatal,ci,2588,169515,30.63,0.93,-0.07257069283483537,376,1.1,0.78,0.0876984326789805
4,332,"Arem, H",hr,Fatal,ci,17166,207707,0,1,0,70,NA,NA,NA
4,332,"Arem, H",hr,Fatal,ci,12998,157273,1.75,1.21,0.1906203596086497,55,1.8,0.82,0.20057450285507783
4,332,"Arem, H",hr,Fatal,ci,31142,376817,7,0.92,-0.08338160893905101,103,1.29,0.65,0.17485656365948077
4,332,"Arem, H",hr,Fatal,ci,31408,380041,19.25,0.97,-0.030459207484708574,99,1.37,0.68,0.1786954316960061
4,332,"Arem, H",hr,Fatal,ci,29199,353310,33.25,1.08,0.0769610411361284,109,1.53,0.76,0.17849934657608127
5,347,Jee Y. ,hr,Fatal,ci,78826,1336103,0,1,0,79,NA,NA,NA
5,347,Jee Y. ,hr,Fatal,ci,15987,270973,4.38,0.65,-0.4307829160924542,20,0.83,0.52,0.1192871126468433
5,347,Jee Y. ,hr,Fatal,ci,13761,233258,13.13,0.62,-0.4780358009429998,11,0.81,0.47,0.13885498847319686
5,347,Jee Y. ,hr,Fatal,ci,11845,200766,21.88,0.56,-0.579818495252942,11,0.74,0.43,0.13848850840950577
