id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,1,Nunez C.,hr,Both,ci,11727,30194,0,1,0,52,NA,NA,NA
1,1,Nunez C.,hr,Both,ci,47304,137275,4.35,1.08,0.0769610411361284,175,1.54,0.76,0.1801612855383736
1,1,Nunez C.,hr,Both,ci,159715,433966,13.1,1.25,0.22314355131420976,583,1.74,0.9,0.16817799563775393
2,18,Calton BA.,hr,Both,ci,6313,52666,0,1,0,44,NA,NA,NA
2,18,Calton BA.,hr,Both,ci,6318,53628,80.85,1.45,0.371563556432483,58,2.15,0.98,0.2004298435211974
2,18,Calton BA.,hr,Both,ci,6394,54645,144.55,1.16,0.14842000511827322,47,1.75,0.77,0.2094376627697295
2,18,Calton BA.,hr,Both,ci,6482,55556,208.25,1.27,0.23901690047049992,49,1.91,0.84,0.20955911324974885
2,18,Calton BA.,hr,Both,ci,6276,53830,303.8,1.15,0.13976194237515863,45,1.75,0.76,0.21277243873256957
3,33,Schnohr et al.,hr,Both,ci,349,93885,1.5,1,0,83,NA,NA,NA
3,33,Schnohr et al.,hr,Both,ci,855,230190,10.5,1.05,0.04879016416943205,225,1.37,0.8,0.13723575927862916
3,33,Schnohr et al.,hr,Both,ci,350,94305,17.5,0.8,-0.2231435513142097,87,1.1,0.58,0.16327783579048652
4,60,"Lee, I",hr,Both,ci,6927,116371,4.71,1,0,99,NA,NA,NA
4,60,"Lee, I",hr,Both,ci,5831,115457,18.7,1.07,0.06765864847381486,100,1.42,0.81,0.14321128024721355
4,60,"Lee, I",hr,Both,ci,4849,93407,35.99,1.08,0.0769610411361284,81,1.46,0.81,0.1502980339646791
5,145,Schmid D,hr,Both,ci,43778,539625,0,1,0,777,NA,NA,NA
5,145,Schmid D,hr,Both,ci,31862,409877,1.75,0.95,-0.05129329438755058,523,1.05,0.85,0.0539063715797806
5,145,Schmid D,hr,Both,ci,75964,989023,7,0.91,-0.09431067947124129,1185,1,0.83,0.04753392910819726
5,145,Schmid D,hr,Both,ci,77316,1017781,19.25,0.83,-0.18632957819149348,1096,0.91,0.76,0.045951396977529
5,145,Schmid D,hr,Both,ci,71798,951931,29.75,0.83,-0.18632957819149348,1050,0.9,0.76,0.04313250941792466
6,176,Morikawa T.,hr,Both,ci,3899,255551,0.7,1,0,92,NA,NA,NA
6,176,Morikawa T.,hr,Both,ci,7073,463566,4.03,0.94,-0.06187540371808753,179,1.22,0.73,0.13101302055440148
6,176,Morikawa T.,hr,Both,ci,7492,491022,10.07,0.88,-0.12783337150988489,187,1.14,0.68,0.1318112851292114
6,176,Morikawa T.,hr,Both,ci,4691,307464,17.53,0.78,-0.2484613592984996,108,1.04,0.58,0.148969035451942
6,176,Morikawa T.,hr,Both,ci,8192,536894,25.09,0.79,-0.23572233352106983,201,1.04,0.61,0.1361037853696231
7,179,Lee I-M.,hr,Both,ci,6048,64954,2.63,1,0,59,NA,NA,NA
7,179,Lee I-M.,hr,Both,ci,4015,43917,5.25,1.1,0.09531017980432493,38,1.7,0.7,0.22635701523085053
7,179,Lee I-M.,hr,Both,ci,8191,89522,15.75,1.2,0.1823215567939546,83,1.6,0.8,0.17682650957553356
7,179,Lee I-M.,hr,Both,ci,3553,38539,31.5,1.1,0.09531017980432493,37,1.6,0.7,0.21089126629499405
8,192,Eaglehouse Y,hr,Both,ci,6782,684909,0,1,0,849,NA,NA,NA
8,192,Eaglehouse Y,hr,Both,ci,2117,213778,7.88,0.88,-0.12783337150988489,223,1.03,0.76,0.07755133521360182
8,192,Eaglehouse Y,hr,Both,ci,1322,133515,20.13,0.98,-0.020202707317519466,177,1.16,0.83,0.08539687105228178
9,205,"Morris, JS. ",hr,Both,ci,5687,629134,3.29,1,0,449,NA,NA,NA
