id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,999,Mikkelsen S. ,hr,Non-fatal,ci,4479.200195,116459,13.5,0.6,-0.5108256237659907,92,0.81,0.45,0.1499483331169617
1,999,Mikkelsen S. ,hr,Non-fatal,ci,9057.360352,235491,4.5,0.68,-0.3856624808119846,235,0.87,0.54,0.12166653975588981
1,999,Mikkelsen S. ,hr,Non-fatal,ci,2971.439941,77257,0.75,1,0,109,NA,NA,NA
2,9910,Hamer M.,or,Non-fatal,ir,674,5366,0.84,1,0,108,NA,NA,NA
2,9910,Hamer M.,or,Non-fatal,ir,2142,8000,3.94,0.73,-0.31471074483970024,161,0.96,0.55,0.14209827594512672
2,9910,Hamer M.,or,Non-fatal,ir,1507,3925,7.88,0.6,-0.5108256237659907,79,0.84,0.43,0.17082372136212767
3,9914,Paffenbarger Jr R.,rr,Non-fatal,ir,3468,83035,4.73,1,0,154,NA,NA,NA
3,9914,Paffenbarger Jr R.,rr,Non-fatal,ir,3468,83035,18.79,0.83,-0.18632957819149348,129,1.36704,0.29296,0.39295799021708677
3,9914,Paffenbarger Jr R.,rr,Non-fatal,ir,3264,78150,36.16,0.72,-0.3285040669720361,104,1.25704,0.18296,0.4916537996027563
4,9922,Ten Have M.,or,Non-fatal,ir,1799.971564,5400,0,1,0,132,NA,NA,NA
4,9922,Ten Have M.,or,Non-fatal,ir,1267.949708,3804,7,0.63,-0.4620354595965587,58,0.88,0.45,0.17109353283990944
4,9922,Ten Have M.,or,Non-fatal,ir,930.078728,2790,15.75,0.79,-0.23572233352106983,54,1.13,0.55,0.1836907818611895
5,9928,S‡nchez-Villegas A.,hr,Non-fatal,ci,1392,35697,1.99,1,0,316,NA,NA,NA
5,9928,S‡nchez-Villegas A.,hr,Non-fatal,ci,1266,32459,11.75,0.97,-0.030459207484708574,269,1.14,0.82,0.08405236109671717
5,9928,S‡nchez-Villegas A.,hr,Non-fatal,ci,1276,32718,21.34,0.84,-0.1743533871447778,221,1,0.71,0.08737158224546368
6,9929,Cabello M.,or,Non-fatal,ir,3973,NA,25,1,0,381,NA,NA,NA
6,9929,Cabello M.,or,Non-fatal,ir,903,NA,10,0.79,-0.23572233352106983,84,1.06,0.59,0.14946745318482008
6,9929,Cabello M.,or,Non-fatal,ir,1094,NA,0,0.81,-0.21072103131565253,129,1.12,0.59,0.1635135728118469
7,9934,Fernandez-Montero A.,hr,Non-fatal,ci,5597,59193,3.29,1,0,366,NA,NA,NA
7,9934,Fernandez-Montero A.,hr,Non-fatal,ci,3548,37606,11.34,0.88,-0.12783337150988489,193,1.05,0.74,0.08926063430585533
7,9934,Fernandez-Montero A.,hr,Non-fatal,ci,6343,66260,19.66,0.84,-0.1743533871447778,311,0.99,0.72,0.08123968951227092
8,9941,Hallgren M.,hr,Non-fatal,ci,4854.761129,63112,4.35,1,0,80,NA,NA,NA
8,9941,Hallgren M.,hr,Non-fatal,ci,7865.584561,102253,13.12,0.86,-0.15082288973458366,111,1.14,0.64,0.14727703406506792
8,9941,Hallgren M.,hr,Non-fatal,ci,7873.65431,102358,21.88,0.71,-0.342490308946776,98,0.96,0.53,0.15154775358158482
