id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,991,Espana-Romero V.,or,Non-fatal,ir,1250,7829,0,1,0,161,NA,NA,NA
1,991,Espana-Romero V.,or,Non-fatal,ir,2109,14783,2.65,1.15,0.13976194237515863,304,1.52,0.87,0.1423425140953885
1,991,Espana-Romero V.,or,Non-fatal,ir,1751,8559,9.29,0.85,-0.16251892949777494,176,1.05,0.63,0.1303150536936694
2,992,Camacho T.,or,Non-fatal,ir,1173,6637,6.4,1,0,252,NA,NA,NA
2,992,Camacho T.,or,Non-fatal,ir,1709,7507,21,0.71,-0.342490308946776,285,0.93,0.54,0.13867995812090195
2,992,Camacho T.,or,Non-fatal,ir,782,2344,37,0.58,-0.5447271754416722,89,0.8,0.43,0.15837702219972402
3,993,Pavey T.,or,Non-fatal,ir,5034,0,0,1,0,1501,NA,NA,NA
3,993,Pavey T.,or,Non-fatal,ir,358,0,2.65,0.76,-0.2744368457017603,63,1.01,0.57,0.14593871456800198
3,993,Pavey T.,or,Non-fatal,ir,1160,0,9.29,0.58,-0.5447271754416722,156,0.7,0.49,0.09099017807269391
3,993,Pavey T.,or,Non-fatal,ir,1454,0,16.18,0.56,-0.579818495252942,186,0.68,0.47,0.09422624761973018
3,993,Pavey T.,or,Non-fatal,ir,1495,0,23.17,0.58,-0.5447271754416722,187,0.69,0.48,0.09257963323610044
3,993,Pavey T.,or,Non-fatal,ir,2593,0,30.21,0.54,-0.616186139423817,325,0.63,0.47,0.07474298685907478
4,994,Wise L.,or,Non-fatal,ir,8437,37051,0,1,0,2488.915,NA,NA,NA
4,994,Wise L.,or,Non-fatal,ir,8852,36897,3.5,0.89,-0.11653381625595151,2478.56,0.95,0.83,0.03444866458493419
4,994,Wise L.,or,Non-fatal,ir,5900,23538,7,0.85,-0.16251892949777494,1581.2,0.92,0.78,0.042112955049576586
4,994,Wise L.,or,Non-fatal,ir,4692,16624,14,0.74,-0.3011050927839216,1116.696,0.81,0.68,0.044628740853466686
4,994,Wise L.,or,Non-fatal,ir,3775,13094,24.5,0.72,-0.3285040669720361,879.575,0.8,0.66,0.049075364181398504
4,994,Wise L.,or,Non-fatal,ir,2139,8374,38.5,0.81,-0.21072103131565253,562.557,0.92,0.72,0.06253238834143889
4,994,Wise L.,or,Non-fatal,ir,1429,5318,52.5,0.75,-0.2876820724517809,357.25,0.87,0.65,0.07436893000545569
5,9919,Kuwahara K.,hr,Non-fatal,ci,17704,82641,0,1,0,3954,NA,NA,NA
5,9919,Kuwahara K.,hr,Non-fatal,ci,2753,12860,0.96,0.97,-0.030459207484708574,603,1.05,0.89,0.04217525978268939
5,9919,Kuwahara K.,hr,Non-fatal,ci,2627,12255,4.17,0.9,-0.10536051565782628,516,0.98,0.82,0.045472323168261816
5,9919,Kuwahara K.,hr,Non-fatal,ci,3422,15983,8.88,0.92,-0.08338160893905101,650,0.99,0.84,0.04191481389129543
5,9919,Kuwahara K.,hr,Non-fatal,ci,1284,5984,16.32,0.85,-0.16251892949777494,209,0.98,0.74,0.07166008857359737
5,9919,Kuwahara K.,hr,Non-fatal,ci,1292,6024,23.87,0.95,-0.05129329438755058,245,1.08,0.83,0.06716720853148955
6,9925,Harvey S.,or,Non-fatal,ir,2818.836969,43542,0,1,0,277,NA,NA,NA
6,9925,Harvey S.,or,Non-fatal,ir,5688.396374,67120,0.88,0.83,-0.18632957819149348,427,1.01,0.68,0.10092349012167984
6,9925,Harvey S.,or,Non-fatal,ir,5411.501769,56431,2.62,0.77,-0.2613647641344075,359,0.94,0.63,0.10208352271645875
6,9925,Harvey S.,or,Non-fatal,ir,4509.307636,41184,5.25,0.69,-0.37106368139083207,262,0.86,0.56,0.1094396654485034
6,9925,Harvey S.,or,Non-fatal,ir,2144.478037,21221,10.5,0.72,-0.3285040669720361,135,0.93,0.56,0.12940232739458804
6,9925,Harvey S.,or,Non-fatal,ir,1991.479216,18706,17.5,0.69,-0.37106368139083207,119,0.89,0.53,0.13223315843266842
7,9926,Chang S.,hr,Non-fatal,ci,605,24206,21.88,1.02,0.01980262729617973,334,1.17,0.88,0.0726638659093505
7,9926,Chang S.,hr,Non-fatal,ci,617,24678,13.12,0.91,-0.09431067947124129,435,1.07,0.77,0.08393608637799398
7,9926,Chang S.,hr,Non-fatal,ci,592,23689,4.38,0.96,-0.040821994520255166,475,1.11,0.82,0.07724911182976203
7,9926,Chang S.,hr,Non-fatal,ci,748,29928,1.75,0.85,-0.16251892949777494,780,0.96,0.76,0.05959672040512717
7,9926,Chang S.,hr,Non-fatal,ci,1941,77639,0,1,0,1921,NA,NA,NA
