id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,41,Huerta J,hr,Both,ci,11955,842268,0,1,0,140,NA,NA,NA
1,41,Huerta J,hr,Both,ci,18273,1287380,15.05,0.75,-0.2876820724517809,132,0.97,0.59,0.12683231388926147
1,41,Huerta J,hr,Both,ci,12843,904799,21.8,0.62,-0.4780358009429998,69,0.84,0.46,0.15361899685507016
1,41,Huerta J,hr,Both,ci,9481,667918,31.6,0.69,-0.37106368139083207,69,0.94,0.5,0.1610416777607265
2,77,"Keum, N",hr,Both,ci,484,153020,2.67,1,0,25,NA,NA,NA
2,77,"Keum, N",hr,Both,ci,546,172674,11.18,0.65,-0.4307829160924542,18,1.22,0.35,0.3185448796746309
2,77,"Keum, N",hr,Both,ci,621,196381,24.21,0.68,-0.3856624808119846,22,1.25,0.37,0.3105658660722187
2,77,"Keum, N",hr,Both,ci,307,96922,41.97,0.61,-0.4942963218147801,10,1.32,0.28,0.3955678330423624
2,77,"Keum, N",hr,Both,ci,215,67927,73.93,0.6,-0.5108256237659907,7,1.46,0.25,0.45019470019860247
3,130,Cook MB,hr,Both,ci,6474,561328,0,1,0,40,NA,NA,NA
3,130,Cook MB,hr,Both,ci,5431,470897,1.75,1.22,0.19885085874516517,32,2.17,0.68,0.2960232069357801
3,130,Cook MB,hr,Both,ci,5822,504724,7,1.07,0.06765864847381486,63,1.76,0.65,0.2541109767831447
3,130,Cook MB,hr,Both,ci,6390,553961,19.25,1.12,0.11332868530700327,62,1.85,0.68,0.2553230895559257
3,130,Cook MB,hr,Both,ci,5050,437786,29.75,0.81,-0.21072103131565253,50,1.41,0.47,0.28026338681063107
4,151,Sjödahl K.,hr,Both,ci,24601,300441,1.31,1,0,93,NA,NA,NA
4,151,Sjödahl K.,hr,Both,ci,14574,192168,2.63,0.6,-0.5108256237659907,43,0.9,0.4,0.20687375447019513
4,151,Sjödahl K.,hr,Both,ci,20922,256730,6.56,0.7,-0.35667494393873245,79,1,0.5,0.17682650957553353
5,335,"Kunzmann, A.T.",hr,Both,ci,61697,341819,3.29,1,0,15,NA,NA,NA
5,335,"Kunzmann, A.T.",hr,Both,ci,149748,826252,15.48,1,0,32,1.86,0.54,0.31550646769643553
5,335,"Kunzmann, A.T.",hr,Both,ci,148588,812139,58,1.37,0.3148107398400336,43,2.49,0.75,0.30611909004286986
