id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,77,"Keum, N",hr,Both,ci,484,153020,2.67,1,0,15,NA,NA,NA
1,77,"Keum, N",hr,Both,ci,546,172674,11.18,0.9,-0.10536051565782628,14,1.9,0.42,0.3850464768186338
1,77,"Keum, N",hr,Both,ci,621,196381,24.21,1.08,0.0769610411361284,19,2.24,0.52,0.3725584614801803
1,77,"Keum, N",hr,Both,ci,307,96922,41.97,0.89,-0.11653381625595151,8,2.22,0.36,0.4640795590545183
1,77,"Keum, N",hr,Both,ci,215,67927,73.93,1.45,0.371563556432483,9,3.57,0.59,0.45924270855833443
2,127,Arem H.,hr,Both,ci,41607,545049,0,1,0,108,NA,NA,NA
2,127,Arem H.,hr,Both,ci,31429,411716,1.75,0.78,-0.2484613592984996,56,1.08,0.56,0.16754887884921965
2,127,Arem H.,hr,Both,ci,75302,986451,7,0.85,-0.16251892949777494,137,1.1,0.66,0.1303150536936694
2,127,Arem H.,hr,Both,ci,76865,1006934,19.25,0.68,-0.3856624808119846,102,0.9,0.52,0.13994286529646874
2,127,Arem H.,hr,Both,ci,71459,936110,29.75,0.7,-0.35667494393873245,95,0.93,0.53,0.14344844702161486
3,339,"Baumeister, S. E.",hr,Both,ci,26432,1472363,0,1,0,91,NA,NA,NA
3,339,"Baumeister, S. E.",hr,Both,ci,37089,2066038,15.05,0.65,-0.4307829160924542,83,0.9,0.46,0.1712195425873281
3,339,"Baumeister, S. E.",hr,Both,ci,26306,1465342,21.8,0.53,-0.6348782724359695,48,0.78,0.36,0.19724594286739583
3,339,"Baumeister, S. E.",hr,Both,ci,27007,1504439,31.6,0.57,-0.5621189181535413,53,0.83,0.39,0.19267674498727932
4,91,Suzuki,hr,Fatal,ci,NA,128676,1.75,1,0,61,NA,NA,NA
4,91,Suzuki,hr,Fatal,ci,NA,164754,5.25,1.02,0.01980262729617973,74,1.3,0.81,0.12068724209087009
4,91,Suzuki,hr,Fatal,ci,NA,801465,12.25,0.81,-0.21072103131565253,330,1.06,0.61,0.1409631080717095
5,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,82,NA,NA,NA
5,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,0.79,-0.23572233352106983,43,1.14,0.54,0.1906194215108423
5,332,"Arem, H",hr,Fatal,ci,74502,901474,7,0.9,-0.10536051565782628,112,1.21,0.68,0.14701363008868532
5,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,0.64,-0.4462871026284195,78,0.88,0.47,0.1600001881961446
5,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,0.71,-0.342490308946776,82,0.98,0.52,0.16166719518518624
6,347,Jee Y. ,hr,Fatal,ci,162863,2764315,0,1,0,703,NA,NA,NA
6,347,Jee Y. ,hr,Fatal,ci,47579,807886,4.38,0.94,-0.06187540371808753,191,1.02,0.87,0.04057847386083863
6,347,Jee Y. ,hr,Fatal,ci,33729,572606,13.13,0.98,-0.020202707317519466,148,1.06,0.91,0.038924079421546895
6,347,Jee Y. ,hr,Fatal,ci,29102,494056,21.88,0.86,-0.15082288973458366,157,1.03,0.72,0.09134424714891061
