id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,23,NA,NA,NA
1,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,0.88,-0.12783337150988489,12,1.78,0.44,0.35653561172497733
1,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.73,-0.31471074483970024,55,1.2,0.45,0.25021614191596947
1,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.74,-0.3011050927839216,31,1.27,0.43,0.2762772630791923
1,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.47,-0.7550225842780328,22,0.84,0.26,0.2991688291397443
1,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.5,-0.6931471805599453,7,1.17,0.21,0.4381844540570514
2,91,Suzuki,hr,Fatal,ci,NA,128676,1.75,1,0,167,NA,NA,NA
2,91,Suzuki,hr,Fatal,ci,NA,164754,5.25,0.84,-0.1743533871447778,119,1.01,0.7,0.0935285744237634
2,91,Suzuki,hr,Fatal,ci,NA,801465,12.25,0.99,-0.01005033585350145,614,1.18,0.83,0.0897577760214901
3,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,923,NA,NA,NA
3,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,0.85,-0.16251892949777494,522,0.95,0.76,0.05692542135323343
3,332,"Arem, H",hr,Fatal,ci,74502,901474,7,0.92,-0.08338160893905101,1258,1,0.84,0.04447872219082981
3,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,0.82,-0.19845093872383832,1095,0.9,0.75,0.04651145588186412
3,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,0.84,-0.1743533871447778,1073,0.92,0.77,0.04540470044329002
4,347,Jee Y. ,hr,Fatal,ci,162863,2764315,0,1,0,987,NA,NA,NA
4,347,Jee Y. ,hr,Fatal,ci,47579,807886,4.38,0.73,-0.31471074483970024,208,0.83,0.63,0.0703344254230685
4,347,Jee Y. ,hr,Fatal,ci,33729,572606,13.13,0.76,-0.2744368457017603,156,0.88,0.66,0.07338963234043597
4,347,Jee Y. ,hr,Fatal,ci,29102,494056,21.88,0.72,-0.3285040669720361,191,0.85,0.61,0.08463864513175319
5,284,Wang,hr,Fatal,ci,28332,334318,0,1,0,412,NA,NA,NA
5,284,Wang,hr,Fatal,ci,36596,431833,29.8,0.8,-0.2231435513142097,382,0.92,0.69,0.07338963234043601
5,284,Wang,hr,Fatal,ci,36278,428080,97.46,0.68,-0.3856624808119846,308,0.8,0.59,0.07767724130900727
5,284,Wang,hr,Fatal,ci,28195,332701,184.53,0.78,-0.2484613592984996,263,0.93,0.66,0.08748751350329266
