id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,999,Mikkelsen S. ,hr,Non-fatal,ci,4479.200195,116459,13.5,0.6,-0.5108256237659907,92,0.81,0.45,0.1499483331169617
1,999,Mikkelsen S. ,hr,Non-fatal,ci,9057.360352,235491,4.5,0.68,-0.3856624808119846,235,0.87,0.54,0.12166653975588981
1,999,Mikkelsen S. ,hr,Non-fatal,ci,2971.439941,77257,0.75,1,0,109,NA,NA,NA
2,9914,Paffenbarger Jr R.,rr,Non-fatal,ir,3468,83035,5,1,0,154,NA,NA,NA
2,9914,Paffenbarger Jr R.,rr,Non-fatal,ir,3468,83035,19,0.83,-0.18632957819149348,129,1.36704,0.29296,0.39295799021708677
2,9914,Paffenbarger Jr R.,rr,Non-fatal,ir,3264,78150,36,0.72,-0.3285040669720361,104,1.25704,0.18296,0.4916537996027563
3,9922,Ten Have M.,or,Non-fatal,ir,1799.971564,5400,0,1,0,132,NA,NA,NA
3,9922,Ten Have M.,or,Non-fatal,ir,1267.949708,3804,7,0.63,-0.4620354595965587,58,0.88,0.45,0.17109353283990944
3,9922,Ten Have M.,or,Non-fatal,ir,930.078728,2790,15.75,0.79,-0.23572233352106983,54,1.13,0.55,0.1836907818611895
4,9926,Chang S.,hr,Non-fatal,ci,303,24206,21.88,1.02,0.01980262729617973,334,1.17,0.88,0.0726638659093505
4,9926,Chang S.,hr,Non-fatal,ci,308,24678,13.12,0.91,-0.09431067947124129,435,1.07,0.77,0.08393608637799398
4,9926,Chang S.,hr,Non-fatal,ci,296,23689,4.38,0.96,-0.040821994520255166,475,1.11,0.82,0.07724911182976203
4,9926,Chang S.,hr,Non-fatal,ci,374,29928,1.75,0.85,-0.16251892949777494,780,0.96,0.76,0.05959672040512717
4,9926,Chang S.,hr,Non-fatal,ci,970,77639,0,1,0,1921,NA,NA,NA
5,9929,Cabello M.,or,Non-fatal,ir,3973,21852,0,1,0,381,NA,NA,NA
5,9929,Cabello M.,or,Non-fatal,ir,903,4966,9,0.79,-0.23572233352106983,84,1.06,0.59,0.14946745318482008
5,9929,Cabello M.,or,Non-fatal,ir,1094,6017,22,0.81,-0.21072103131565253,129,1.12,0.59,0.1635135728118469
6,9934,Fernandez-Montero A.,hr,Non-fatal,ci,5597,59193,3.29,1,0,366,NA,NA,NA
6,9934,Fernandez-Montero A.,hr,Non-fatal,ci,3548,37606,11.34,0.88,-0.12783337150988489,193,1.05,0.74,0.08926063430585533
6,9934,Fernandez-Montero A.,hr,Non-fatal,ci,6343,66260,19.66,0.84,-0.1743533871447778,311,0.99,0.72,0.08123968951227092
7,9941,Hallgren M.,hr,Non-fatal,ci,4854.761129,63112,4.35,1,0,80,NA,NA,NA
7,9941,Hallgren M.,hr,Non-fatal,ci,7865.584561,102253,13.12,0.86,-0.15082288973458366,111,1.14,0.64,0.14727703406506792
7,9941,Hallgren M.,hr,Non-fatal,ci,7873.65431,102358,21.88,0.71,-0.342490308946776,98,0.96,0.53,0.15154775358158482
