id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,131,Hofmann JN,hr,Both,ci,11122,1282448,6.8,1,0,125,NA,NA,NA
1,131,Hofmann JN,hr,Both,ci,6875,792786,18.05,1.1,0.09531017980432493,85,1.45,0.83,0.14232229240551522
1,131,Hofmann JN,hr,Both,ci,9140,1053939,32.29,1.1,0.09531017980432493,113,1.43,0.85,0.1327048297501408
1,131,Hofmann JN,hr,Both,ci,11066,1275982,49.37,1.19,0.17395330712343798,148,1.52,0.93,0.12532909573037632
2,169,Birmann B,hr,Both,ci,6553,875866,3.5,1,0,92,NA,NA,NA
2,169,Birmann B,hr,Both,ci,5043,674009,10.33,0.6,-0.5108256237659907,47,0.9,0.4,0.20687375447019513
2,169,Birmann B,hr,Both,ci,3758,502289,19.08,0.8,-0.2231435513142097,47,1.1,0.6,0.15462932185270692
2,169,Birmann B,hr,Both,ci,1737,232123,29.58,0.7,-0.35667494393873245,29,1.1,0.5,0.201140777734571
3,91,Suzuki,hr,Fatal,ci,NA,128676,1.75,1,0,7,NA,NA,NA
3,91,Suzuki,hr,Fatal,ci,NA,164754,5.25,1.24,0.2151113796169455,12,2.3,0.66,0.31848150699303246
3,91,Suzuki,hr,Fatal,ci,NA,801465,12.25,0.74,-0.3011050927839216,46,1.64,0.33,0.4090276349475829
4,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,61,NA,NA,NA
4,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,0.75,-0.2876820724517809,34,1.14,0.49,0.21540654750398888
4,332,"Arem, H",hr,Fatal,ci,74502,901474,7,0.56,-0.579818495252942,63,0.81,0.4,0.17999557801162328
4,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,0.77,-0.2613647641344075,90,1.07,0.55,0.16977241788083358
4,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,0.82,-0.19845093872383832,93,1.15,0.59,0.17025687454510768
