id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,25,Orsini N,hr,Fatal,ci,9143,104043,0,1,0,20,NA,NA,NA
1,25,Orsini N,hr,Fatal,ci,9143,104043,24.21,0.96,-0.040821994520255166,25,1.75,0.53,0.3047234719090272
1,25,Orsini N,hr,Fatal,ci,9143,104043,42.42,1.02,0.01980262729617973,27,1.87,0.55,0.31219334673369015
1,25,Orsini N,hr,Fatal,ci,9143,104043,66.77,0.98,-0.020202707317519466,28,1.83,0.53,0.3161267883144551
2,91,Suzuki,hr,Fatal,ci,NA,64872,12.25,0.85,-0.16251892949777494,25,1.34,0.53,0.23662370679134137
2,91,Suzuki,hr,Fatal,ci,NA,76923,5.25,0.96,-0.040821994520255166,21,1.57,0.58,0.2540359931755518
2,91,Suzuki,hr,Fatal,ci,NA,314610,1.75,1,0,78,NA,NA,NA
3,150,Nilsen T.,hr,Fatal,ci,3855,53081,0,1,0,64,NA,NA,NA
3,150,Nilsen T.,hr,Fatal,ci,8183,130221,1.31,0.71,-0.342490308946776,62,1.01,0.5,0.179364905926603
3,150,Nilsen T.,hr,Fatal,ci,6776,107073,2.63,0.74,-0.3011050927839216,68,1.04,0.52,0.17682650957553353
3,150,Nilsen T.,hr,Fatal,ci,6362,99146,6.56,0.67,-0.40047756659712525,64,0.95,0.47,0.17952607686707747
3,150,Nilsen T.,hr,Fatal,ci,3934,51961,11.81,0.85,-0.16251892949777494,96,1.17,0.62,0.16200286198159142
4,332,"Arem, H",hr,Fatal,ci,23999,290390,0,1,0,80,NA,NA,NA
4,332,"Arem, H",hr,Fatal,ci,18097,218977,1.75,0.97,-0.030459207484708574,55,1.37,0.69,0.17497117973619813
4,332,"Arem, H",hr,Fatal,ci,43360,524657,7,0.79,-0.23572233352106983,107,1.06,0.59,0.14946745318482008
4,332,"Arem, H",hr,Fatal,ci,44641,540152,19.25,1.03,0.02955880224154443,145,1.37,0.78,0.14369450244533874
4,332,"Arem, H",hr,Fatal,ci,41501,502160,33.25,0.93,-0.07257069283483537,126,1.24,0.69,0.1495372021198991
5,347,Jee Y. ,hr,Fatal,ci,84037,1428212,0,1,0,64,NA,NA,NA
5,347,Jee Y. ,hr,Fatal,ci,31592,536913,4.38,0.8,-0.2231435513142097,22,1.31,0.49,0.2508660957158595
5,347,Jee Y. ,hr,Fatal,ci,19968,339348,13.13,0.85,-0.16251892949777494,20,1.41,0.51,0.2594267715313369
5,347,Jee Y. ,hr,Fatal,ci,17257,293290,21.88,0.72,-0.3285040669720361,21,1.19,0.44,0.2538143218551922
