id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,6,Sieverdes et al.,hr,Fatal,ci,16862,325605,0.33,1,0,87,NA,NA,NA
1,6,Sieverdes et al.,hr,Fatal,ci,19780,344253,15.53,1.38,0.3220834991691132,68,2.07,0.92,0.2068737544701951
1,6,Sieverdes et al.,hr,Fatal,ci,9047,112811,4.99,0.92,-0.08338160893905101,20,1.58,0.53,0.278653875298422
2,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,43,NA,NA,NA
2,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,0.64,-0.4462871026284195,16,1.15,0.36,0.2962843192702058
2,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.5,-0.6931471805599453,74,0.73,0.34,0.1949267748181458
2,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.39,-0.941608539858445,29,0.62,0.24,0.24211683535599957
2,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.32,-1.1394342831883648,28,0.52,0.2,0.24375739874925992
2,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.37,-0.9942522733438669,9,0.76,0.18,0.36744593108637585
3,95,Inoue M. ,hr,Fatal,ci,27368,233819,0,1,0,129,NA,NA,NA
3,95,Inoue M. ,hr,Fatal,ci,19438,171130,36.98,0.89,-0.11653381625595151,78,1.19,0.67,0.14654118092260898
3,95,Inoue M. ,hr,Fatal,ci,18019,158572,51.62,0.87,-0.13926206733350766,70,1.17,0.64,0.1539035554216214
3,95,Inoue M. ,hr,Fatal,ci,18209,161551,102.97,0.83,-0.18632957819149348,65,1.14,0.6,0.16374124505227045
4,120,Williams P,hr,Fatal,ci,9624,92390,2.33,1,0,44,NA,NA,NA
4,120,Williams P,hr,Fatal,ci,6759,64886,7.3,0.78,-0.2484613592984996,22,1.27,0.48,0.24821529457313773
4,120,Williams P,hr,Fatal,ci,13985,134256,14.57,0.66,-0.4155154439616658,45,1.03,0.42,0.22884588110346862
4,120,Williams P,hr,Fatal,ci,11654,111878,25.13,0.58,-0.5447271754416722,36,1.01,0.34,0.27774999969721337
5,148,Wisloff U.,hr,Fatal,ci,80,107029,0,1,0,341,NA,NA,NA
5,148,Wisloff U.,hr,Fatal,ci,196,260576,1.31,0.96,-0.040821994520255166,282,1.14,0.82,0.08405236109671717
5,148,Wisloff U.,hr,Fatal,ci,42,56309,0.38,0.89,-0.11653381625595151,123,1.09,0.72,0.10578810796628037
5,148,Wisloff U.,hr,Fatal,ci,24,32212,0.88,0.76,-0.2744368457017603,14,1.31,0.44,0.2783234023402012
5,148,Wisloff U.,hr,Fatal,ci,39,51597,1.13,0.63,-0.4620354595965587,54,0.84,0.47,0.14813261919951073
5,148,Wisloff U.,hr,Fatal,ci,62,82953,2.63,0.65,-0.4307829160924542,26,0.98,0.43,0.21014859698310315
5,148,Wisloff U.,hr,Fatal,ci,33,43667,0.94,0.85,-0.16251892949777494,119,1.05,0.68,0.11083179293301403
5,148,Wisloff U.,hr,Fatal,ci,16,21897,2.19,1.02,0.01980262729617973,19,1.62,0.64,0.23692099936485675
5,148,Wisloff U.,hr,Fatal,ci,31,41315,2.81,0.8,-0.2231435513142097,84,1.02,0.62,0.12700193273092406
5,148,Wisloff U.,hr,Fatal,ci,68,90971,6.56,0.63,-0.4620354595965587,31,0.94,0.43,0.19951761173815044
5,148,Wisloff U.,hr,Fatal,ci,24,32365,1.69,0.83,-0.18632957819149348,112,1.03,0.67,0.10970517117425163
5,148,Wisloff U.,hr,Fatal,ci,6,7388,3.94,0.58,-0.5447271754416722,7,1.24,0.27,0.3888961000368715
5,148,Wisloff U.,hr,Fatal,ci,24,32417,5.06,0.72,-0.3285040669720361,109,0.91,0.58,0.11490427873248153
5,148,Wisloff U.,hr,Fatal,ci,20,26838,11.81,0.64,-0.4462871026284195,35,0.93,0.44,0.1909243907383902
6,258,Wen et al.,hr,Fatal,ci,201307,1620521,0.9,1,0,158,NA,NA,NA
6,258,Wen et al.,hr,Fatal,ci,79709,641657,4.1,0.89,-0.11653381625595151,44,1.14,0.69,0.12808703316940348
6,258,Wen et al.,hr,Fatal,ci,46513,374430,8.3,0.78,-0.2484613592984996,44,1.01,0.6,0.1328534500447389
6,258,Wen et al.,hr,Fatal,ci,17646,142050,15,0.78,-0.2484613592984996,21,1.11,0.55,0.17913518350814198
6,258,Wen et al.,hr,Fatal,ci,15143,121901,21.3,0.58,-0.5447271754416722,16,0.83,0.41,0.1799187502054524
7,345,Gero K. ,hr,Fatal,ci,86815,880185,1.75,1,0,1266,NA,NA,NA
7,345,Gero K. ,hr,Fatal,ci,17690,179314,5.25,0.88,-0.12783337150988489,243,1.01,0.77,0.06921430626472592
7,345,Gero K. ,hr,Fatal,ci,6938,69951,12.25,0.99,-0.01005033585350145,146,1.18,0.83,0.0897577760214901
7,345,Gero K. ,hr,Fatal,ci,5929,59790,19.25,0.77,-0.2613647641344075,125,0.93,0.64,0.0953375706751276
8,346,Hamer M. ,hr,Fatal,ci,11943,114125,0,1,0,191,NA,NA,NA
8,346,Hamer M. ,hr,Fatal,ci,13840,132253,3.68,0.7,-0.35667494393873245,104,0.89,0.54,0.12746466953195554
8,346,Hamer M. ,hr,Fatal,ci,11573,110589,10.8,0.9,-0.10536051565782628,90,1.18,0.69,0.13688468872409526
8,346,Hamer M. ,hr,Fatal,ci,11320,108172,22.57,0.7,-0.35667494393873245,63,0.95,0.52,0.1537357772317775
8,346,Hamer M. ,hr,Fatal,ci,10446,99820,38.08,0.59,-0.527632742082372,38,0.85,0.4,0.19229225851139004
