id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,123,Albanes,hr,Both,ci,5567,55669,0,1,0,381,NA,NA,NA
1,123,Albanes,hr,Both,ci,4760,47600,5.25,0.96,-0.040821994520255166,326,1.1,0.83,0.07184819726723475
1,123,Albanes,hr,Both,ci,2218,22181,13.12,0.89,-0.11653381625595151,151,1.08,0.74,0.09644721456674396
2,277,Mok Y.,hr,Both,ci,41532,427779,0,1,0,2447,NA,NA,NA
2,277,Mok Y.,hr,Both,ci,9697,99879,7.99,0.98,-0.020202707317519466,575,1.1,0.87,0.05984095855538893
2,277,Mok Y.,hr,Both,ci,8407,86593,30.38,0.98,-0.020202707317519466,533,1.11,0.87,0.062149632487997354
3,295,Kabat G.,hr,Both,ci,151407,1589767,0.98,1,0,29679,NA,NA,NA
3,295,Kabat G.,hr,Both,ci,103502,1086777,3.94,0.99,-0.01005033585350145,17052,1.01,0.97,0.010308745124048696
3,295,Kabat G.,hr,Both,ci,128885,1353282,9.19,0.99,-0.01005033585350145,20324,1.01,0.97,0.010308745124048696
3,295,Kabat G.,hr,Both,ci,92603,972331,14.44,0.97,-0.030459207484708574,14378,0.99,0.95,0.010521356223728684
4,300,McKenzie,hr,Both,ci,2424,869167,0,1,0,5882,NA,NA,NA
4,300,McKenzie,hr,Both,ci,2424,869167,20.44,0.99,-0.01005033585350145,5820,1.02,0.95,0.018137047987750253
4,300,McKenzie,hr,Both,ci,2424,869167,42.36,0.96,-0.040821994520255166,5671,1,0.93,0.01851327203133929
4,300,McKenzie,hr,Both,ci,2424,869167,70.45,0.95,-0.05129329438755058,5616,0.99,0.91,0.02149538059943313
4,300,McKenzie,hr,Both,ci,2424,869167,103.45,0.95,-0.05129329438755058,5525,0.98,0.91,0.018905442329113207
5,315,Chomistek A ,hr,Both,ci,83,15264,0,1,0,116,NA,NA,NA
5,315,Chomistek A ,hr,Both,ci,401,73999,1.32,1.13,0.12221763272424911,618,1.38,0.92,0.10343687723509752
5,315,Chomistek A ,hr,Both,ci,583,107604,4.65,1.04,0.03922071315328133,852,1.27,0.85,0.10243449194361182
5,315,Chomistek A ,hr,Both,ci,1152,212591,11.55,1.03,0.02955880224154443,1680,1.25,0.85,0.0983850937706104
5,315,Chomistek A ,hr,Both,ci,2233,412128,18.38,1.01,0.009950330853168092,3183,1.23,0.84,0.09728942968781128
6,338,"Barberio, A. M.",hr,Both,ci,378,75489,2.29,1,0,542,NA,NA,NA
6,338,"Barberio, A. M.",hr,Both,ci,371,74110,9.5,0.84,-0.1743533871447778,431,0.96,0.74,0.06639996967208235
6,338,"Barberio, A. M.",hr,Both,ci,360,71907,21.34,0.9,-0.10536051565782628,444,1.02,0.79,0.06518613679455285
6,338,"Barberio, A. M.",hr,Both,ci,326,65105,34.8,0.86,-0.15082288973458366,402,0.98,0.75,0.06823578577058166
7,352,Rangul V. ,hr,Both,ci,15785,253254,2.63,1,0,1637,NA,NA,NA
7,352,Rangul V. ,hr,Both,ci,9024,144011,9.29,0.96,-0.040821994520255166,972,1.04,0.88,0.04261662101468893
7,352,Rangul V. ,hr,Both,ci,13345,210811,16.03,1.02,0.01980262729617973,1587,1.1,0.95,0.03739953268230056
8,26,Orsini N,rr,Fatal,ir,7662,68106,0,1,0,217,NA,NA,NA
8,26,Orsini N,rr,Fatal,ir,7662,68106,18.13,0.9,-0.10536051565782628,181,1.08,0.7,0.11062345749598622
8,26,Orsini N,rr,Fatal,ir,7662,68106,36.31,0.85,-0.16251892949777494,197,1.1,0.62,0.14626441742547433
8,26,Orsini N,rr,Fatal,ir,7662,68106,54.54,0.71,-0.342490308946776,185,0.85,0.52,0.12536136933766362
9,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,56,NA,NA,NA
9,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,1.03,0.02955880224154443,33,1.58,0.67,0.21885667808261422
9,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.86,-0.15082288973458366,162,1.16,0.63,0.15573129647535028
9,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.86,-0.15082288973458366,88,1.2,0.61,0.17260977343099423
9,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.68,-0.3856624808119846,79,0.96,0.48,0.17682650957553353
9,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.53,-0.6348782724359695,18,0.9,0.31,0.27189848238339853
10,83,O´Donovan G.,hr,Fatal,ci,39947,352512,0,1,0,1757,NA,NA,NA
10,83,O´Donovan G.,hr,Fatal,ci,14224,125520,4.38,0.86,-0.15082288973458366,482,0.96,0.77,0.05626194444228711
10,83,O´Donovan G.,hr,Fatal,ci,2341,20658,13.13,0.82,-0.19845093872383832,72,1.06,0.63,0.13273314505384515
10,83,O´Donovan G.,hr,Fatal,ci,7079,62469,13.13,0.79,-0.23572233352106983,215,0.94,0.66,0.09021595371982492
11,91,Suzuki,hr,Fatal,ci,NA,128676,1.75,1,0,729,NA,NA,NA
11,91,Suzuki,hr,Fatal,ci,NA,164754,5.25,0.95,-0.05129329438755058,690,1.03,0.88,0.040151802531301274
11,91,Suzuki,hr,Fatal,ci,NA,801465,12.25,0.91,-0.09431067947124129,3234,0.99,0.84,0.04191481389129543
12,95,Inoue M. ,hr,Fatal,ci,27368,233819,0,1,0,562,NA,NA,NA
12,95,Inoue M. ,hr,Fatal,ci,19438,171130,36.98,0.89,-0.11653381625595151,345,1.02,0.78,0.0684359479844302
12,95,Inoue M. ,hr,Fatal,ci,18019,158572,51.62,0.89,-0.11653381625595151,336,1.02,0.78,0.0684359479844302
12,95,Inoue M. ,hr,Fatal,ci,18209,161551,102.97,0.76,-0.2744368457017603,291,0.89,0.65,0.0801670597815214
13,101,Lee J,hr,Fatal,ci,15366,1083112,0,1,0,509,NA,NA,NA
13,101,Lee J,hr,Fatal,ci,8164,575418,3.29,0.81,-0.21072103131565253,234,0.98,0.68,0.09323124720075607
13,101,Lee J,hr,Fatal,ci,3192,225014,15.48,0.83,-0.18632957819149348,96,1,0.67,0.10216452183714632
13,101,Lee J,hr,Fatal,ci,1324,93337,58,0.8,-0.2231435513142097,67,1,0.6,0.1303150536936694
14,191,Liu Y.,hr,Fatal,ci,2230,1004552,0,1,0,2014,NA,NA,NA
14,191,Liu Y.,hr,Fatal,ci,405,182660,2.37,0.96,-0.040821994520255166,446,1.07,0.87,0.052786866860688966
14,191,Liu Y.,hr,Fatal,ci,270,121740,8.27,0.88,-0.12783337150988489,373,0.99,0.79,0.05757044503053126
14,191,Liu Y.,hr,Fatal,ci,135,60673,14.45,0.89,-0.11653381625595151,221,1.03,0.78,0.07092481385704831
14,191,Liu Y.,hr,Fatal,ci,114,51419,23.87,0.83,-0.18632957819149348,192,0.97,0.71,0.07960123347248445
14,191,Liu Y.,hr,Fatal,ci,72,32446,36.59,0.96,-0.040821994520255166,149,1.11,0.71,0.1139945243371096
15,193,Matthews C,hr,Fatal,ci,15801,101126,3.52,1,0,328,NA,NA,NA
15,193,Matthews C,hr,Fatal,ci,15877,101613,10.66,0.82,-0.19845093872383832,219,0.98,0.68,0.09323124720075607
15,193,Matthews C,hr,Fatal,ci,15798,101107,20.05,0.79,-0.23572233352106983,179,0.96,0.65,0.0994816549304378
15,193,Matthews C,hr,Fatal,ci,15832,101325,31.63,0.78,-0.2484613592984996,179,0.96,0.63,0.10745438905989643
16,212,Hu G,hr,Fatal,ci,5745,94196,0,1,0,326,NA,NA,NA
16,212,Hu G,hr,Fatal,ci,21441,375811,13.13,0.84,-0.1743533871447778,984,0.96,0.74,0.06639996967208235
16,212,Hu G,hr,Fatal,ci,20026,366281,26.25,0.76,-0.2744368457017603,729,0.87,0.66,0.0704740951382805
17,228,Artero et al.,hr,Fatal,ci,4612,53650,0,1,0,51,NA,NA,NA
17,228,Artero et al.,hr,Fatal,ci,2088,24288,2.67,0.99,-0.01005033585350145,23,1.76,0.56,0.29213095580726495
17,228,Artero et al.,hr,Fatal,ci,5115,59505,21.81,0.92,-0.08338160893905101,52,1.42,0.59,0.22405758999231057
18,239,Patel et al.,hr,Fatal,ci,340,170754,6.25,1,0,792,NA,NA,NA
18,239,Patel et al.,hr,Fatal,ci,245,123116,16.32,0.96,-0.040821994520255166,574,1.07,0.86,0.05573611044176145
18,239,Patel et al.,hr,Fatal,ci,490,246616,22.18,0.92,-0.08338160893905101,1024,1,0.84,0.04447872219082981
18,239,Patel et al.,hr,Fatal,ci,654,328764,29.58,0.9,-0.10536051565782628,1389,0.98,0.82,0.045472323168261816
18,239,Patel et al.,hr,Fatal,ci,545,273872,38.51,0.87,-0.13926206733350766,1135,0.95,0.79,0.047049088806802586
18,239,Patel et al.,hr,Fatal,ci,374,187945,47.48,0.9,-0.10536051565782628,839,0.99,0.81,0.051192444617609294
18,239,Patel et al.,hr,Fatal,ci,286,144057,56.49,0.95,-0.05129329438755058,1236,1.07,0.84,0.06173889865516734
19,244,Schooling et al.,hr,Fatal,ci,8221,33706,0,1,0,258,NA,NA,NA
19,244,Schooling et al.,hr,Fatal,ci,19090,78269,6.13,0.87,-0.13926206733350766,522,1.01,0.75,0.07592802869150543
19,244,Schooling et al.,hr,Fatal,ci,26777,109786,18.38,0.86,-0.15082288973458366,723,0.99,0.74,0.0742500268439173
20,250,Wanner,hr,Fatal,ci,5392,115635,0.56,1,0,469,NA,NA,NA
20,250,Wanner,hr,Fatal,ci,10449,224086,5.25,0.92,-0.08338160893905101,781,1.04,0.82,0.06063163755860908
20,250,Wanner,hr,Fatal,ci,1822,39074,26.25,0.69,-0.37106368139083207,101,0.9,0.54,0.1303150536936694
21,253,Borch et al.,hr,Fatal,ci,949,10130,0,1,0,43,NA,NA,NA
21,253,Borch et al.,hr,Fatal,ci,2421,25843,16,1.12,0.11332868530700327,105,1.61,0.78,0.18487470790564967
21,253,Borch et al.,hr,Fatal,ci,5810,62020,24,0.95,-0.05129329438755058,192,1.33,0.68,0.17113616075018695
21,253,Borch et al.,hr,Fatal,ci,9713,103683,31,0.81,-0.21072103131565253,252,1.12,0.58,0.16787447778105521
21,253,Borch et al.,hr,Fatal,ci,16862,179996,44,0.76,-0.2744368457017603,399,1.04,0.55,0.16251770923698902
21,253,Borch et al.,hr,Fatal,ci,12021,128320,65,0.67,-0.40047756659712525,234,0.92,0.48,0.16596926557653643
21,253,Borch et al.,hr,Fatal,ci,9828,104911,83,0.68,-0.3856624808119846,188,0.95,0.49,0.16889509162212477
21,253,Borch et al.,hr,Fatal,ci,5489,58593,65,0.7,-0.35667494393873245,111,0.99,0.49,0.17941644784585345
21,253,Borch et al.,hr,Fatal,ci,1896,20239,104,0.64,-0.4462871026284195,37,0.99,0.41,0.22488877101411528
21,253,Borch et al.,hr,Fatal,ci,1147,12244,158,0.57,-0.5621189181535413,23,0.95,0.34,0.2621263388228808
22,257,Wu et al.,hr,Fatal,ci,8487,27824,0,1,0,215,NA,NA,NA
22,257,Wu et al.,hr,Fatal,ci,28780,94353,3.94,0.82,-0.19845093872383832,568,0.96,0.7,0.08057621260132461
22,257,Wu et al.,hr,Fatal,ci,40274,132035,10.5,0.72,-0.3285040669720361,655,0.84,0.61,0.08161959535830032
23,258,Wen et al.,hr,Fatal,ci,201307,1620521,0.9,1,0,1123,NA,NA,NA
23,258,Wen et al.,hr,Fatal,ci,79709,641657,4.1,0.92,-0.08338160893905101,375,1.03,0.82,0.05816681907522142
23,258,Wen et al.,hr,Fatal,ci,46513,374430,8.3,0.88,-0.12783337150988489,283,0.99,0.78,0.060820256220408625
23,258,Wen et al.,hr,Fatal,ci,17646,142050,15,0.86,-0.15082288973458366,144,1.01,0.73,0.08282322487906757
23,258,Wen et al.,hr,Fatal,ci,15143,121901,21.3,0.84,-0.1743533871447778,157,0.97,0.72,0.07603324903882608
24,259,Hamer et al.,hr,Fatal,ci,1067,6959,0,1,0,88,NA,NA,NA
24,259,Hamer et al.,hr,Fatal,ci,1540,11236,1.5,1.02,0.01980262729617973,123,1.24,0.85,0.0963360327264736
24,259,Hamer et al.,hr,Fatal,ci,4958,39408,3.5,0.86,-0.15082288973458366,283,1.03,0.72,0.09134424714891061
24,259,Hamer et al.,hr,Fatal,ci,2861,23523,7,0.65,-0.4307829160924542,102,0.81,0.52,0.11306468883789687
25,264,Rockhill B.,hr,Fatal,ci,20568,263918,1.75,1,0,615,NA,NA,NA
25,264,Rockhill B.,hr,Fatal,ci,23071,332359,5.08,0.92,-0.08338160893905101,713,1.02,0.83,0.05258571257268445
25,264,Rockhill B.,hr,Fatal,ci,13499,346025,10.33,0.85,-0.16251892949777494,686,0.94,0.75,0.05760480052562895
25,264,Rockhill B.,hr,Fatal,ci,13475,255543,19.08,0.95,-0.05129329438755058,566,1.07,0.85,0.05871984888171447
25,264,Rockhill B.,hr,Fatal,ci,9735,72653,29.58,0.87,-0.13926206733350766,147,1.04,0.72,0.09380906563229827
26,270,Hillsdon M.,hr,Fatal,ci,8239,98868,0.66,1,0,308,NA,NA,NA
26,270,Hillsdon M.,hr,Fatal,ci,1030,12360,5.91,0.72,-0.3285040669720361,20,1.18,0.44,0.25166150968302237
26,270,Hillsdon M.,hr,Fatal,ci,1001,12012,15.09,0.91,-0.09431067947124129,24,1.42,0.59,0.22405758999231057
27,316,Kushi L,hr,Fatal,ci,1818,108952,0,1,0,221,NA,NA,NA
