id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,14,Bell et al.,hr,Both,ci,3647,61999,0,1,0,519,NA,NA,NA
1,14,Bell et al.,hr,Both,ci,5022,85374,4.38,0.7,-0.35667494393873245,471,0.8,0.61,0.0691728961958967
1,14,Bell et al.,hr,Both,ci,5056,85952,13.16,0.67,-0.40047756659712525,446,0.77,0.59,0.06792675274858426
2,24,Lv J.,hr,Both,ci,13750,779066,0,1,0,8671,NA,NA,NA
2,24,Lv J.,hr,Both,ci,14863,842120,44.36,0.94,-0.06187540371808753,6198,0.97,0.91,0.01628894012598828
2,24,Lv J.,hr,Both,ci,14435,817886,105.31,0.9,-0.10536051565782628,4024,0.94,0.86,0.02269110216261691
2,24,Lv J.,hr,Both,ci,14451,818785,180.53,0.85,-0.16251892949777494,2964,0.89,0.81,0.02402779229685795
3,69,"Sesso, H",hr,Both,ci,2002,26618,2.04,1,0,438,NA,NA,NA
3,69,"Sesso, H",hr,Both,ci,2354,31298,7.58,0.9,-0.10536051565782628,429,1.03,0.79,0.06767500266717094
3,69,"Sesso, H",hr,Both,ci,3481,46283,15.85,0.81,-0.21072103131565253,552,0.92,0.71,0.06610037277509725
3,69,"Sesso, H",hr,Both,ci,2145,28519,27.31,0.8,-0.2231435513142097,322,0.93,0.69,0.07614756977946315
3,69,"Sesso, H",hr,Both,ci,2534,33692,38.89,0.81,-0.21072103131565253,394,0.94,0.71,0.07158675043065667
4,78,"Tanasescu, M",hr,Both,ci,1744,93317,1.89,1,0,432,NA,NA,NA
4,78,"Tanasescu, M",hr,Both,ci,1757,94036,7.59,0.93,-0.07257069283483537,370,1.06,0.8,0.07179021187581282
4,78,"Tanasescu, M",hr,Both,ci,1747,93466,15.31,0.9,-0.10536051565782628,336,1.05,0.78,0.07583086368234668
4,78,"Tanasescu, M",hr,Both,ci,1704,91189,26.85,0.87,-0.13926206733350766,294,1.01,0.71,0.08990997859653316
4,78,"Tanasescu, M",hr,Both,ci,1939,103767,41.23,0.74,-0.3011050927839216,268,0.87,0.63,0.08234166413491432
5,106,Armstrong et al.,hr,Both,ci,206418,1857762,0,1,0,11954,NA,NA,NA
5,106,Armstrong et al.,hr,Both,ci,239540,2155860,1.31,0.87,-0.13926206733350766,9990,0.88,0.85,0.008848519223180966
5,106,Armstrong et al.,hr,Both,ci,236258,2126322,6.56,0.84,-0.1743533871447778,9234,0.85,0.82,0.00916649732073918
5,106,Armstrong et al.,hr,Both,ci,88381,795429,13.13,0.75,-0.2876820724517809,2996,0.78,0.73,0.016900664008055084
5,106,Armstrong et al.,hr,Both,ci,221931,1997379,21,0.83,-0.18632957819149348,9282,0.85,0.82,0.00916649732073918
6,158,Manson et al.,rr,Both,ir,13859,106252,0.25,1,0,178,NA,NA,NA
6,158,Manson et al.,rr,Both,ir,15065,116175,1.92,0.91,-0.09431067947124129,153,1.16,0.71,0.1252345241895482
6,158,Manson et al.,rr,Both,ir,14598,112703,5.41,0.79,-0.23572233352106983,124,1.03,0.61,0.13363896688623542
6,158,Manson et al.,rr,Both,ir,14326,110886,11.67,0.69,-0.37106368139083207,101,0.92,0.52,0.14554983228467414
6,158,Manson et al.,rr,Both,ir,14640,113419,28.43,0.66,-0.4155154439616658,89,0.88,0.49,0.14936920295119188
7,172,Chomistek A,hr,Both,ci,4269,419667,0.08,1,0,182,NA,NA,NA
7,172,Chomistek A,hr,Both,ci,3753,368957,2.1,0.96,-0.040821994520255166,119,1.21,0.76,0.11863922219457144
7,172,Chomistek A,hr,Both,ci,4011,394283,7.62,0.8,-0.2231435513142097,101,1.03,0.63,0.12540900386837106
7,172,Chomistek A,hr,Both,ci,3698,363488,17.53,0.63,-0.4620354595965587,67,0.83,0.47,0.1450774122821433
7,172,Chomistek A,hr,Both,ci,3714,365102,30.17,0.75,-0.2876820724517809,75,0.99,0.57,0.14083640991739813
8,182,Lear SA. ,hr,Both,ci,23549,162488,0,1,0,496,NA,NA,NA
