id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,41,Huerta J,hr,Both,ci,11955,842268,0,1,0,24,NA,NA,NA
1,41,Huerta J,hr,Both,ci,18273,1287380,15.05,1.08,0.0769610411361284,25,1.95,0.6,0.3006828201024934
1,41,Huerta J,hr,Both,ci,12843,904799,21.8,1.05,0.04879016416943205,16,2.07,0.54,0.34279577515207
1,41,Huerta J,hr,Both,ci,9481,667918,31.6,0.98,-0.020202707317519466,15,2.01,0.48,0.3653393400203876
2,77,"Keum, N",hr,Both,ci,484,153020,2.67,1,0,24,NA,NA,NA
2,77,"Keum, N",hr,Both,ci,546,172674,11.18,0.86,-0.15082288973458366,23,1.55,0.48,0.29904225670923296
2,77,"Keum, N",hr,Both,ci,621,196381,24.21,0.88,-0.12783337150988489,26,1.59,0.49,0.3002820239030648
2,77,"Keum, N",hr,Both,ci,307,96922,41.97,1.21,0.1906203596086497,18,2.35,0.63,0.33583545364522577
2,77,"Keum, N",hr,Both,ci,215,67927,73.93,0.38,-0.9675840262617056,4,1.13,0.13,0.5516526013508011
3,130,Cook MB,hr,Both,ci,5231,453550,0,1,0,58,NA,NA,NA
3,130,Cook MB,hr,Both,ci,6433,557724,1.75,1.21,0.1906203596086497,38,2.02,0.72,0.26316850373840833
3,130,Cook MB,hr,Both,ci,6400,554889,7,1.24,0.2151113796169455,92,1.91,0.81,0.21883674397606273
3,130,Cook MB,hr,Both,ci,6256,542390,19.25,1.32,0.27763173659827955,98,2.04,0.85,0.22333796545739767
3,130,Cook MB,hr,Both,ci,7119,617249,29.75,1.47,0.3852624007906449,87,2.28,0.95,0.22333796545739767
4,335,"Kunzmann, A.T.",hr,Both,ci,61697,341819,3.29,1,0,56,NA,NA,NA
4,335,"Kunzmann, A.T.",hr,Both,ci,149748,826252,15.48,0.91,-0.09431067947124129,106,1.27,0.66,0.1669756050608668
4,335,"Kunzmann, A.T.",hr,Both,ci,148588,812139,58,1.18,0.16551443847757333,132,1.62,0.85,0.1645298290757668
5,91,Suzuki,hr,Fatal,ci,NA,128676,1.75,1,0,21,NA,NA,NA
5,91,Suzuki,hr,Fatal,ci,NA,164754,5.25,1.15,0.13976194237515863,26,1.73,0.77,0.20650536923872556
5,91,Suzuki,hr,Fatal,ci,NA,801465,12.25,0.81,-0.21072103131565253,100,1.32,0.5,0.24765223361643512
6,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,88,NA,NA,NA
6,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,0.92,-0.08338160893905101,55,1.29,0.65,0.17485656365948077
6,332,"Arem, H",hr,Fatal,ci,74502,901474,7,0.91,-0.09431067947124129,123,1.2,0.69,0.14117229769266654
6,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,0.96,-0.040821994520255166,127,1.27,0.73,0.14125964805423297
6,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,0.8,-0.2231435513142097,98,1.08,0.6,0.1499483331169617
7,347,Jee Y. ,hr,Fatal,ci,84037,1428212,0,1,0,65,NA,NA,NA
7,347,Jee Y. ,hr,Fatal,ci,31592,536913,4.38,0.64,-0.4462871026284195,16,1.12,0.37,0.28255135486859145
7,347,Jee Y. ,hr,Fatal,ci,19968,339348,13.13,0.84,-0.1743533871447778,15,1.48,0.48,0.28725304947898467
7,347,Jee Y. ,hr,Fatal,ci,17257,293290,21.88,0.66,-0.4155154439616658,13,1.21,0.36,0.3092586437054138
