id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,72,"Setiawan, V.",hr,Both,ci,4825,320376,0,1,0,100,NA,NA,NA
1,72,"Setiawan, V.",hr,Both,ci,4986,331101,24.38,0.98,-0.020202707317519466,95,1.3,0.74,0.14374482431717808
1,72,"Setiawan, V.",hr,Both,ci,5190,344630,46.93,0.71,-0.342490308946776,68,0.96,0.52,0.15640707628367123
1,72,"Setiawan, V.",hr,Both,ci,5139,341238,68.83,0.77,-0.2613647641344075,84,0.96,0.63,0.10745438905989643
2,87,"Nicodemus, K",hr,Both,ci,16464,221380,1.31,1,0,58,NA,NA,NA
2,87,"Nicodemus, K",hr,Both,ci,9552,128439,6.56,1.18,0.16551443847757333,40,1.94,0.72,0.2528597586143596
2,87,"Nicodemus, K",hr,Both,ci,8670,116579,14.44,0.87,-0.13926206733350766,27,1.39,0.54,0.24120083175617538
3,135,Moore SC,hr,Both,ci,87732,587749,0,1,0,265,NA,NA,NA
3,135,Moore SC,hr,Both,ci,22129,455651,1.31,0.79,-0.23572233352106983,153,0.97,0.65,0.1021252716288279
3,135,Moore SC,hr,Both,ci,35159,723952,3.94,0.89,-0.11653381625595151,266,1.06,0.74,0.09167872566603107
3,135,Moore SC,hr,Both,ci,43651,898825,9.19,0.94,-0.06187540371808753,343,1.11,0.79,0.08675729542171157
3,135,Moore SC,hr,Both,ci,93412,644770,14.44,0.81,-0.21072103131565253,211,0.98,0.67,0.09701067526729203
4,201,"Bergstrom, A. ",hr,Both,ci,2542,51632,26.25,1.67,0.5128236264286637,25,3.33,0.83,0.3544202580104743
4,201,"Bergstrom, A. ",hr,Both,ci,1109,26768,15.75,1,0,6,2.67,0.37,0.5041752709093306
4,201,"Bergstrom, A. ",hr,Both,ci,11493,265909,2.63,1,0,60,1.76,0.57,0.2876156745982701
4,201,"Bergstrom, A. ",hr,Both,ci,2097,44881,0,1,0,11,NA,NA,NA
5,91,Suzuki,hr,Fatal,ci,NA,128676,1.75,1,0,8,NA,NA,NA
5,91,Suzuki,hr,Fatal,ci,NA,164754,5.25,0.72,-0.3285040669720361,6,1.63,0.31,0.4234167080144368
5,91,Suzuki,hr,Fatal,ci,NA,801465,12.25,0.81,-0.21072103131565253,37,1.78,0.37,0.40073839367423303
6,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,47,NA,NA,NA
6,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,1.1,0.09531017980432493,36,1.7,0.71,0.22273841940362027
6,332,"Arem, H",hr,Fatal,ci,74502,901474,7,1.14,0.131028262406404,85,1.64,0.8,0.18312576119065083
6,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,1.47,0.3852624007906449,106,2.09,1.03,0.18051486387420265
6,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,1.42,0.35065687161316933,93,2.03,0.98,0.1857785413700119
7,347,Jee Y. ,hr,Fatal,ci,84037,1428212,0,1,0,31,NA,NA,NA
7,347,Jee Y. ,hr,Fatal,ci,31592,536913,4.38,0.93,-0.07257069283483537,12,1.81,0.47,0.34397301179801665
7,347,Jee Y. ,hr,Fatal,ci,19968,339348,13.13,0.92,-0.08338160893905101,9,1.95,0.44,0.37980542917855353
7,347,Jee Y. ,hr,Fatal,ci,17257,293290,21.88,1.01,0.009950330853168092,11,2.04,0.5,0.35870480261555426
