id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,1,Nunez C.,hr,Both,ci,11727,30195,0,1,0,20,NA,NA,NA
1,1,Nunez C.,hr,Both,ci,47304,102607,4.35,0.85,-0.16251892949777494,77,1.43,0.51,0.2630198834438102
1,1,Nunez C.,hr,Both,ci,159715,433967,13.1,0.93,-0.07257069283483537,252,1.51,0.57,0.24853226300711778
2,33,Schnohr et al.,hr,Both,ci,90,45360,1.5,1,0,29,NA,NA,NA
2,33,Schnohr et al.,hr,Both,ci,235,118635,10.5,0.87,-0.13926206733350766,66,1.41,0.53,0.2496137644732447
2,33,Schnohr et al.,hr,Both,ci,114,57645,17.5,0.89,-0.11653381625595151,32,1.49,0.53,0.26369219040417874
3,60,"Lee, I",hr,Both,ci,6927,116371,4.71,1,0,16,NA,NA,NA
3,60,"Lee, I",hr,Both,ci,5831,115457,18.7,1.17,0.1570037488096647,17,2.32,0.59,0.3492921141818588
3,60,"Lee, I",hr,Both,ci,4849,93407,35.99,1.71,0.5364933705145685,20,3.31,0.88,0.33796068992812234
4,165,Giovannucci E. ,rr,Both,ir,2646,15876,0.08,1,0,24,NA,NA,NA
4,165,Giovannucci E. ,rr,Both,ir,2830,16980,1.77,1.1,0.09531017980432493,28,1.91,0.63,0.2829487455901848
4,165,Giovannucci E. ,rr,Both,ir,2511,15066,4.86,0.84,-0.1743533871447778,19,1.55,0.46,0.30989950070823014
4,165,Giovannucci E. ,rr,Both,ir,2446,14676,10.52,1,0,22,1.81,0.55,0.30387391182417217
4,165,Giovannucci E. ,rr,Both,ir,2624,15744,17.99,0.68,-0.3856624808119846,16,1.3,0.35,0.3347475768219539
5,192,Eaglehouse Y,hr,Both,ci,6782,684909,0,1,0,480,NA,NA,NA
5,192,Eaglehouse Y,hr,Both,ci,2117,213778,7.88,0.94,-0.06187540371808753,145,1.14,0.78,0.09681035587854406
5,192,Eaglehouse Y,hr,Both,ci,1322,133515,20.13,0.96,-0.040821994520255166,107,1.19,0.78,0.10776082360540569
6,205,"Morris, JS. ",hr,Both,ci,5687,629134,3.29,1,0,200,NA,NA,NA
6,205,"Morris, JS. ",hr,Both,ci,4598,508673,11.34,1.02,0.01980262729617973,162,1.26,0.83,0.10649208415246504
6,205,"Morris, JS. ",hr,Both,ci,5235,579190,23.87,1.19,0.17395330712343798,214,1.44,0.98,0.09817675833358254
6,205,"Morris, JS. ",hr,Both,ci,2377,262949,40.85,1.12,0.11332868530700327,93,1.43,0.87,0.1267718477291153
6,205,"Morris, JS. ",hr,Both,ci,3633,401926,58,1.15,0.13976194237515863,151,1.42,0.92,0.11072613680043629
7,234,Larsson et al.,hr,Both,ci,355,20142,2.04,1,0,17,NA,NA,NA
