id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
1,6,Sieverdes et al.,hr,Both,ci,16862,330188,0.33,1,0,275,NA,NA,NA
1,6,Sieverdes et al.,hr,Both,ci,19780,332152,15.53,1.09,0.08617769624105241,264,1.35,0.89,0.10628726139681147
1,6,Sieverdes et al.,hr,Both,ci,9047,137885,4.99,0.8,-0.2231435513142097,80,1.05,0.6,0.1427617528560731
2,13,Autenrieth et al.,hr,Both,ci,1229,127264,0,1,0,496,NA,NA,NA
2,13,Autenrieth et al.,hr,Both,ci,556,57604,4.38,0.93,-0.07257069283483537,147,1.14,0.76,0.10343687723509754
2,13,Autenrieth et al.,hr,Both,ci,393,40703,13.13,0.84,-0.1743533871447778,97,1.07,0.65,0.12715579686614467
3,52,Myint P,hr,Both,ci,6243,53066,0,1,0,166,NA,NA,NA
3,52,Myint P,hr,Both,ci,6659,56602,9.34,0.78,-0.2484613592984996,98,1.01,0.61,0.1286367139001996
3,52,Myint P,hr,Both,ci,5276,44846,16.79,0.68,-0.3856624808119846,55,0.92,0.5,0.1555553001051671
3,52,Myint P,hr,Both,ci,4424,37605,26.45,0.69,-0.37106368139083207,42,0.97,0.48,0.17947012627392364
4,104,Paganini-Hill A,rr,Both,ir,4078,40952,6.13,1,0,626,NA,NA,NA
4,104,Paganini-Hill A,rr,Both,ir,3683,42057,18.38,0.88,-0.12783337150988489,560,1.01,0.76,0.07254908222756598
4,104,Paganini-Hill A,rr,Both,ir,5406,86790,36.75,0.83,-0.18632957819149348,785,0.95,0.73,0.06719956400473502
5,106,Armstrong et al.,hr,Both,ci,208863,1879767,0,1,0,4207,NA,NA,NA
5,106,Armstrong et al.,hr,Both,ci,241440,2172960,1.31,0.87,-0.13926206733350766,3427,0.9,0.84,0.017600545732257965
5,106,Armstrong et al.,hr,Both,ci,237858,2140722,6.56,0.8,-0.2231435513142097,3189,0.83,0.77,0.01914198080545919
5,106,Armstrong et al.,hr,Both,ci,88878,799902,13.13,0.83,-0.18632957819149348,1245,0.88,0.79,0.027523200135869674
5,106,Armstrong et al.,hr,Both,ci,223277,2009493,21,0.88,-0.12783337150988489,3704,0.91,0.86,0.014416645078456412
6,113,"Jeong, H",hr,Both,ci,166681,593737,0,1,0,1375,NA,NA,NA
6,113,"Jeong, H",hr,Both,ci,65813,234434,3.94,0.85,-0.16251892949777494,267,0.97,0.74,0.06904358637047245
6,113,"Jeong, H",hr,Both,ci,44915,159993,9.19,0.79,-0.23572233352106983,206,0.92,0.68,0.07711388430024395
6,113,"Jeong, H",hr,Both,ci,58917,209869,14.44,0.78,-0.2484613592984996,365,0.89,0.69,0.0649322811905167
7,166,Hu F.,rr,Both,ir,13766,106368,0.25,1,0,106,NA,NA,NA
7,166,Hu F.,rr,Both,ir,15044,116243,1.92,0.98,-0.020202707317519466,103,1.29,0.75,0.1383505755981096
7,166,Hu F.,rr,Both,ir,14609,112876,5.41,0.82,-0.19845093872383832,78,1.1,0.61,0.1504125857081676
7,166,Hu F.,rr,Both,ir,14373,111058,11.67,0.74,-0.3011050927839216,64,1.01,0.54,0.15973162650331071
7,166,Hu F.,rr,Both,ir,14695,113542,21.6,0.66,-0.4155154439616658,56,0.91,0.47,0.16855205249137303
8,170,Chiuve S,hr,Both,ci,1388,124906,25.38,0.6,-0.5108256237659907,111,0.74,0.49,0.10516642100193617
8,170,Chiuve S,hr,Both,ci,965,86833,16.63,0.76,-0.2744368457017603,98,0.95,0.61,0.11301305302586706
8,170,Chiuve S,hr,Both,ci,1951,175612,7.88,0.79,-0.23572233352106983,206,0.93,0.67,0.08365124980580703
8,170,Chiuve S,hr,Both,ci,922,82958,1.77,0.82,-0.19845093872383832,101,1.02,0.66,0.11105256899911913
8,170,Chiuve S,hr,Both,ci,3511,316021,0,1,0,469,NA,NA,NA
9,178,"Rist, P.",rr,Both,ir,6048,122170,2.63,1,0,429,NA,NA,NA
9,178,"Rist, P.",rr,Both,ir,4007,80941,5.25,0.94,-0.06187540371808753,249,1.1,0.81,0.07807062107618117
9,178,"Rist, P.",rr,Both,ir,8187,165377,15.75,0.86,-0.15082288973458366,475,0.98,0.75,0.06823578577058166
9,178,"Rist, P.",rr,Both,ir,3552,71750,31.5,0.88,-0.12783337150988489,225,1.03,0.75,0.08093028167754127
10,182,Lear SA. ,hr,Both,ci,23549,162488,0,1,0,427,NA,NA,NA
10,182,Lear SA. ,hr,Both,ci,49245,339791,23.87,0.95,-0.05129329438755058,820,1.09,0.83,0.06951843926267233
10,182,Lear SA. ,hr,Both,ci,57725,398303,58,0.88,-0.12783337150988489,839,1.02,0.77,0.07172769337814364
11,183,McDonell,hr,Both,ci,8187,46666,0,1,0,254,NA,NA,NA
11,183,McDonell,hr,Both,ci,10003,57018,5.25,1.03,0.02955880224154443,334,1.35,0.78,0.13994286529646874
11,183,McDonell,hr,Both,ci,9158,52201,13.13,0.89,-0.11653381625595151,330,1.2,0.66,0.15251224141649605
12,285,Chomistek A.,hr,Both,ci,12861,166798,0.2,1,0,527,NA,NA,NA
12,285,Chomistek A.,hr,Both,ci,18299,198065,3.4,0.92,-0.08338160893905101,563,1.05,0.8,0.0693721205156371
12,285,Chomistek A.,hr,Both,ci,21653,236427,10.1,0.83,-0.18632957819149348,561,0.95,0.73,0.06719956400473502
12,285,Chomistek A.,hr,Both,ci,18205,205519,20.3,0.77,-0.2613647641344075,399,0.89,0.67,0.07243596121686059
13,306,Tikk K,hr,Both,ci,402,40888,0,1,0,106,NA,NA,NA
13,306,Tikk K,hr,Both,ci,1071,108857,15.05,0.62,-0.4780358009429998,171,0.8,0.49,0.1250549347921544
13,306,Tikk K,hr,Both,ci,830,84352,21.8,0.68,-0.3856624808119846,142,0.88,0.52,0.1342098885608446
13,306,Tikk K,hr,Both,ci,687,69777,31.6,0.74,-0.3011050927839216,132,0.96,0.56,0.137501633954558
14,309,Hu G,hr,Both,ci,15986,318187,0,1,0,1246,NA,NA,NA
14,309,Hu G,hr,Both,ci,23949,446013,14,0.86,-0.15082288973458366,1363,0.93,0.79,0.04162108129872636
14,309,Hu G,hr,Both,ci,7786,142422,21,0.74,-0.3011050927839216,254,0.85,0.64,0.07239117028908994
15,313,Lee IM,hr,Both,ci,3450,37160,4.74,1,0,146,NA,NA,NA
15,313,Lee IM,hr,Both,ci,3194,34402,15.92,0.76,-0.2744368457017603,103,0.98,0.59,0.1294488160923864
15,313,Lee IM,hr,Both,ci,2025,21811,27.43,0.54,-0.616186139423817,46,0.76,0.38,0.17682650957553353
15,313,Lee IM,hr,Both,ci,1136,12236,39.07,0.78,-0.2484613592984996,37,1.15,0.53,0.19761593093582114
15,313,Lee IM,hr,Both,ci,1325,14271,50.78,0.82,-0.19845093872383832,46,1.14,0.58,0.17238975899005007
16,325,"Huerta, J.M.",hr,Both,ci,11841,144927,7.06,1,0,177,NA,NA,NA
16,325,"Huerta, J.M.",hr,Both,ci,10033,123656,21.03,0.72,-0.3285040669720361,110,0.91,0.56,0.12385631052695983
16,325,"Huerta, J.M.",hr,Both,ci,6814,84962,35.96,0.78,-0.2484613592984996,90,1.03,0.6,0.1378557030307747
16,325,"Huerta, J.M.",hr,Both,ci,4304,53831,53.91,0.93,-0.07257069283483537,65,1.28,0.67,0.16514018870621297
17,342,"Chomistek, A. K.",hr,Both,ci,565,120712,0.68,1,0,211,NA,NA,NA
17,342,"Chomistek, A. K.",hr,Both,ci,409,87234,6.32,0.93,-0.07257069283483537,141,1.15,0.75,0.10904384422330295
17,342,"Chomistek, A. K.",hr,Both,ci,607,129707,11.73,0.81,-0.21072103131565253,165,1,0.66,0.10600078553463194
17,342,"Chomistek, A. K.",hr,Both,ci,670,143125,22.81,0.72,-0.3285040669720361,133,0.9,0.57,0.11652214175836065
18,38,"Zhou, Y",hr,Fatal,ci,2862,14608,0,1,0,43,NA,NA,NA
18,38,"Zhou, Y",hr,Fatal,ci,1521,7763,2.37,0.64,-0.4462871026284195,16,1.15,0.36,0.2962843192702058
18,38,"Zhou, Y",hr,Fatal,ci,8707,44441,11.34,0.5,-0.6931471805599453,74,0.73,0.34,0.1949267748181458
18,38,"Zhou, Y",hr,Fatal,ci,5110,26082,23.87,0.39,-0.941608539858445,29,0.62,0.24,0.24211683535599957
18,38,"Zhou, Y",hr,Fatal,ci,4995,25495,46.2,0.32,-1.1394342831883648,28,0.52,0.2,0.24375739874925992
18,38,"Zhou, Y",hr,Fatal,ci,1411,7202,78.47,0.37,-0.9942522733438669,9,0.76,0.18,0.36744593108637585
19,95,Inoue M. ,hr,Fatal,ci,27368,233819,0,1,0,129,NA,NA,NA
19,95,Inoue M. ,hr,Fatal,ci,19438,171130,36.98,0.89,-0.11653381625595151,78,1.19,0.67,0.14654118092260898
19,95,Inoue M. ,hr,Fatal,ci,18019,158572,51.62,0.87,-0.13926206733350766,70,1.17,0.64,0.1539035554216214
19,95,Inoue M. ,hr,Fatal,ci,18209,161551,102.97,0.83,-0.18632957819149348,65,1.14,0.6,0.16374124505227045
20,120,Williams P,hr,Fatal,ci,9624,92390,2.33,1,0,44,NA,NA,NA
20,120,Williams P,hr,Fatal,ci,6759,64886,7.3,0.78,-0.2484613592984996,22,1.27,0.48,0.24821529457313773
20,120,Williams P,hr,Fatal,ci,13985,134256,14.57,0.66,-0.4155154439616658,45,1.03,0.42,0.22884588110346862
