outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Male Population,Both,1.33,(0.4 - 2.27),3.58,(1.11 - 6.03),6.91,(2.24 - 11.43)
All-cause cancer,Male Population,Fatal,3.42,(2.42 - 4.44),8.02,(5.79 - 10.23),11.56,(8.62 - 14.44)
All-cause cancer,Female Population,Both,1.19,(0.52 - 1.89),3.01,(1.34 - 4.7),6.16,(2.89 - 9.38)
All-cause cancer,Female Population,Fatal,2.11,(0.89 - 3.36),5.19,(2.35 - 8.01),9.54,(5.18 - 13.78)
All-cause cvd,Male Population,Both,3.75,(2.39 - 5.14),7.93,(5.52 - 10.33),11.43,(9.63 - 13.24)
All-cause cvd,Male Population,Fatal,4.4,(2.32 - 6.5),9.27,(5.77 - 12.7),12.86,(11.15 - 14.61)
All-cause cvd,Female Population,Both,7.01,(3.84 - 10.25),13.43,(8.21 - 18.54),15.92,(12.65 - 19.26)
All-cause cvd,Female Population,Fatal,8.67,(5.07 - 12.33),16.22,(10.41 - 21.88),17.8,(13.84 - 21.79)
All-cause mortality,Male Population,Both,4.02,(0.74 - 6.15),7.46,(1.47 - 10.83),5.42,(-0.62 - 15.32)
All-cause mortality,Male Population,Fatal,4.02,(0.74 - 6.15),7.46,(1.47 - 10.83),5.42,(-0.62 - 15.32)
All-cause mortality,Female Population,Both,5.52,(3.98 - 7.15),11.03,(8.18 - 13.95),15.97,(12.39 - 19.56)
All-cause mortality,Female Population,Fatal,5.52,(3.98 - 7.15),11.03,(8.18 - 13.95),15.97,(12.39 - 19.56)
Breast cancer,Female Population,Both,0.6,(0.33 - 0.88),1.54,(0.88 - 2.21),3.36,(2.09 - 4.64)
Colon cancer,Male Population,Both,2.26,(0.69 - 4),4.93,(1.57 - 8.48),7.5,(1.94 - 13.07)
Colon cancer,Female Population,Both,0.76,(-0.36 - 1.97),1.77,(-0.72 - 4.33),2.96,(-0.51 - 6.47)
Coronary heart disease,Male Population,Both,2.55,(0.44 - 4.76),4.57,(0.86 - 8.34),6.62,(1.53 - 11.67)
Coronary heart disease,Male Population,Fatal,6.61,(-0.39 - 14.24),9.77,(0.07 - 19.8),9.5,(1.75 - 17.77)
Coronary heart disease,Female Population,Both,7.66,(3.08 - 12.5),13.7,(5.72 - 21.61),18.17,(7.88 - 27.91)
Coronary heart disease,Female Population,Fatal,14.38,(7.96 - 20.89),21.32,(12.67 - 29.71),23.08,(14.78 - 31.12)
Endometrial cancer,Female Population,Both,1.45,(0.37 - 2.65),3.75,(1.07 - 6.61),6.73,(2.24 - 11.32)
Rectum cancer,Male Population,Both,1.48,(-4.15 - 7.59),2.55,(-9.6 - 14.29),-0.88,(-13.46 - 11.28)
Rectum cancer,Female Population,Both,-2.9,(-9.54 - 4.26),-6.63,(-23.53 - 9.08),-9.7,(-36.5 - 12.94)
Stroke,Male Population,Both,3.88,(2.4 - 5.45),7.67,(4.85 - 10.59),11.43,(7.39 - 15.52)
Stroke,Female Population,Both,5.2,(2.11 - 8.44),10.34,(4.89 - 15.81),16.02,(9.95 - 21.98)
