outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,3.04,(2.12 - 3.99),6.85,(4.9 - 8.81),11.66,(8.69 - 14.61)
All-cause cancer,Both,2.08,(1.39 - 2.79),5.13,(3.47 - 6.79),10.26,(7.12 - 13.33)
All-cause cvd,Fatal,4.66,(1.7 - 7.93),10.02,(3.89 - 16.35),13.28,(5.72 - 20.31)
All-cause cvd,Both,4.78,(2.81 - 6.84),10.49,(6.47 - 14.47),14.76,(9.97 - 19.17)
All-cause dementia,Non-fatal,8.21,(2.67 - 14.42),15.07,(5.16 - 25.18),2.05,(-3.89 - 9.11)
All-cause dementia,Both,6.72,(3 - 10.68),13.2,(6.19 - 20.14),8.69,(2.86 - 14.67)
All-cause mortality,Fatal,9.03,(7.27 - 10.82),16.94,(13.89 - 19.96),23.34,(19.36 - 27.2)
All-cause mortality,Both,9.03,(7.27 - 10.82),16.94,(13.89 - 19.96),23.34,(19.36 - 27.2)
Alzheimer's disease,Non-fatal,1.15,(-0.25 - 3.18),2.66,(-0.69 - 6.92),4.55,(-2.3 - 12.1)
Alzheimer's disease,Both,2.6,(-0.08 - 5.49),7.76,(0.76 - 14.69),12.79,(3.75 - 21.4)
Bladder cancer,Both,2.66,(-0.42 - 5.92),4.7,(-0.29 - 9.75),4.01,(-5.23 - 12.8)
Breast cancer,Fatal,5.96,(-1.14 - 13.21),10,(-1.18 - 20.52),8.39,(2.22 - 14.86)
Breast cancer,Both,0.72,(0.41 - 1.05),1.83,(1.05 - 2.63),4.12,(2.46 - 5.78)
Colon cancer,Both,0.83,(0.16 - 1.54),1.99,(0.41 - 3.63),3.92,(0.97 - 6.88)
Coronary heart disease,Fatal,6.42,(3.93 - 8.98),14.04,(9 - 19.02),23.52,(16.06 - 30.56)
Coronary heart disease,Both,2.66,(0.02 - 7.18),5.37,(0.03 - 14.11),6.94,(0.03 - 21.32)
Depression,Non-fatal,5.18,(3.26 - 7.2),11.06,(7.05 - 15.1),17.13,(10.68 - 23.31)
Depression,Both,5.18,(3.26 - 7.2),11.06,(7.05 - 15.1),17.13,(10.68 - 23.31)
Depressive symptoms,Non-fatal,7.06,(3.85 - 10.38),14.16,(7.88 - 20.3),21.5,(11.94 - 30.31)
Depressive symptoms,Both,7.06,(3.85 - 10.38),14.16,(7.88 - 20.3),21.5,(11.94 - 30.31)
Endometrial cancer,Both,1.06,(0.27 - 1.93),3.02,(0.82 - 5.37),6.36,(1.89 - 10.89)
Esophageal cancer,Both,0.49,(-0.96 - 2.3),1.21,(-2.44 - 5.49),2.17,(-4.49 - 9.41)
Gastric cardia cancer,Both,1.63,(0.57 - 3.01),4.41,(1.59 - 7.9),8.65,(3.31 - 14.82)
Head and neck cancer,Both,9,(0.37 - 17.76),19,(2.44 - 33.59),28.86,(9.76 - 44.62)
Heart failure,Both,1.95,(0.99 - 3.04),4.48,(2.32 - 6.84),9.88,(5.32 - 14.6)
Kidney cancer,Both,-1.45,(-4.88 - 2.38),-2.98,(-11.09 - 5.31),-3.77,(-18.84 - 10.27)
Liver cancer,Both,4.23,(1.49 - 7.24),8.92,(3.31 - 14.69),13.79,(5.27 - 22.05)
Lung cancer,Fatal,1.89,(0.16 - 3.82),4.27,(0.38 - 8.4),8.76,(0.87 - 16.56)
Lung cancer,Both,3.32,(1.42 - 5.28),7.86,(3.41 - 12.27),15.44,(6.82 - 23.47)
Major depression,Non-fatal,3.04,(1.14 - 5.24),7.44,(3 - 12.19),8.68,(0.73 - 16.61)
Major depression,Both,3.04,(1.14 - 5.24),7.44,(3 - 12.19),8.68,(0.73 - 16.61)
Myeloid leukemia,Both,4.35,(-1.73 - 11.07),8.83,(-2.14 - 19.65),10.3,(0.51 - 20.14)
Myeloma,Both,1.99,(-0.57 - 5.24),4.71,(-1.65 - 11.84),3.97,(-4.03 - 12.64)
Parkinson's disease,Non-fatal,3.81,(0.3 - 7.74),9.16,(1.61 - 16.87),20.3,(9.07 - 30.82)
Parkinson's disease,Both,3.44,(0.69 - 6.48),8.46,(2.1 - 14.94),18.65,(7.49 - 28.97)
Prostate cancer,Fatal,1.13,(-2.19 - 4.78),2.11,(-4.33 - 8.75),2.34,(-6.26 - 10.89)
Prostate cancer,Both,-0.1,(-0.4 - 0.22),-0.23,(-0.99 - 0.56),-0.28,(-1.88 - 1.32)
Rectum cancer,Both,0.93,(-0.58 - 2.56),2.06,(-1.67 - 5.86),1.9,(-4.38 - 8.01)
Stroke,Fatal,4.78,(1.2 - 8.6),10.88,(2.93 - 18.77),19.24,(5.84 - 31.37)
Stroke,Both,5.39,(3.32 - 7.23),10.61,(6.73 - 13.91),13.28,(4.89 - 21.29)
Vascular dementia,Both,2.02,(-2.36 - 9.41),5.11,(-5.75 - 19.3),11.79,(-6.37 - 30.84)
